Date,Close,FB
23/07/2012,28.75,-0.000347766
20/07/2012,28.76,-0.008310297
19/07/2012,29,-0.003785928
18/07/2012,29.11,0.035668117
17/07/2012,28.09,-0.005679816
16/07/2012,28.25,-0.083820451
13/07/2012,30.72,-0.002925404
12/07/2012,30.81,-0.005179681
11/07/2012,30.97,-0.016015717
10/07/2012,31.47,-0.02199963
09/07/2012,32.17,0.013771736
06/07/2012,31.73,0.008227895
05/07/2012,31.47,0.008616616
03/07/2012,31.2,0.013877905
02/07/2012,30.77,-0.01066763
29/06/2012,31.1,-0.008325376
28/06/2012,31.36,-0.0273645
27/06/2012,32.23,-0.026635587
26/06/2012,33.1,0.031924135
25/06/2012,32.06,-0.030412419
22/06/2012,33.05,0.037298205
21/06/2012,31.84,0.00756624
20/06/2012,31.6,-0.00976232
19/06/2012,31.91,0.015793127
18/06/2012,31.41,0.045595654
15/06/2012,30.01,0.059022274
14/06/2012,28.29,0.036721188
13/06/2012,27.27,-0.004755817
12/06/2012,27.4,0.014335846
11/06/2012,27.01,-0.00332656
08/06/2012,27.1,0.029584633
07/06/2012,26.31,-0.018825857
06/06/2012,26.81,0.035690956
05/06/2012,25.87,-0.03904229
04/06/2012,26.9,-0.030027888
01/06/2012,27.72,-0.065620187
31/05/2012,29.6,0.048807056
30/05/2012,28.19,-0.022796007
29/05/2012,28.84,-0.101156128
25/05/2012,31.91,-0.034496799
24/05/2012,33.03,0.031680337
23/05/2012,32,0.031748698
22/05/2012,31,-0.093255284
21/05/2012,34.03,-0.116378059
18/05/2012,38.23,
