Date,Close,DFS
25/04/2013,44.28,0.002940181
24/04/2013,44.15,-0.004068722
23/04/2013,44.33,0.016375167
22/04/2013,43.61,0.006210486
19/04/2013,43.34,0.018396141
18/04/2013,42.55,0.001175779
17/04/2013,42.5,-0.011928571
16/04/2013,43.01,0.017828293
15/04/2013,42.25,-0.024779201
12/04/2013,43.31,0.008114105
11/04/2013,42.96,-0.000232748
10/04/2013,42.97,-0.007650437
09/04/2013,43.3,-0.009424274
08/04/2013,43.71,0.01475021
05/04/2013,43.07,-0.003939294
04/04/2013,43.24,-0.004154172
03/04/2013,43.42,-0.02860581
02/04/2013,44.68,0.014654754
01/04/2013,44.03,-0.018229378
28/03/2013,44.84,-0.003117348
27/03/2013,44.98,-0.000888889
26/03/2013,45.02,0.003337415
25/03/2013,44.87,-0.00289307
22/03/2013,45,0.012072581
21/03/2013,44.46,-0.011183297
20/03/2013,44.96,0.016143848
19/03/2013,44.24,0
18/03/2013,44.24,0.002262956
15/03/2013,44.14,0.029660756
14/03/2013,42.85,-0.004888847
13/03/2013,43.06,0.021834416
12/03/2013,42.13,0.006907256
11/03/2013,41.84,0.011296839
08/03/2013,41.37,-0.004822773
07/03/2013,41.57,0.006758413
06/03/2013,41.29,0.017345006
05/03/2013,40.58,0.020413953
04/03/2013,39.76,0.017250555
01/03/2013,39.08,0.014173669
28/02/2013,38.53,0.003379699
27/02/2013,38.4,0.015748357
26/02/2013,37.8,-0.003696862
25/02/2013,37.94,-0.024731184
22/02/2013,38.89,0.014504269
21/02/2013,38.33,-0.015532282
20/02/2013,38.93,-0.015294716
19/02/2013,39.53,0.009659455
15/02/2013,39.15,-0.00940645
14/02/2013,39.52,0.007620052
13/02/2013,39.22,-0.006607394
12/02/2013,39.48,-0.013834958
11/02/2013,40.03,0.003754228
08/02/2013,39.88,0.01337897
07/02/2013,39.35,0.000508388
06/02/2013,39.33,0.001272103
05/02/2013,39.28,0.017981476
04/02/2013,38.58,-0.005686239
01/02/2013,38.8,0.010623238
31/01/2013,38.39,0.008107799
30/01/2013,38.08,-0.000787505
29/01/2013,38.11,0.001312853
28/01/2013,38.06,-0.026702818
25/01/2013,39.09,-0.001278282
24/01/2013,39.14,0.008467017
23/01/2013,38.81,-0.002059203
22/01/2013,38.89,0.008781048
18/01/2013,38.55,-0.019013934
17/01/2013,39.29,0.004080597
16/01/2013,39.13,-0.005352377
15/01/2013,39.34,-0.009864757
14/01/2013,39.73,-0.01647566
11/01/2013,40.39,-0.002225795
10/01/2013,40.48,0.01568562
09/01/2013,39.85,-0.006004521
08/01/2013,40.09,0.016853625
07/01/2013,39.42,-0.015605653
04/01/2013,40.04,0.016113138
03/01/2013,39.4,-0.003294061
02/01/2013,39.53,0.025103777
31/12/2012,38.55,0.014633133
28/12/2012,37.99,0.000789993
27/12/2012,37.96,-0.009960764
26/12/2012,38.34,-0.00442421
24/12/2012,38.51,0.000259707
21/12/2012,38.5,0.002340399
20/12/2012,38.41,-0.034795017
19/12/2012,39.77,-0.018929581
18/12/2012,40.53,0.008673081
17/12/2012,40.18,0.016056542
14/12/2012,39.54,-0.021021795
13/12/2012,40.38,-0.015237454
12/12/2012,41,0.015485132
11/12/2012,40.37,-0.01010483
10/12/2012,40.78,-0.009032162
07/12/2012,41.15,0.014441568
06/12/2012,40.56,-0.007613938
05/12/2012,40.87,-0.003175769
04/12/2012,41,-0.00559408
03/12/2012,41.23,-0.009174376
30/11/2012,41.61,0.001683705
29/11/2012,41.54,0.007005706
28/11/2012,41.25,0.016129382
27/11/2012,40.59,-0.018308823
26/11/2012,41.34,-0.002898553
23/11/2012,41.46,0.007991325
21/11/2012,41.13,-0.003882558
20/11/2012,41.29,0.01169319
19/11/2012,40.81,0.033639649
16/11/2012,39.46,0.028793763
15/11/2012,38.34,-0.041885591
14/11/2012,39.98,-0.029573373
13/11/2012,41.18,0.000485791
12/11/2012,41.16,0.001945526
09/11/2012,41.08,0.007820177
08/11/2012,40.76,0.003933142
07/11/2012,40.6,-0.019995789
06/11/2012,41.42,0.028405436
05/11/2012,40.26,-0.017725723
02/11/2012,40.98,-0.008262501
01/11/2012,41.32,0.007774578
31/10/2012,41,0.018462063
26/10/2012,40.25,0.009987599
25/10/2012,39.85,0.000502008
24/10/2012,39.83,0.005791279
23/10/2012,39.6,-0.008799554
22/10/2012,39.95,0.008294631
19/10/2012,39.62,-0.020238042
18/10/2012,40.43,-0.009109998
17/10/2012,40.8,0.018553408
16/10/2012,40.05,0.016616697
15/10/2012,39.39,0.015349496
12/10/2012,38.79,-0.02041408
11/10/2012,39.59,0.003796031
10/10/2012,39.44,-0.008332329
09/10/2012,39.77,-0.01299044
08/10/2012,40.29,-0.00247893
05/10/2012,40.39,-0.00049505
04/10/2012,40.41,0.017726091
03/10/2012,39.7,0.005303712
02/10/2012,39.49,-0.010829976
01/10/2012,39.92,0.004770882
28/09/2012,39.73,0.000503525
27/09/2012,39.71,0.070144738
26/09/2012,37.02,-0.016609008
25/09/2012,37.64,-0.025961862
