Date,Close,BK
25/10/2013,31.83,0.005355187
24/10/2013,31.66,0.002530046
23/10/2013,31.58,-0.000316606
22/10/2013,31.59,-0.000949217
21/10/2013,31.62,0.004437408
18/10/2013,31.48,0.004776319
17/10/2013,31.33,0.01836096
16/10/2013,30.76,-0.002921606
15/10/2013,30.85,-0.010640113
14/10/2013,31.18,0.013236674
11/10/2013,30.77,-0.001299123
10/10/2013,30.81,0.034002285
09/10/2013,29.78,0.007076693
08/10/2013,29.57,-0.022074475
07/10/2013,30.23,-0.008891875
04/10/2013,30.5,0.019199531
03/10/2013,29.92,-0.017887194
02/10/2013,30.46,-0.009475647
01/10/2013,30.75,0.018379251
30/09/2013,30.19,-0.001654808
27/09/2013,30.24,-0.011507607
26/09/2013,30.59,0.002290952
25/09/2013,30.52,0.010871463
24/09/2013,30.19,-0.003636969
23/09/2013,30.3,-0.017989038
20/09/2013,30.85,-0.007427775
19/09/2013,31.08,-0.009606222
18/09/2013,31.38,-0.002228236
17/09/2013,31.45,0.00159109
16/09/2013,31.4,0.009278582
13/09/2013,31.11,0.002252616
12/09/2013,31.04,-0.006102476
11/09/2013,31.23,-0.001599744
10/09/2013,31.28,0.015788954
09/09/2013,30.79,0.010775614
06/09/2013,30.46,-0.006544526
05/09/2013,30.66,0.008845267
04/09/2013,30.39,0.008924204
03/09/2013,30.12,0.012696462
30/08/2013,29.74,-0.003021657
29/08/2013,29.83,0.002685467
28/08/2013,29.75,0.003029795
27/08/2013,29.66,-0.033159537
26/08/2013,30.66,-0.006177877
23/08/2013,30.85,-0.005495407
22/08/2013,31.02,0.024144729
21/08/2013,30.28,-0.009204536
20/08/2013,30.56,0.014170611
19/08/2013,30.13,-0.014497783
16/08/2013,30.57,0.004918849
15/08/2013,30.42,-0.008836582
14/08/2013,30.69,-0.001953126
13/08/2013,30.75,0
12/08/2013,30.75,-0.007129
09/08/2013,30.97,-0.002901824
08/08/2013,31.06,-0.003535276
07/08/2013,31.17,-0.011166171
06/08/2013,31.52,-0.005063302
05/08/2013,31.68,-0.003780723
02/08/2013,31.8,-0.006269613
01/08/2013,32,0.01733692
31/07/2013,31.45,-0.003174606
30/07/2013,31.55,0.000634115
29/07/2013,31.53,-0.007268163
26/07/2013,31.76,-0.002829746
25/07/2013,31.85,-0.002195391
24/07/2013,31.92,-0.009044191
23/07/2013,32.21,0.00435595
22/07/2013,32.07,0.009398565
19/07/2013,31.77,0.009487737
18/07/2013,31.47,0.017631487
17/07/2013,30.92,0.018606706
16/07/2013,30.35,-0.011140351
15/07/2013,30.69,0.020741484
12/07/2013,30.06,0.009694209
11/07/2013,29.77,0.014890292
10/07/2013,29.33,-0.00034089
09/07/2013,29.34,0.007526549
08/07/2013,29.12,-0.004796172
05/07/2013,29.26,0.02526523
03/07/2013,28.53,0.003863043
02/07/2013,28.42,-0.001757779
01/07/2013,28.47,0.014862269
28/06/2013,28.05,-0.023605112
27/06/2013,28.72,0.01367243
26/06/2013,28.33,0.002120142
25/06/2013,28.27,0.014609203
24/06/2013,27.86,-0.020956192
21/06/2013,28.45,-0.018112651
20/06/2013,28.97,-0.023201314
19/06/2013,29.65,-0.00403905
18/06/2013,29.77,0.01352743
17/06/2013,29.37,0.008205174
14/06/2013,29.13,-0.011943496
13/06/2013,29.48,0.014349409
12/06/2013,29.06,-0.014688565
11/06/2013,29.49,-0.02246532
10/06/2013,30.16,0.010331703
07/06/2013,29.85,0.011455651
06/06/2013,29.51,0.017088591
05/06/2013,29.01,-0.030217882
04/06/2013,29.9,-0.010314515
03/06/2013,30.21,0.004977611
31/05/2013,30.06,-0.016169301
30/05/2013,30.55,0.015171795
29/05/2013,30.09,0
28/05/2013,30.09,0.019463702
24/05/2013,29.51,-0.004395611
23/05/2013,29.64,-0.004712227
22/05/2013,29.78,-0.010355863
21/05/2013,30.09,-0.010578611
20/05/2013,30.41,-0.000986031
17/05/2013,30.44,0.019237741
16/05/2013,29.86,-0.011653203
15/05/2013,30.21,0.008643671
14/05/2013,29.95,0.038459734
13/05/2013,28.82,0.018561205
10/05/2013,28.29,0.003895879
09/05/2013,28.18,-0.007424464
08/05/2013,28.39,-0.000704225
07/05/2013,28.41,0.007419218
06/05/2013,28.2,-0.006362694
03/05/2013,28.38,0.015625318
02/05/2013,27.94,0.008626941
01/05/2013,27.7,-0.018598533
30/04/2013,28.22,0.004973367
29/04/2013,28.08,0.006789378
26/04/2013,27.89,0.003951864
25/04/2013,27.78,-0.002516629
24/04/2013,27.85,0.011193473
23/04/2013,27.54,0.014262447
22/04/2013,27.15,0.005910619
19/04/2013,26.99,0.010802862
18/04/2013,26.7,-0.018185693
17/04/2013,27.19,-0.020746877
16/04/2013,27.76,0.015611136
15/04/2013,27.33,-0.040163161
12/04/2013,28.45,-0.007005283
11/04/2013,28.65,0.001047669
10/04/2013,28.62,0.032312415
09/04/2013,27.71,0.007607354
08/04/2013,27.5,0.005103912
05/04/2013,27.36,-0.004012407
04/04/2013,27.47,0.001457195
03/04/2013,27.43,-0.024843762
02/04/2013,28.12,0.008930225
01/04/2013,27.87,-0.004296462
28/03/2013,27.99,0.003220615
27/03/2013,27.9,-0.01458841
26/03/2013,28.31,0.004247794
25/03/2013,28.19,-0.002833867
22/03/2013,28.27,0.014968205
21/03/2013,27.85,-0.014614411
20/03/2013,28.26,0.001770852
19/03/2013,28.21,-0.005303177
18/03/2013,28.36,-0.017130291
15/03/2013,28.85,-0.00484095
14/03/2013,28.99,0.004147949
13/03/2013,28.87,0.009046687
12/03/2013,28.61,-0.000698812
11/03/2013,28.63,0.003849524
08/03/2013,28.52,0.018044006
07/03/2013,28.01,0.009325749
06/03/2013,27.75,-0.003237995
05/03/2013,27.84,0.009382963
04/03/2013,27.58,0.013873899
01/03/2013,27.2,0.002208319
28/02/2013,27.14,-0.009534359
