Date,Close,HOG
03/04/2013,50.53,-0.020954453
02/04/2013,51.6,0.000775494
01/04/2013,51.56,-0.033190153
28/03/2013,53.3,0.009046424
27/03/2013,52.82,-0.004910303
26/03/2013,53.08,0.011177534
25/03/2013,52.49,-0.005699104
22/03/2013,52.79,0.001137225
21/03/2013,52.73,-0.023429054
20/03/2013,53.98,0.022291829
19/03/2013,52.79,-0.03169542
18/03/2013,54.49,-0.016742884
15/03/2013,55.41,0.008882502
14/03/2013,54.92,0.002369885
13/03/2013,54.79,0.004389983
12/03/2013,54.55,-0.004024887
11/03/2013,54.77,-0.000912492
08/03/2013,54.82,0.007139618
07/03/2013,54.43,0.013316269
06/03/2013,53.71,0.005975741
05/03/2013,53.39,0.009787392
04/03/2013,52.87,0.01620781
01/03/2013,52.02,-0.011658039
28/02/2013,52.63,0.007629257
27/02/2013,52.23,0.017381666
26/02/2013,51.33,0.013336146
25/02/2013,50.65,-0.010995595
22/02/2013,51.21,0.003129281
21/02/2013,51.05,-0.010134563
20/02/2013,51.57,-0.015966483
19/02/2013,52.4,-0.004949563
15/02/2013,52.66,-0.014890483
14/02/2013,53.45,-0.003361976
13/02/2013,53.63,0.006547587
12/02/2013,53.28,-0.003933694
11/02/2013,53.49,0.011847811
08/02/2013,52.86,0.006072125
07/02/2013,52.54,-0.006639501
06/02/2013,52.89,0.006639501
05/02/2013,52.54,0.01457081
04/02/2013,51.78,-0.018749354
01/02/2013,52.76,0.00646513
31/01/2013,52.42,-0.011003716
30/01/2013,53,-0.028275693
29/01/2013,54.52,0.02450921
28/01/2013,53.2,-0.013813921
25/01/2013,53.94,0.020225409
24/01/2013,52.86,0.021029259
23/01/2013,51.76,0.000966464
22/01/2013,51.71,-0.007705683
18/01/2013,52.11,0.001728609
17/01/2013,52.02,0.024716642
16/01/2013,50.75,-0.011363759
15/01/2013,51.33,0.020469126
14/01/2013,50.29,0.002987157
11/01/2013,50.14,-0.004378116
10/01/2013,50.36,-0.008895976
09/01/2013,50.81,0.038724871
08/01/2013,48.88,-0.003064041
07/01/2013,49.03,0.006958685
04/01/2013,48.69,-0.005529968
03/01/2013,48.96,-0.020819347
