Date,Close,FSLR
16/10/2013,45.76,0.044918734
15/10/2013,43.75,-0.01384655
14/10/2013,44.36,0.023954607
11/10/2013,43.31,0.022887501
10/10/2013,42.33,0.017395887
09/10/2013,41.6,-0.016450484
08/10/2013,42.29,-0.033712364
07/10/2013,43.74,-0.005244568
04/10/2013,43.97,0.020448731
03/10/2013,43.08,0.002323961
02/10/2013,42.98,0.019737483
01/10/2013,42.14,0.046881687
30/09/2013,40.21,-0.012358042
27/09/2013,40.71,0.006407119
26/09/2013,40.45,0.001484414
25/09/2013,40.39,0.033995468
24/09/2013,39.04,0.006682112
23/09/2013,38.78,-0.006169685
20/09/2013,39.02,-0.020546062
19/09/2013,39.83,0.008319725
18/09/2013,39.5,0.025382724
17/09/2013,38.51,0.000779322
16/09/2013,38.48,0.006779687
13/09/2013,38.22,-0.003134799
12/09/2013,38.34,-0.032335381
11/09/2013,39.6,-0.003277452
10/09/2013,39.73,0.038224482
09/09/2013,38.24,0.020875378
06/09/2013,37.45,-0.02400854
05/09/2013,38.36,0.050525245
04/09/2013,36.47,-0.010908207
03/09/2013,36.87,0.004076646
30/08/2013,36.72,-0.021552558
29/08/2013,37.52,0.016120715
28/08/2013,36.92,0.002169198
27/08/2013,36.84,-0.051320438
26/08/2013,38.78,-0.00488747
23/08/2013,38.97,-0.001282216
22/08/2013,39.02,0.012118235
21/08/2013,38.55,0.000778513
20/08/2013,38.52,0.037830195
19/08/2013,37.09,-0.028440455
16/08/2013,38.16,0.013986242
15/08/2013,37.63,-0.031649039
14/08/2013,38.84,-0.001286505
13/08/2013,38.89,-0.042291729
12/08/2013,40.57,-0.011030875
09/08/2013,41.02,0.012510895
08/08/2013,40.51,0.000987898
07/08/2013,40.47,-0.144253297
06/08/2013,46.75,-0.023465827
05/08/2013,47.86,0.011769787
02/08/2013,47.3,-0.017810843
01/08/2013,48.15,-0.021978907
31/07/2013,49.22,0.015148703
30/07/2013,48.48,0.024641046
29/07/2013,47.3,-0.005271493
26/07/2013,47.55,0.000210327
25/07/2013,47.54,0.016543325
24/07/2013,46.76,-0.026172874
23/07/2013,48,-0.021639175
22/07/2013,49.05,0.015201607
19/07/2013,48.31,-0.011320487
18/07/2013,48.86,-0.004084973
17/07/2013,49.06,0.003062164
16/07/2013,48.91,-0.027426603
15/07/2013,50.27,0.053525848
12/07/2013,47.65,0.025075687
11/07/2013,46.47,0.039952636
10/07/2013,44.65,-0.006028823
09/07/2013,44.92,-0.025061765
08/07/2013,46.06,-0.007354565
05/07/2013,46.4,0.018488836
03/07/2013,45.55,0.008377474
02/07/2013,45.17,-0.024924771
01/07/2013,46.31,0.032926592
28/06/2013,44.81,0.00694214
27/06/2013,44.5,-0.013836418
26/06/2013,45.12,0.014285957
25/06/2013,44.48,0.075388537
24/06/2013,41.25,-0.002904868
21/06/2013,41.37,-0.014399097
20/06/2013,41.97,-0.059432584
