Date,Close,NE
16/09/2013,39.15,0.008980176
13/09/2013,38.8,-0.013821566
12/09/2013,39.34,-0.005829442
11/09/2013,39.57,0.001770583
10/09/2013,39.5,0.003804697
09/09/2013,39.35,0.008934329
06/09/2013,39,0.01863408
05/09/2013,38.28,0.016594612
04/09/2013,37.65,0.016334544
03/09/2013,37.04,-0.004310352
30/08/2013,37.2,-0.011227063
29/08/2013,37.62,-0.019479426
28/08/2013,38.36,0.004703432
27/08/2013,38.18,-0.011976191
26/08/2013,38.64,-0.004389936
23/08/2013,38.81,0.010360103
22/08/2013,38.41,0.023443718
21/08/2013,37.52,-0.021880404
20/08/2013,38.35,0.008379206
19/08/2013,38.03,-0.016430152
16/08/2013,38.66,-0.009781288
15/08/2013,39.04,-0.004854999
14/08/2013,39.23,-0.027405864
13/08/2013,40.32,-0.000991572
12/08/2013,40.36,0.010961744
09/08/2013,39.92,0.014127379
08/08/2013,39.36,0.006883392
07/08/2013,39.09,0.004358422
06/08/2013,38.92,-0.015298616
05/08/2013,39.52,-0.006054509
02/08/2013,39.76,0.008841791
01/08/2013,39.41,0.031184076
31/07/2013,38.2,0.009468771
30/07/2013,37.84,-0.00342963
29/07/2013,37.97,-0.015937633
26/07/2013,38.58,-0.018490511
25/07/2013,39.3,-0.009370716
24/07/2013,39.67,-0.017986995
23/07/2013,40.39,0.006707266
22/07/2013,40.12,-0.025105921
19/07/2013,41.14,0.017903605
18/07/2013,40.41,0.009947856
17/07/2013,40.01,0.011563729
16/07/2013,39.55,-0.015056746
15/07/2013,40.15,-0.002487563
12/07/2013,40.25,0.025668244
11/07/2013,39.23,0.001275348
10/07/2013,39.18,-0.002549071
09/07/2013,39.28,0.00689746
08/07/2013,39.01,0.010565747
05/07/2013,38.6,0.024919322
03/07/2013,37.65,-0.00793655
02/07/2013,37.95,0
01/07/2013,37.95,0.00979751
28/06/2013,37.58,-0.012954576
27/06/2013,38.07,0.016152873
26/06/2013,37.46,0.013978722
25/06/2013,36.94,0.0141769
24/06/2013,36.42,-0.02038391
21/06/2013,37.17,0.000807428
20/06/2013,37.14,-0.027355311
19/06/2013,38.17,-0.008088759
18/06/2013,38.48,0.012026289
17/06/2013,38.02,0.012438959
14/06/2013,37.55,-0.012701944
13/06/2013,38.03,0.019381995
12/06/2013,37.3,-0.020170535
11/06/2013,38.06,-0.021830389
10/06/2013,38.9,-0.00844751
07/06/2013,39.23,0.006649641
06/06/2013,38.97,0
05/06/2013,38.97,-0.005884627
04/06/2013,39.2,-0.005342844
03/06/2013,39.41,0.016888835
31/05/2013,38.75,-0.035491685
30/05/2013,40.15,-0.003729029
29/05/2013,40.3,-0.010122294
28/05/2013,40.71,0.002459421
24/05/2013,40.61,-0.006871193
23/05/2013,40.89,0.003675124
22/05/2013,40.74,-0.02161065
21/05/2013,41.63,-0.015019951
20/05/2013,42.26,0.038596204
17/05/2013,40.66,0.018868484
16/05/2013,39.9,-0.001752849
15/05/2013,39.97,0.008290463
14/05/2013,39.64,-0.008040244
13/05/2013,39.96,-0.001750219
10/05/2013,40.03,-0.002993267
09/05/2013,40.15,0.006246116
08/05/2013,39.9,0.017444508
07/05/2013,39.21,0.007423559
06/05/2013,38.92,0.001542813
03/05/2013,38.86,0.039364831
02/05/2013,37.36,0.012931215
01/05/2013,36.88,-0.016671534
30/04/2013,37.5,0.003472689
29/04/2013,37.37,0.006981768
26/04/2013,37.11,-0.010987649
25/04/2013,37.52,0.001333511
24/04/2013,37.47,0.022946074
23/04/2013,36.62,0
22/04/2013,36.62,0.016520199
19/04/2013,36.02,-0.014059501
18/04/2013,36.53,0.044215372
17/04/2013,34.95,-0.035692984
16/04/2013,36.22,0.043736693
15/04/2013,34.67,-0.056901995
12/04/2013,36.7,-0.020229955
11/04/2013,37.45,-0.012735646
10/04/2013,37.93,0.007143832
09/04/2013,37.66,-0.002916613
08/04/2013,37.77,0.001855042
05/04/2013,37.7,0.03509132
04/04/2013,36.4,0.006338729
03/04/2013,36.17,-0.013183382
02/04/2013,36.65,-0.032481717
01/04/2013,37.86,-0.007630612
28/03/2013,38.15,0.005783402
27/03/2013,37.93,0.027530805
26/03/2013,36.9,0.014467292
25/03/2013,36.37,-0.007123318
22/03/2013,36.63,0.001092598
21/03/2013,36.59,-0.001911263
20/03/2013,36.66,0.012903405
19/03/2013,36.19,-0.028869107
18/03/2013,37.25,-0.015186118
15/03/2013,37.82,0.01196982
14/03/2013,37.37,0.045157487
13/03/2013,35.72,0.010978295
12/03/2013,35.33,-0.010138076
11/03/2013,35.69,-0.00447303
08/03/2013,35.85,0.028577415
07/03/2013,34.84,-0.018766544
06/03/2013,35.5,-0.00028165
05/03/2013,35.51,0.019048195
04/03/2013,34.84,-0.015097851
01/03/2013,35.37,-0.012642393
28/02/2013,35.82,-0.014412666
27/02/2013,36.34,0.006072334
26/02/2013,36.12,0.013939451
25/02/2013,35.62,-0.04420761
22/02/2013,37.23,0.00107498
21/02/2013,37.19,-0.017326836
20/02/2013,37.84,-0.047480538
19/02/2013,39.68,0.014469094
15/02/2013,39.11,-0.024748738
14/02/2013,40.09,0.01736111
13/02/2013,39.4,0.007387628
12/02/2013,39.11,0.005898209
11/02/2013,38.88,-0.022381402
08/02/2013,39.76,0.016994702
07/02/2013,39.09,-0.004594189
06/02/2013,39.27,-0.018168554
05/02/2013,39.99,-0.018580988
04/02/2013,40.74,-0.016553445
01/02/2013,41.42,0.022461882
31/01/2013,40.5,0.017937701
30/01/2013,39.78,0
29/01/2013,39.78,0.016219311
