Date,Close,PVH
23/01/2013,117.57,-0.000255135
22/01/2013,117.6,-0.003565066
18/01/2013,118.02,-0.008017259
17/01/2013,118.97,0.005140533
16/01/2013,118.36,-0.009167046
15/01/2013,119.45,0.01441907
14/01/2013,117.74,0.002295822
11/01/2013,117.47,-0.002890175
10/01/2013,117.81,-0.005502194
09/01/2013,118.46,0.005332443
08/01/2013,117.83,0.006727151
07/01/2013,117.04,0.011860904
04/01/2013,115.66,0.017091452
03/01/2013,113.7,0.01685184
02/01/2013,111.8,0.007091273
31/12/2012,111.01,0.025454095
28/12/2012,108.22,-0.009106442
27/12/2012,109.21,0.012994976
26/12/2012,107.8,-0.025280702
24/12/2012,110.56,0.005532643
21/12/2012,109.95,-0.020168146
20/12/2012,112.19,-0.002492657
19/12/2012,112.47,0.004812844
18/12/2012,111.93,0.015304584
17/12/2012,110.23,0.017110075
14/12/2012,108.36,-0.003684603
13/12/2012,108.76,-0.00559301
12/12/2012,109.37,-0.01434302
11/12/2012,110.95,0.003521289
10/12/2012,110.56,-0.017483747
07/12/2012,112.51,0.002937383
06/12/2012,112.18,0.009314056
05/12/2012,111.14,-0.02303655
04/12/2012,113.73,-0.011887213
03/12/2012,115.09,0.004353891
30/11/2012,114.59,-0.002179315
29/11/2012,114.84,-0.014008011
28/11/2012,116.46,0.063542967
27/11/2012,109.29,-0.013180212
26/11/2012,110.74,-0.002074783
23/11/2012,110.97,0.01242252
21/11/2012,109.6,-0.007725555
20/11/2012,110.45,-0.007127099
19/11/2012,111.24,0.026877216
16/11/2012,108.29,0.009090972
15/11/2012,107.31,0.002332417
14/11/2012,107.06,-0.014281983
13/11/2012,108.6,-0.012718045
12/11/2012,109.99,0.010143094
09/11/2012,108.88,-0.012141278
08/11/2012,110.21,-0.01834089
07/11/2012,112.25,-0.016434369
06/11/2012,114.11,0.024304904
05/11/2012,111.37,0.002247293
02/11/2012,111.12,-0.03214515
01/11/2012,114.75,0.042366396
31/10/2012,109.99,0.18405048
26/10/2012,91.5,-0.016368042
25/10/2012,93.01,-0.009203832
24/10/2012,93.87,-0.006583162
23/10/2012,94.49,-0.009689386
22/10/2012,95.41,-0.013740197
19/10/2012,96.73,-0.016100435
18/10/2012,98.3,0.003056548
17/10/2012,98,0.009020151
16/10/2012,97.12,0.022491577
15/10/2012,94.96,0.023548049
12/10/2012,92.75,-0.014025175
11/10/2012,94.06,0.009292457
10/10/2012,93.19,-0.000643639
09/10/2012,93.25,-0.012892406
08/10/2012,94.46,-0.010949783
05/10/2012,95.5,-0.003449541
04/10/2012,95.83,0.011756197
03/10/2012,94.71,0.019080683
02/10/2012,92.92,-0.000322806
01/10/2012,92.95,-0.008249899
28/09/2012,93.72,0.003099121
27/09/2012,93.43,0.009031348
26/09/2012,92.59,-0.001726557
25/09/2012,92.75,-0.016255304
24/09/2012,94.27,0.017549942
21/09/2012,92.63,0.001296316
20/09/2012,92.51,0.002164269
19/09/2012,92.31,0.008048771
18/09/2012,91.57,-0.029059298
17/09/2012,94.27,-0.005500913
14/09/2012,94.79,0.015415178
13/09/2012,93.34,0.006233228
12/09/2012,92.76,0.000323468
11/09/2012,92.73,-0.009338339
10/09/2012,93.6,-0.005008803
07/09/2012,94.07,-0.005195368
06/09/2012,94.56,0.016635061
05/09/2012,93,-0.014623733
04/09/2012,94.37,0.00499284
31/08/2012,93.9,0.004375908
30/08/2012,93.49,-0.003523574
29/08/2012,93.82,0.011254741
28/08/2012,92.77,0.04723376
27/08/2012,88.49,0.006234788
24/08/2012,87.94,0.009942371
23/08/2012,87.07,-0.004697803
22/08/2012,87.48,-0.003081667
21/08/2012,87.75,0.006402217
20/08/2012,87.19,-0.020659078
17/08/2012,89.01,0.01642445
16/08/2012,87.56,0.008948092
15/08/2012,86.78,0.017553488
14/08/2012,85.27,0.004348599
13/08/2012,84.9,0.012563873
10/08/2012,83.84,-0.002858506
09/08/2012,84.08,-0.005456069
08/08/2012,84.54,0.003436226
07/08/2012,84.25,0.066114441
06/08/2012,78.86,0.016880196
03/08/2012,77.54,0.030775689
02/08/2012,75.19,-0.03643414
01/08/2012,77.98,-0.018423747
31/07/2012,79.43,-0.022285392
30/07/2012,81.22,0.00370051
27/07/2012,80.92,0.03431925
26/07/2012,78.19,0.035539048
25/07/2012,75.46,-0.009496247
24/07/2012,76.18,-0.021170997
23/07/2012,77.81,-0.016822112
20/07/2012,79.13,-0.01542447
19/07/2012,80.36,0.037529759
18/07/2012,77.4,0.01575656
17/07/2012,76.19,-0.003275899
16/07/2012,76.44,0.000654322
13/07/2012,76.39,0.025455438
12/07/2012,74.47,-0.014001162
11/07/2012,75.52,-0.040228598
10/07/2012,78.62,0.013187567
09/07/2012,77.59,-0.02658006
06/07/2012,79.68,-0.029919403
05/07/2012,82.1,0.024662162
03/07/2012,80.1,0.016235962
02/07/2012,78.81,0.013027004
29/06/2012,77.79,0.032267184
28/06/2012,75.32,-0.033551871
27/06/2012,77.89,-0.003844187
26/06/2012,78.19,0.003844187
25/06/2012,77.89,-0.02422593
22/06/2012,79.8,0.004269754
21/06/2012,79.46,-0.000251667
20/06/2012,79.48,-0.016595303
19/06/2012,80.81,0.007826613
18/06/2012,80.18,0.009901691
15/06/2012,79.39,0.026549102
14/06/2012,77.31,0.017748084
13/06/2012,75.95,-0.027786779
12/06/2012,78.09,0.008100334
11/06/2012,77.46,-0.031764836
08/06/2012,79.96,0.014740424
07/06/2012,78.79,-0.018360677
06/06/2012,80.25,0.007379184
05/06/2012,79.66,0.031627222
04/06/2012,77.18,0.009241849
01/06/2012,76.47,-0.057550648
31/05/2012,81,-0.024873265
30/05/2012,83.04,-0.019084549
29/05/2012,84.64,0.026093641
25/05/2012,82.46,0.000970638
24/05/2012,82.38,0.06274358
23/05/2012,77.37,-0.002323781
22/05/2012,77.55,0.020452742
21/05/2012,75.98,0.043991221
18/05/2012,72.71,0.000137542
17/05/2012,72.7,-0.048855663
16/05/2012,76.34,-0.039427258
15/05/2012,79.41,-0.001258495
14/05/2012,79.51,-0.021401837
11/05/2012,81.23,0.012636442
10/05/2012,80.21,-0.01460422
09/05/2012,81.39,0.000860427
08/05/2012,81.32,-0.033376738
07/05/2012,84.08,-0.018617246
04/05/2012,85.66,-0.06025373
03/05/2012,90.98,-0.014946005
02/05/2012,92.35,0.030007197
01/05/2012,89.62,0.009191859
30/04/2012,88.8,-0.014089465
27/04/2012,90.06,-0.005315627
26/04/2012,90.54,0.017942199
25/04/2012,88.93,0.024934405
24/04/2012,86.74,-0.003912098
23/04/2012,87.08,-0.016401279
20/04/2012,88.52,-0.00180587
19/04/2012,88.68,-0.014997483
18/04/2012,90.02,0.001667686
17/04/2012,89.87,0.014232324
16/04/2012,88.6,-0.004616865
