Date,Close,BTU
08/04/2013,20.34,0.008393039
05/04/2013,20.17,0.020030715
04/04/2013,19.77,-0.019038651
03/04/2013,20.15,0.011480036
02/04/2013,19.92,-0.030162979
01/04/2013,20.53,-0.029752674
28/03/2013,21.15,-0.005187467
27/03/2013,21.26,0.01325777
26/03/2013,20.98,0.008616616
25/03/2013,20.8,-0.008139858
22/03/2013,20.97,0.008620743
21/03/2013,20.79,-0.01952908
20/03/2013,21.2,-0.002355714
19/03/2013,21.25,-0.040125281
18/03/2013,22.12,0.012739026
15/03/2013,21.84,0.007814335
14/03/2013,21.67,0.013940746
13/03/2013,21.37,-0.015324191
12/03/2013,21.7,0.004618946
11/03/2013,21.6,-0.018349139
08/03/2013,22,0.010050336
07/03/2013,21.78,0.011544806
06/03/2013,21.53,0.034494325
05/03/2013,20.8,0.017459221
04/03/2013,20.44,-0.005853675
01/03/2013,20.56,-0.047492305
28/02/2013,21.56,-0.010152371
27/02/2013,21.78,0.013404407
26/02/2013,21.49,-0.002788106
25/02/2013,21.55,-0.051107662
22/02/2013,22.68,-0.018349139
21/02/2013,23.1,-0.017593245
20/02/2013,23.51,-0.039204353
19/02/2013,24.45,0.002047084
15/02/2013,24.4,-0.024692613
14/02/2013,25.01,0.044142843
13/02/2013,23.93,0.007550371
12/02/2013,23.75,0.009306328
11/02/2013,23.53,-0.008463868
08/02/2013,23.73,-0.001263424
07/02/2013,23.76,-0.016694879
06/02/2013,24.16,0.003316753
05/02/2013,24.08,-0.025016683
04/02/2013,24.69,-0.015273609
01/02/2013,25.07,-0.003185984
31/01/2013,25.15,0.011195639
30/01/2013,24.87,-0.065744067
29/01/2013,26.56,0.054150893
28/01/2013,25.16,-0.025893954
25/01/2013,25.82,0.009338589
24/01/2013,25.58,-0.012432173
23/01/2013,25.9,-0.0138039
22/01/2013,26.26,0.011104843
18/01/2013,25.97,0.023374652
17/01/2013,25.37,0.014291629
16/01/2013,25.01,0.011258663
15/01/2013,24.73,0.005270639
14/01/2013,24.6,-0.022906366
11/01/2013,25.17,-0.055258407
10/01/2013,26.6,0.012864347
09/01/2013,26.26,-0.019608471
08/01/2013,26.78,-0.019963694
07/01/2013,27.32,0.002932553
04/01/2013,27.24,0.022272636
03/01/2013,26.64,0.030490167
02/01/2013,25.84,-0.029363406
31/12/2012,26.61,0.048113955
28/12/2012,25.36,-0.024153882
27/12/2012,25.98,-0.015658139
26/12/2012,26.39,0.014888612
24/12/2012,26,-0.013371737
21/12/2012,26.35,-0.014692297
20/12/2012,26.74,-0.012265532
19/12/2012,27.07,-0.011021419
18/12/2012,27.37,0.027409123
17/12/2012,26.63,-0.038671731
14/12/2012,27.68,0.002169983
13/12/2012,27.62,0.002537612
12/12/2012,27.55,0.016468808
11/12/2012,27.1,-0.007352974
10/12/2012,27.3,0.015504187
07/12/2012,26.88,0.019914241
06/12/2012,26.35,0.011066703
05/12/2012,26.06,0.043928631
04/12/2012,24.94,0.005629287
03/12/2012,24.8,-0.01242252
30/11/2012,25.11,0.003191068
29/11/2012,25.03,0.011249616
28/11/2012,24.75,0.018760746
27/11/2012,24.29,-0.013088121
26/11/2012,24.61,-0.021705032
23/11/2012,25.15,0.009990093
21/11/2012,24.9,-0.006006024
20/11/2012,25.05,-0.013481568
19/11/2012,25.39,0.015479571
16/11/2012,25,-0.002796087
15/11/2012,25.07,-0.01228955
14/11/2012,25.38,-0.032561016
13/11/2012,26.22,-0.010244825
12/11/2012,26.49,0.012153587
09/11/2012,26.17,0.002295334
08/11/2012,26.11,-0.004966581
07/11/2012,26.24,-0.101389226
06/11/2012,29.04,0.018068594
05/11/2012,28.52,0.013058241
02/11/2012,28.15,-0.039357335
01/11/2012,29.28,0.048278
31/10/2012,27.9,-0.011404258
26/10/2012,28.22,0.006755581
25/10/2012,28.03,0.019816898
24/10/2012,27.48,-0.031168563
23/10/2012,28.35,-0.020943174
