Date,Close,ITW
06/01/2014,82.71,-0.012376247
03/01/2014,83.74,0.006589612
02/01/2014,83.19,-0.010641578
31/12/2013,84.08,0.007640916
30/12/2013,83.44,-0.001796085
27/12/2013,83.59,-0.001434549
26/12/2013,83.71,0.004429819
24/12/2013,83.34,0.007709024
23/12/2013,82.7,0.010086979
20/12/2013,81.87,0.000610911
19/12/2013,81.82,0.007729626
18/12/2013,81.19,0.015265577
17/12/2013,79.96,-0.000375117
16/12/2013,79.99,0.013086886
13/12/2013,78.95,0.006608233
12/12/2013,78.43,-0.003436648
11/12/2013,78.7,-0.014631946
10/12/2013,79.86,0.00025047
09/12/2013,79.84,-0.008108321
06/12/2013,80.49,0.019824991
05/12/2013,78.91,0.010061857
04/12/2013,78.12,-0.001151411
03/12/2013,78.21,-0.011062482
02/12/2013,79.08,-0.006302807
29/11/2013,79.58,0.001005783
27/11/2013,79.5,0.002771132
26/11/2013,79.28,0.000504668
25/11/2013,79.24,-0.0032758
22/11/2013,79.5,0.004159582
21/11/2013,79.17,0.006716963
20/11/2013,78.64,-0.006716963
19/11/2013,79.17,-0.003530454
18/11/2013,79.45,-0.002514143
15/11/2013,79.65,0.001256282
14/11/2013,79.55,0.003778342
13/11/2013,79.25,0.005313778
12/11/2013,78.83,-0.003292809
11/11/2013,79.09,0.000126446
08/11/2013,79.08,0.009146405
07/11/2013,78.36,-0.01129382
06/11/2013,79.25,0.001262626
05/11/2013,79.15,-0.000884006
04/11/2013,79.22,0.003034136
01/11/2013,78.98,0.002408571
31/10/2013,78.79,0.004197144
30/10/2013,78.46,-0.009892281
29/10/2013,79.24,0.010019743
28/10/2013,78.45,-0.001273886
25/10/2013,78.55,0.000509359
24/10/2013,78.51,0.000509619
23/10/2013,78.47,0.00549487
22/10/2013,78.04,0.006169685
21/10/2013,77.56,0.001806685
18/10/2013,77.42,0.00725956
17/10/2013,76.86,0.012568901
16/10/2013,75.9,0.001846236
15/10/2013,75.76,-0.019476467
14/10/2013,77.25,0.004150998
11/10/2013,76.93,0.005343773
10/10/2013,76.52,0.030383763
09/10/2013,74.23,0.002292806
08/10/2013,74.06,-0.011144795
07/10/2013,74.89,-0.005990832
04/10/2013,75.34,0.005723809
03/10/2013,74.91,-0.008374924
02/10/2013,75.54,-0.01145126
01/10/2013,76.41,0.001833901
30/09/2013,76.27,-0.00601309
27/09/2013,76.73,-0.007142424
26/09/2013,77.28,0.000517732
25/09/2013,77.24,-0.009791369
24/09/2013,78,0.022953741
23/09/2013,76.23,-0.003404927
20/09/2013,76.49,0.002093968
19/09/2013,76.33,0.002360966
18/09/2013,76.15,0.008704882
17/09/2013,75.49,0.005179638
16/09/2013,75.1,0.009767924
13/09/2013,74.37,0.005798681
12/09/2013,73.94,-0.005126141
11/09/2013,74.32,-0.001478992
10/09/2013,74.43,0.011757687
09/09/2013,73.56,0.009287147
06/09/2013,72.88,0.00426264
05/09/2013,72.57,-0.003439029
04/09/2013,72.82,0.018433063
03/09/2013,71.49,0.000279799
30/08/2013,71.47,-0.004049437
29/08/2013,71.76,0.002232144
28/08/2013,71.6,0.001257774
27/08/2013,71.51,-0.020485145
26/08/2013,72.99,-0.003965275
23/08/2013,73.28,0.005473467
22/08/2013,72.88,0.012148134
21/08/2013,72,-0.004849334
20/08/2013,72.35,0.002629577
19/08/2013,72.16,-0.003734702
16/08/2013,72.43,-0.002344344
15/08/2013,72.6,-0.013272412
14/08/2013,73.57,-0.005422272
13/08/2013,73.97,0.006102128
12/08/2013,73.52,0.002996869
09/08/2013,73.3,-0.003268867
08/08/2013,73.54,0
07/08/2013,73.54,0.000952316
06/08/2013,73.47,-0.003668233
05/08/2013,73.74,-0.006892385
02/08/2013,74.25,0.007570673
