Date,Close,MPC
02/01/2014,89.48,-0.024834343
31/12/2013,91.73,0.035846928
30/12/2013,88.5,-0.007093426
27/12/2013,89.13,-0.004589475
26/12/2013,89.54,0.002124211
24/12/2013,89.35,0.006512487
23/12/2013,88.77,0.017156587
20/12/2013,87.26,0.017922663
19/12/2013,85.71,-0.019754585
18/12/2013,87.42,0.015330829
17/12/2013,86.09,-0.003015544
16/12/2013,86.35,0.013290007
13/12/2013,85.21,-0.005734028
12/12/2013,85.7,-0.003261885
11/12/2013,85.98,-0.017638361
10/12/2013,87.51,0.022652072
09/12/2013,85.55,-0.019103331
06/12/2013,87.2,0.039174843
05/12/2013,83.85,0.007061247
04/12/2013,83.26,-0.043824928
03/12/2013,86.99,-0.004816523
02/12/2013,87.41,0.054906532
29/11/2013,82.74,-0.019153087
27/11/2013,84.34,0.033639919
26/11/2013,81.55,-0.002816386
25/11/2013,81.78,0.018885953
22/11/2013,80.25,0.018487604
21/11/2013,78.78,0.017672377
20/11/2013,77.4,-0.018306854
19/11/2013,78.83,0.017919333
18/11/2013,77.43,-0.01804618
15/11/2013,78.84,-0.000253646
14/11/2013,78.86,0.04885357
13/11/2013,75.1,0.01462034
12/11/2013,74.01,0.024760173
11/11/2013,72.2,0.007646892
08/11/2013,71.65,0.017173846
07/11/2013,70.43,0.000426046
06/11/2013,70.4,-0.004535155
05/11/2013,70.72,-0.01362285
04/11/2013,71.69,0.011645168
01/11/2013,70.86,-0.011226612
31/10/2013,71.66,-0.011791772
30/10/2013,72.51,0.023583037
29/10/2013,70.82,-0.005351372
28/10/2013,71.2,0.018570241
25/10/2013,69.89,0.009777217
24/10/2013,69.21,-0.040769978
23/10/2013,72.09,-0.005671223
22/10/2013,72.5,0.021893087
21/10/2013,70.93,0.002682291
18/10/2013,70.74,0.007947814
17/10/2013,70.18,0.017681766
16/10/2013,68.95,0.007424155
15/10/2013,68.44,0.018433022
14/10/2013,67.19,-0.000892592
11/10/2013,67.25,0.029271855
10/10/2013,65.31,0.050399175
09/10/2013,62.1,-0.006420568
08/10/2013,62.5,-0.022465745
07/10/2013,63.92,-0.020287184
04/10/2013,65.23,0
03/10/2013,65.23,-0.00168492
02/10/2013,65.34,0.016200308
01/10/2013,64.29,-0.000466527
30/09/2013,64.32,-0.009593142
27/09/2013,64.94,0.012395572
26/09/2013,64.14,-0.005131805
25/09/2013,64.47,0.002484859
24/09/2013,64.31,0.020739157
23/09/2013,62.99,-0.023844267
20/09/2013,64.51,-0.013854901
19/09/2013,65.41,-0.012911245
18/09/2013,66.26,0.000754888
17/09/2013,66.21,-0.011114563
16/09/2013,66.95,-0.013942676
13/09/2013,67.89,0.014241451
12/09/2013,66.93,-0.011586582
11/09/2013,67.71,-0.005743334
10/09/2013,68.1,-0.021931022
09/09/2013,69.61,-0.017656731
06/09/2013,70.85,-0.017489078
05/09/2013,72.1,-0.021405867
04/09/2013,73.66,0.002991165
03/09/2013,73.44,0.012744263
30/08/2013,72.51,-0.015328068
29/08/2013,73.63,-0.005552936
28/08/2013,74.04,0.012777121
27/08/2013,73.1,-0.023123199
26/08/2013,74.81,-0.003336228
23/08/2013,75.06,0.002668091
22/08/2013,74.86,0.04103909
21/08/2013,71.85,0.01204159
20/08/2013,70.99,0.027708142
19/08/2013,69.05,-0.013664362
16/08/2013,70,-0.009525913
15/08/2013,70.67,-0.04184595
14/08/2013,73.69,-0.016820689
13/08/2013,74.94,0.025543655
12/08/2013,73.05,-0.002597582
09/08/2013,73.24,0.010293098
08/08/2013,72.49,0.010678973
07/08/2013,71.72,0.008401058
06/08/2013,71.12,-0.007982677
05/08/2013,71.69,-0.003342156
02/08/2013,71.93,-0.04299397
01/08/2013,75.09,0.023717592
31/07/2013,73.33,0.004373384
30/07/2013,73.01,0.010740946
29/07/2013,72.23,0.004440135
26/07/2013,71.91,-0.001944985
25/07/2013,72.05,0.023309115
24/07/2013,70.39,-0.019415354
23/07/2013,71.77,0.02725965
22/07/2013,69.84,0.003442344
19/07/2013,69.6,0.019001224
18/07/2013,68.29,-0.021154078
17/07/2013,69.75,-0.002577321
16/07/2013,69.93,-0.044333625
15/07/2013,73.1,-0.001913353
12/07/2013,73.24,0.02390442
11/07/2013,71.51,0.045927533
10/07/2013,68.3,-0.026298293
09/07/2013,70.12,0.00974499
08/07/2013,69.44,0.006501504
05/07/2013,68.99,-0.024908244
03/07/2013,70.73,0.020569215
02/07/2013,69.29,-0.015608536
01/07/2013,70.38,-0.009615459
28/06/2013,71.06,0.000140736
27/06/2013,71.05,-0.019236724
26/06/2013,72.43,0.004843965
25/06/2013,72.08,0.023867481
24/06/2013,70.38,-0.033944177
21/06/2013,72.81,-0.013369913
20/06/2013,73.79,-0.059452088
19/06/2013,78.31,-0.007759372
18/06/2013,78.92,-0.001013171
17/06/2013,79,-0.007691861
14/06/2013,79.61,-0.014713482
13/06/2013,80.79,0.018867305
12/06/2013,79.28,-0.007289212
11/06/2013,79.86,-0.031431687
10/06/2013,82.41,-0.014695519
07/06/2013,83.63,0.010578293
06/06/2013,82.75,0.034672763
05/06/2013,79.93,-0.008719537
04/06/2013,80.63,-0.017092331
03/06/2013,82.02,-0.005835173
31/05/2013,82.5,-0.012527266
30/05/2013,83.54,-0.002032886
29/05/2013,83.71,-0.000477726
28/05/2013,83.75,0.020385484
24/05/2013,82.06,-0.003649195
23/05/2013,82.36,-0.001092167
22/05/2013,82.45,-0.00520173
21/05/2013,82.88,-0.020540488
20/05/2013,84.6,0.022956532
17/05/2013,82.68,0.051624365
16/05/2013,78.52,-0.010893078
15/05/2013,79.38,0.019462549
14/05/2013,77.85,0.018146966
13/05/2013,76.45,-0.012091417
10/05/2013,77.38,-0.013988037
09/05/2013,78.47,-0.001782532
08/05/2013,78.61,-0.035367635
07/05/2013,81.44,0.013598924
06/05/2013,80.34,0.028277572
03/05/2013,78.1,0.029891764
02/05/2013,75.8,0.031221133
01/05/2013,73.47,-0.064436433
30/04/2013,78.36,-0.050393196
29/04/2013,82.41,0.012945955
26/04/2013,81.35,-0.003313496
25/04/2013,81.62,-0.012177452
24/04/2013,82.62,0.013035453
23/04/2013,81.55,0.019314702
22/04/2013,79.99,0.015623349
19/04/2013,78.75,0.022602734
18/04/2013,76.99,0.004947927
17/04/2013,76.61,-0.029073311
