Date,Close,SCG
28/02/2013,48.84,-0.000818666
27/02/2013,48.88,0.008835977
26/02/2013,48.45,-0.000825253
25/02/2013,48.49,-0.01005446
22/02/2013,48.98,0.009023851
21/02/2013,48.54,-0.004316997
20/02/2013,48.75,0.001436929
19/02/2013,48.68,0.015735314
15/02/2013,47.92,0.001252871
14/02/2013,47.86,-0.000626632
13/02/2013,47.89,0.000626632
12/02/2013,47.86,0.00818215
11/02/2013,47.47,0.005068649
08/02/2013,47.23,0.004881682
07/02/2013,47,-0.002762139
06/02/2013,47.13,0.002336698
05/02/2013,47.02,0.003835504
04/02/2013,46.84,-0.007020559
01/02/2013,47.17,0.007661242
31/01/2013,46.81,0.004496314
30/01/2013,46.6,0.001288383
29/01/2013,46.54,0.002797205
28/01/2013,46.41,-0.006657385
25/01/2013,46.72,0.001713796
24/01/2013,46.64,0.003221306
23/01/2013,46.49,-0.005149121
22/01/2013,46.73,0.009676454
18/01/2013,46.28,0.00955283
17/01/2013,45.84,-0.003266909
16/01/2013,45.99,-0.004772243
15/01/2013,46.21,-0.002161696
14/01/2013,46.31,-0.003879315
11/01/2013,46.49,-0.000645092
10/01/2013,46.52,0.007768705
09/01/2013,46.16,0.000650125
08/01/2013,46.13,0.004780539
07/01/2013,45.91,-0.016418602
04/01/2013,46.67,0.000857449
03/01/2013,46.63,-0.003852744
02/01/2013,46.81,0.02531233
31/12/2012,45.64,0.011902278
28/12/2012,45.1,-0.01146397
27/12/2012,45.62,-0.001314348
26/12/2012,45.68,-0.007415519
24/12/2012,46.02,-0.00433652
21/12/2012,46.22,-0.004533197
20/12/2012,46.43,0.002371969
19/12/2012,46.32,-0.011803979
18/12/2012,46.87,0.006421255
17/12/2012,46.57,0.020172032
14/12/2012,45.64,-0.004808752
13/12/2012,45.86,-0.006736959
12/12/2012,46.17,-0.001514988
11/12/2012,46.24,0.003466208
10/12/2012,46.08,0.003913899
07/12/2012,45.9,0.002617803
06/12/2012,45.78,-0.011942385
05/12/2012,46.33,0.013472607
04/12/2012,45.71,-0.010229712
03/12/2012,46.18,-0.003458715
30/11/2012,46.34,0.011503111
29/11/2012,45.81,0.001310616
28/11/2012,45.75,0.003942186
27/11/2012,45.57,0.002636785
26/11/2012,45.45,0.007065607
23/11/2012,45.13,-0.003539044
21/11/2012,45.29,-0.003526563
20/11/2012,45.45,-0.003294896
19/11/2012,45.6,-0.010905233
16/11/2012,46.1,0.012880868
15/11/2012,45.51,-0.008533035
14/11/2012,45.9,-0.005215136
13/11/2012,46.14,-0.002597404
12/11/2012,46.26,-0.004314071
09/11/2012,46.46,-0.003008814
08/11/2012,46.6,-0.00064357
07/11/2012,46.63,-0.023734956
06/11/2012,47.75,-0.003345184
05/11/2012,47.91,-0.011620799
02/11/2012,48.47,-0.010671146
01/11/2012,48.99,-0.001835424
31/10/2012,49.08,0.009005382
26/10/2012,48.64,0.000822707
25/10/2012,48.6,0.009510099
24/10/2012,48.14,-0.005179748
23/10/2012,48.39,-0.008846884
22/10/2012,48.82,-0.006126219
19/10/2012,49.12,-0.008110345
18/10/2012,49.52,0.002628654
17/10/2012,49.39,0.014479706
16/10/2012,48.68,0.003498306
15/10/2012,48.51,0.004338402
12/10/2012,48.3,-0.004338402
11/10/2012,48.51,-0.001236094
10/10/2012,48.57,-0.003699141
09/10/2012,48.75,-0.003889861
08/10/2012,48.94,0
05/10/2012,48.94,0.00184068
04/10/2012,48.85,0.00471941
03/10/2012,48.62,0.008883438
02/10/2012,48.19,0.00645365
01/10/2012,47.88,-0.008112369
28/09/2012,48.27,0.002904566
27/09/2012,48.13,-0.011362585
26/09/2012,48.68,0.001233299
25/09/2012,48.62,-0.001438701
24/09/2012,48.69,0.005147752
21/09/2012,48.44,-0.001031672
20/09/2012,48.49,0.001031672
19/09/2012,48.44,0.008291921
18/09/2012,48.04,-0.001456058
17/09/2012,48.11,-0.006422896
14/09/2012,48.42,-0.011294914
13/09/2012,48.97,0.014812038
12/09/2012,48.25,-0.000414422
11/09/2012,48.27,0.000414422
10/09/2012,48.25,-0.001449726
07/09/2012,48.32,-0.002273903
06/09/2012,48.43,0.005590655
05/09/2012,48.16,0.005413297
04/09/2012,47.9,0.011337514
31/08/2012,47.36,-0.000422208
30/08/2012,47.38,-0.007569422
29/08/2012,47.74,0.000419024
28/08/2012,47.72,-0.003764907
27/08/2012,47.9,-0.000626109
24/08/2012,47.93,0.007118958
23/08/2012,47.59,-0.011490777
22/08/2012,48.14,-0.004973073
21/08/2012,48.38,-0.005976319
20/08/2012,48.67,0.002056767
17/08/2012,48.57,-0.000617475
16/08/2012,48.6,-0.001028278
15/08/2012,48.65,-0.007576569
14/08/2012,49.02,0.002655502
13/08/2012,48.89,-0.001430762
10/08/2012,48.96,0.006763014
09/08/2012,48.63,-0.000205613
08/08/2012,48.64,-0.004103412
07/08/2012,48.84,-0.006937388
06/08/2012,49.18,-0.003248074
03/08/2012,49.34,0.015729055
02/08/2012,48.57,-0.00656682
01/08/2012,48.89,-0.005710805
31/07/2012,49.17,-0.009714709
30/07/2012,49.65,0.003834128
27/07/2012,49.46,0.0193943
26/07/2012,48.51,0.014744323
25/07/2012,47.8,0.001465508
24/07/2012,47.73,-0.00896867
23/07/2012,48.16,-0.010534023
20/07/2012,48.67,0.001027855
19/07/2012,48.62,0.002058885
18/07/2012,48.52,0.000206122
17/07/2012,48.51,-0.000412201
16/07/2012,48.53,-0.004112693
13/07/2012,48.73,0.009277461
12/07/2012,48.28,-0.001448826
11/07/2012,48.35,0.007473566
10/07/2012,47.99,0.001459702
09/07/2012,47.92,-0.004788184
06/07/2012,48.15,0.001246883
05/07/2012,48.09,-0.00601225
03/07/2012,48.38,-0.00165221
