Date,Close,FIS
10/07/2013,44.86,0.009631612
09/07/2013,44.43,-0.004491362
08/07/2013,44.63,0.022661292
05/07/2013,43.63,0.013382756
03/07/2013,43.05,0.005824128
02/07/2013,42.8,-0.014151727
01/07/2013,43.41,0.013217584
28/06/2013,42.84,-0.003960401
27/06/2013,43.01,0.001395998
26/06/2013,42.95,-0.001395998
25/06/2013,43.01,0.011222938
24/06/2013,42.53,-0.002583071
21/06/2013,42.64,0.000469153
20/06/2013,42.62,-0.026625025
19/06/2013,43.77,-0.012712998
18/06/2013,44.33,0.007017573
17/06/2013,44.02,0.008669915
14/06/2013,43.64,-0.024223029
13/06/2013,44.71,0.019422471
12/06/2013,43.85,-0.016510609
11/06/2013,44.58,-0.002911862
10/06/2013,44.71,0.004034071
07/06/2013,44.53,0.009023296
06/06/2013,44.13,0.017371865
05/06/2013,43.37,-0.021668085
04/06/2013,44.32,-0.013224445
03/06/2013,44.91,0.000222692
31/05/2013,44.9,-0.01940952
30/05/2013,45.78,0.015630478
29/05/2013,45.07,-0.016067254
28/05/2013,45.8,0.014072352
24/05/2013,45.16,-0.001769912
23/05/2013,45.24,0.00132714
22/05/2013,45.18,-0.002431747
21/05/2013,45.29,0.000662617
20/05/2013,45.26,0.003984951
17/05/2013,45.08,0.012724806
16/05/2013,44.51,0.004277841
15/05/2013,44.32,0.007928459
14/05/2013,43.97,0.00570192
13/05/2013,43.72,-0.001599818
10/05/2013,43.79,0
09/05/2013,43.79,0.005036641
08/05/2013,43.57,0.021810609
07/05/2013,42.63,0.002113421
06/05/2013,42.54,-0.004222385
03/05/2013,42.72,0.00917114
02/05/2013,42.33,0.005448314
01/05/2013,42.1,0.001188354
30/04/2013,42.05,0.033368666
29/04/2013,40.67,-0.002946233
26/04/2013,40.79,-0.006597458
25/04/2013,41.06,0.003171121
24/04/2013,40.93,-0.00073269
23/04/2013,40.96,0.008827914
22/04/2013,40.6,-0.005159083
19/04/2013,40.81,0.013817146
18/04/2013,40.25,0.003484324
17/04/2013,40.11,-0.013373156
16/04/2013,40.65,0.013123873
15/04/2013,40.12,-0.015580877
12/04/2013,40.75,-0.006116227
11/04/2013,41,0.023693112
10/04/2013,40.04,0.024012275
09/04/2013,39.09,-0.001789138
08/04/2013,39.16,0.002812941
05/04/2013,39.05,-0.017263694
04/04/2013,39.73,-0.004269754
03/04/2013,39.9,-0.002003005
02/04/2013,39.98,0.007028141
01/04/2013,39.7,0.002017146
28/03/2013,39.62,0.015259706
27/03/2013,39.02,0
26/03/2013,39.02,0.013675868
25/03/2013,38.49,-0.002076305
22/03/2013,38.57,0.003636368
21/03/2013,38.43,-0.00026018
20/03/2013,38.44,0.011512424
19/03/2013,38,0.007926065
18/03/2013,37.7,-0.015789802
15/03/2013,38.3,-0.007024876
14/03/2013,38.57,0.001556824
13/03/2013,38.51,0.000779322
12/03/2013,38.48,0.00077993
11/03/2013,38.45,0.014143766
08/03/2013,37.91,0.010074316
07/03/2013,37.53,-0.023177229
06/03/2013,38.41,0.003390276
05/03/2013,38.28,0.01341243
04/03/2013,37.77,0.002916613
01/03/2013,37.66,0.000265569
28/02/2013,37.65,-0.00132714
27/02/2013,37.7,0.017661685
26/02/2013,37.04,0.008676844
25/02/2013,36.72,-0.007596347
22/02/2013,37,0.012236726
21/02/2013,36.55,-0.019239179
20/02/2013,37.26,0.007272759
19/02/2013,36.99,0.013609355
15/02/2013,36.49,-0.013338976
14/02/2013,36.98,-0.005931535
13/02/2013,37.2,0.018996501
12/02/2013,36.5,-0.028627394
11/02/2013,37.56,-0.00159617
08/02/2013,37.62,0.014458083
07/02/2013,37.08,-0.008592964
06/02/2013,37.4,0.003213715
05/02/2013,37.28,0.008620743
04/02/2013,36.96,-0.018762276
01/02/2013,37.66,0.014712048
31/01/2013,37.11,-0.001615509
30/01/2013,37.17,0.007290433
29/01/2013,36.9,0.00162734
28/01/2013,36.84,-0.00972455
25/01/2013,37.2,-0.000806127
