Date,Close,HRB
25/09/2012,16.95,-0.00881063
24/09/2012,17.1,0.005865119
21/09/2012,17,-0.000588062
20/09/2012,17.01,-0.001175088
19/09/2012,17.03,0.008847006
18/09/2012,16.88,0.010122147
17/09/2012,16.71,-0.013079854
14/09/2012,16.93,0.010688938
13/09/2012,16.75,0.016857714
12/09/2012,16.47,-0.002425714
11/09/2012,16.51,0.000605877
10/09/2012,16.5,0.010356474
07/09/2012,16.33,0.004910998
06/09/2012,16.25,0.001231527
05/09/2012,16.23,-0.016498999
04/09/2012,16.5,-0.003629768
31/08/2012,16.56,0.000604047
30/08/2012,16.55,0.012770012
29/08/2012,16.34,0.009222322
28/08/2012,16.19,-0.003083567
27/08/2012,16.24,-0.006750563
24/08/2012,16.35,-0.001222494
23/08/2012,16.37,-0.012746758
22/08/2012,16.58,-0.009603915
21/08/2012,16.74,-0.013056565
20/08/2012,16.96,0.028710106
17/08/2012,16.48,0
16/08/2012,16.48,0.012824603
15/08/2012,16.27,0.001230012
14/08/2012,16.25,0.002464573
13/08/2012,16.21,0.006188139
10/08/2012,16.11,-0.00062054
09/08/2012,16.12,0.00809721
08/08/2012,15.99,0.003131853
07/08/2012,15.94,0
06/08/2012,15.94,0.001883831
03/08/2012,15.91,0.019676928
02/08/2012,15.6,-0.025317808
01/08/2012,16,-0.00809217
31/07/2012,16.13,-0.012935197
30/07/2012,16.34,0.007987754
27/07/2012,16.21,0.006809064
26/07/2012,16.1,0.00373367
25/07/2012,16.04,-0.001246106
24/07/2012,16.06,-0.016672198
23/07/2012,16.33,-0.013382195
20/07/2012,16.55,-0.001811048
19/07/2012,16.58,-0.009603915
18/07/2012,16.74,0.003590668
17/07/2012,16.68,0.013277202
16/07/2012,16.46,-0.003638573
13/07/2012,16.52,0.014020345
12/07/2012,16.29,0.011732151
11/07/2012,16.1,0.00373367
10/07/2012,16.04,-0.002490661
09/07/2012,16.08,-0.004343786
06/07/2012,16.15,0
05/07/2012,16.15,0.010582109
03/07/2012,15.98,-0.000625587
02/07/2012,15.99,0.000625587
29/06/2012,15.98,0.00816844
28/06/2012,15.85,0.011421444
27/06/2012,15.67,0.037715784
26/06/2012,15.09,-0.007920833
25/06/2012,15.21,-0.016949558
22/06/2012,15.47,0.0097435
21/06/2012,15.32,-0.015544354
20/06/2012,15.56,0.006447476
19/06/2012,15.46,-0.002583981
18/06/2012,15.5,-0.00643089
15/06/2012,15.6,0.015504187
