Date,Close,MRK
14/03/2013,44.27,-0.007202372
13/03/2013,44.59,-0.010041365
12/03/2013,45.04,0.031118633
11/03/2013,43.66,0.015930153
08/03/2013,42.97,-0.006957356
07/03/2013,43.27,-0.009430777
06/03/2013,43.68,0.009893098
05/03/2013,43.25,-0.002078763
04/03/2013,43.34,0.016517765
01/03/2013,42.63,-0.002343019
28/02/2013,42.73,-0.005600948
27/02/2013,42.97,0.012882249
26/02/2013,42.42,-0.002354604
25/02/2013,42.52,-0.010527644
22/02/2013,42.97,0.010998122
21/02/2013,42.5,-0.003757637
20/02/2013,42.66,0.010367671
19/02/2013,42.22,0.019130186
15/02/2013,41.42,0.005568348
14/02/2013,41.19,0.000971581
13/02/2013,41.15,-0.007263954
12/02/2013,41.45,0.001690209
11/02/2013,41.38,0.004844971
08/02/2013,41.18,0.004380635
07/02/2013,41,-0.002192716
06/02/2013,41.09,-0.008240473
05/02/2013,41.43,0.014098435
04/02/2013,40.85,-0.023706964
01/02/2013,41.83,-0.033383448
31/01/2013,43.25,-0.005763705
30/01/2013,43.5,-0.003671413
29/01/2013,43.66,0.016861469
28/01/2013,42.93,-0.012270093
25/01/2013,43.46,0.010640859
24/01/2013,43,0.004194833
23/01/2013,42.82,-0.008835212
22/01/2013,43.2,0.005105604
18/01/2013,42.98,0.005365696
17/01/2013,42.75,0.004924386
16/01/2013,42.54,-0.007727471
15/01/2013,42.87,-0.010903715
14/01/2013,43.34,0.002541297
11/01/2013,43.23,0.010463995
10/01/2013,42.78,0.00445122
09/01/2013,42.59,0.009673309
08/01/2013,42.18,0.001423488
07/01/2013,42.12,0.00356761
04/01/2013,41.97,-0.008540977
03/01/2013,42.33,0.0236655
02/01/2013,41.34,0.009722974
31/12/2012,40.94,0.007354777
28/12/2012,40.64,-0.013685453
27/12/2012,41.2,-0.003392298
26/12/2012,41.34,-0.001933302
24/12/2012,41.42,-0.002411383
21/12/2012,41.52,-0.015296665
20/12/2012,42.16,-0.034960447
19/12/2012,43.66,-0.013197006
18/12/2012,44.24,0.01388437
17/12/2012,43.63,0.002064931
14/12/2012,43.54,-0.009372568
13/12/2012,43.95,-0.029371016
12/12/2012,45.26,0.001547817
11/12/2012,45.19,0.015836173
10/12/2012,44.48,-0.003366629
07/12/2012,44.63,0.002692396
06/12/2012,44.51,0.002699664
05/12/2012,44.39,-0.000225251
04/12/2012,44.4,-0.000900495
03/12/2012,44.44,0.003155288
30/11/2012,44.3,-0.009212513
29/11/2012,44.71,0.002463331
28/11/2012,44.6,0.016275224
27/11/2012,43.88,-0.007266154
26/11/2012,44.2,-0.001808319
23/11/2012,44.28,0.008846604
21/11/2012,43.89,0.007547206
20/11/2012,43.56,0.005063302
19/11/2012,43.34,0.006249297
