Date,Close,MKC
10/07/2012,60.86,0.008746652
09/07/2012,60.33,-0.009896172
06/07/2012,60.93,-0.012071925
05/07/2012,61.67,-0.000324254
03/07/2012,61.69,0.012067987
02/07/2012,60.95,0.004934221
29/06/2012,60.65,0.026565759
28/06/2012,59.06,-0.000507829
27/06/2012,59.09,0.028669031
26/06/2012,57.42,0.001743072
25/06/2012,57.32,-0.009549513
22/06/2012,57.87,0.002248941
21/06/2012,57.74,-0.016659896
20/06/2012,58.71,-0.002891404
19/06/2012,58.88,0.009042116
18/06/2012,58.35,0.010162864
15/06/2012,57.76,0.019581045
14/06/2012,56.64,0.006553916
13/06/2012,56.27,0.000711111
12/06/2012,56.23,0.006780897
11/06/2012,55.85,0.000895656
08/06/2012,55.8,0.005030553
07/06/2012,55.52,-0.005030553
06/06/2012,55.8,0.011173301
05/06/2012,55.18,-0.002533938
04/06/2012,55.32,0.002171554
01/06/2012,55.2,-0.020796734
31/05/2012,56.36,-0.003719122
30/05/2012,56.57,-0.013519651
29/05/2012,57.34,0.008230499
25/05/2012,56.87,0.000879585
24/05/2012,56.82,0.003349496
23/05/2012,56.63,-0.003349496
22/05/2012,56.82,0.000704225
21/05/2012,56.78,0.006183219
18/05/2012,56.43,-0.00494963
17/05/2012,56.71,-0.012093741
16/05/2012,57.4,0.009276342
15/05/2012,56.87,0.002993751
14/05/2012,56.7,0.001765226
11/05/2012,56.6,-0.0049348
10/05/2012,56.88,0.010071646
09/05/2012,56.31,-0.002837384
08/05/2012,56.47,0.003725721
07/05/2012,56.26,0.008389161
04/05/2012,55.79,0.001255493
03/05/2012,55.72,-0.00143472
02/05/2012,55.8,-0.001790511
01/05/2012,55.9,-0.000178875
30/04/2012,55.91,-0.001251229
27/04/2012,55.98,0.00717106
26/04/2012,55.58,0.008492236
25/04/2012,55.11,0.004182204
24/04/2012,54.88,0.004748867
23/04/2012,54.62,-0.014359967
20/04/2012,55.41,0.008518402
19/04/2012,54.94,0.0051095
18/04/2012,54.66,0.000548998
17/04/2012,54.63,0.010673638
16/04/2012,54.05,0.006496543
13/04/2012,53.7,-0.005756213
12/04/2012,54.01,0.003709891
11/04/2012,53.81,0.007835861
10/04/2012,53.39,-0.008950274
09/04/2012,53.87,-0.009790417
05/04/2012,54.4,0.00091954
04/04/2012,54.35,-0.009886569
03/04/2012,54.89,-0.003092317
02/04/2012,55.06,0.011508027
30/03/2012,54.43,0.006081287
29/03/2012,54.1,-0.002584458
28/03/2012,54.24,0.0003688
27/03/2012,54.22,0.022380643
26/03/2012,53.02,0.016545019
23/03/2012,52.15,0.001535214
22/03/2012,52.07,0.002692309
21/03/2012,51.93,0.003858774
20/03/2012,51.73,-0.004243834
19/03/2012,51.95,0.004243834
16/03/2012,51.73,0.000967025
15/03/2012,51.68,0.005432687
14/03/2012,51.4,-0.007365802
13/03/2012,51.78,0.008144315
12/03/2012,51.36,0.00742626
09/03/2012,50.98,0.003930823
08/03/2012,50.78,0.001773924
07/03/2012,50.69,0.005142416
06/03/2012,50.43,-0.007703742
05/03/2012,50.82,0.000393623
02/03/2012,50.8,0.007310118
01/03/2012,50.43,-0.000396511
29/02/2012,50.45,0.002182757
28/02/2012,50.34,-0.003965112
27/02/2012,50.54,0.005157718
24/02/2012,50.28,0.002987752
23/02/2012,50.13,0.002396646
22/02/2012,50.01,-0.004190368
21/02/2012,50.22,-0.011089223
17/02/2012,50.78,0.006123476
16/02/2012,50.47,0.00516489
15/02/2012,50.21,-0.002188402
14/02/2012,50.32,-0.000993147
13/02/2012,50.37,-0.001586987
10/02/2012,50.45,-0.003364008
09/02/2012,50.62,0.000395179
08/02/2012,50.6,0.002176279
07/02/2012,50.49,-0.012987196
06/02/2012,51.15,-0.001757985
03/02/2012,51.24,-0.002144459
02/02/2012,51.35,0.005271905
01/02/2012,51.08,0.010627929
31/01/2012,50.54,-0.001581653
30/01/2012,50.62,0.004157187
27/01/2012,50.41,-0.013007673
26/01/2012,51.07,-0.015350539
25/01/2012,51.86,0.015154749
24/01/2012,51.08,-0.004492634
23/01/2012,51.31,-0.003890299
20/01/2012,51.51,-0.010813004
19/01/2012,52.07,0.002692309
18/01/2012,51.93,0.010258485
17/01/2012,51.4,0.003703347
13/01/2012,51.21,-0.000585652
12/01/2012,51.24,0.002540304
11/01/2012,51.11,-0.001564028
10/01/2012,51.19,0.01060497
09/01/2012,50.65,0.00534496
06/01/2012,50.38,0
05/01/2012,50.38,0.001191659
04/01/2012,50.32,0
03/01/2012,50.32,-0.001985309
30/12/2011,50.42,-0.007311563
29/12/2011,50.79,0.00949562
28/12/2011,50.31,-0.00851069
27/12/2011,50.74,0.007914564
23/12/2011,50.34,0.008979408
22/12/2011,49.89,-0.006194445
21/12/2011,50.2,0.01283097
20/12/2011,49.56,0.015043992
19/12/2011,48.82,0.00122976
16/12/2011,48.76,-0.011622111
15/12/2011,49.33,0.01039235
14/12/2011,48.82,0.002666395
13/12/2011,48.69,-0.008385365
12/12/2011,49.1,-0.013955126
09/12/2011,49.79,0.016606295
08/12/2011,48.97,-0.01015856
07/12/2011,49.47,0.001416001
06/12/2011,49.4,0.004870139
05/12/2011,49.16,0.007964915
02/12/2011,48.77,0.004727169
01/12/2011,48.54,-0.00329083
30/11/2011,48.7,0.01781692
29/11/2011,47.84,0.005029348
28/11/2011,47.6,0.003367007
25/11/2011,47.44,0.017650644
23/11/2011,46.61,-0.014906579
22/11/2011,47.31,-0.003797473
21/11/2011,47.49,-0.014217258
