Date,Close,JPM
09/04/2013,48.68,0.002056345
08/04/2013,48.58,0.013887673
05/04/2013,47.91,0.008805088
04/04/2013,47.49,0.013568154
03/04/2013,46.85,-0.030066388
02/04/2013,48.28,0.009364339
01/04/2013,47.83,0.007765807
28/03/2013,47.46,-0.006510576
27/03/2013,47.77,-0.01804841
26/03/2013,48.64,0.002470154
25/03/2013,48.52,-0.005344309
22/03/2013,48.78,0.008854171
21/03/2013,48.35,-0.015800062
20/03/2013,49.12,-0.00162734
19/03/2013,49.2,-0.006281046
18/03/2013,49.51,-0.010248256
15/03/2013,50.02,-0.019402707
14/03/2013,51,0.016607736
13/03/2013,50.16,-0.002389487
12/03/2013,50.28,-0.003969835
11/03/2013,50.48,0.005562192
08/03/2013,50.2,-0.008529259
07/03/2013,50.63,0.01192146
06/03/2013,50.03,0.010852197
05/03/2013,49.49,0.007911594
04/03/2013,49.1,0.00387716
01/03/2013,48.91,-0.000204436
28/02/2013,48.92,-0.007332008
27/02/2013,49.28,0.034685558
26/02/2013,47.6,-0.002098637
25/02/2013,47.7,-0.025050477
22/02/2013,48.91,0.013586047
21/02/2013,48.25,-0.007433443
20/02/2013,48.61,-0.017132787
19/02/2013,49.45,0.011593743
15/02/2013,48.88,-0.00693173
14/02/2013,49.22,0.011031777
13/02/2013,48.68,-0.009405099
12/02/2013,49.14,0.00981603
11/02/2013,48.66,0.000616713
08/02/2013,48.63,0.00825939
07/02/2013,48.23,-0.007848037
06/02/2013,48.61,-0.003696103
05/02/2013,48.79,0.023013351
04/02/2013,47.68,-0.003559095
01/02/2013,47.85,0.016860252
31/01/2013,47.05,-0.001698875
30/01/2013,47.13,0.000212202
29/01/2013,47.12,0.010238997
28/01/2013,46.64,-0.011087534
25/01/2013,47.16,0.016893377
24/01/2013,46.37,0.00302376
23/01/2013,46.23,-0.00668322
22/01/2013,46.54,0.001720431
18/01/2013,46.46,0.000430571
17/01/2013,46.44,-0.008149305
16/01/2013,46.82,0.01008917
15/01/2013,46.35,0.010192
14/01/2013,45.88,-0.00565096
11/01/2013,46.14,-0.000216708
10/01/2013,46.15,0.014844193
09/01/2013,45.47,-0.000659558
08/01/2013,45.5,0.001979981
07/01/2013,45.41,0.001101686
04/01/2013,45.36,0.017569672
03/01/2013,44.57,-0.002017259
02/01/2013,44.66,0.015570663
31/12/2012,43.97,0.01674159
28/12/2012,43.24,-0.008978994
27/12/2012,43.63,-0.007535142
26/12/2012,43.96,0.000910332
24/12/2012,43.92,-0.001819837
21/12/2012,44,-0.011973485
20/12/2012,44.53,0.022712764
19/12/2012,43.53,-0.00778036
18/12/2012,43.87,0.008929653
17/12/2012,43.48,0.015529342
14/12/2012,42.81,0.000701017
13/12/2012,42.78,0.000233781
12/12/2012,42.77,0.003044142
11/12/2012,42.64,0.007769315
10/12/2012,42.31,-0.00589138
07/12/2012,42.56,0.025944571
06/12/2012,41.47,0.006532018
05/12/2012,41.2,0.015409379
04/12/2012,40.57,-0.005898272
03/12/2012,40.81,-0.006594236
30/11/2012,41.08,-0.00340219
29/11/2012,41.22,0.00950647
28/11/2012,40.83,0.001961266
27/11/2012,40.75,-0.003185106
26/11/2012,40.88,-0.005123837
23/11/2012,41.09,0.008799861
21/11/2012,40.73,0.000736829
20/11/2012,40.7,0.002706362
19/11/2012,40.59,0.026461854
16/11/2012,39.53,0.0035479
15/11/2012,39.39,0.002541943
14/11/2012,39.29,-0.018908921
13/11/2012,40.04,-0.01339638
12/11/2012,40.58,-0.000985222
09/11/2012,40.62,0.005430771
08/11/2012,40.4,-0.00197824
07/11/2012,40.48,-0.057597492
06/11/2012,42.88,0.014327902
05/11/2012,42.27,-0.003542335
02/11/2012,42.42,-0.009852296
01/11/2012,42.84,0.027450848
31/10/2012,41.68,0.012554486
26/10/2012,41.16,-0.012314534
25/10/2012,41.67,-0.000959463
24/10/2012,41.71,0.00915228
23/10/2012,41.33,-0.018221554
22/10/2012,42.09,-0.005449605
19/10/2012,42.32,-0.016172859
18/10/2012,43.01,-0.007181775
17/10/2012,43.32,0.011375631
16/10/2012,42.83,0.010562239
15/10/2012,42.38,0.018095732
12/10/2012,41.62,-0.01146692
11/10/2012,42.1,0.007869362
10/10/2012,41.77,0.009380706
09/10/2012,41.38,-0.006743764
08/10/2012,41.66,-0.001199472
05/10/2012,41.71,-0.002633786
04/10/2012,41.82,0.023223105
03/10/2012,40.86,-0.001467352
02/10/2012,40.92,-0.00122115
01/10/2012,40.97,0.012032067
28/09/2012,40.48,-0.004928546
27/09/2012,40.68,0.010875045
26/09/2012,40.24,-0.007674255
25/09/2012,40.55,-0.016630366
24/09/2012,41.23,0.008525201
21/09/2012,40.88,-0.009010167
20/09/2012,41.25,-0.002179441
19/09/2012,41.34,0.001937047
18/09/2012,41.26,0.001697999
17/09/2012,41.19,-0.009183245
14/09/2012,41.57,0.004097872
13/09/2012,41.4,0.036403429
12/09/2012,39.92,0.008048333
11/09/2012,39.6,0.021440331
10/09/2012,38.76,-0.013835732
07/09/2012,39.3,0.01564335
06/09/2012,38.69,0.041694694
05/09/2012,37.11,0.002698329
04/09/2012,37.01,-0.00350641
31/08/2012,37.14,0.006483005
30/08/2012,36.9,-0.010781776
29/08/2012,37.3,0.004568058
28/08/2012,37.13,-0.00268962
27/08/2012,37.23,0.001612904
24/08/2012,37.17,-0.001612904
23/08/2012,37.23,-0.015987551
22/08/2012,37.83,-0.005535799
21/08/2012,38.04,0.017769994
20/08/2012,37.37,0.010491018
17/08/2012,36.98,-0.003239744
16/08/2012,37.1,0.000808952
15/08/2012,37.07,-0.000808952
14/08/2012,37.1,0.002969364
13/08/2012,36.99,0.000540833
10/08/2012,36.97,0.001353363
09/08/2012,36.92,-0.006479504
