Date,Close,FLS
25/01/2013,154.47,-0.000194194
24/01/2013,154.5,-0.004713792
23/01/2013,155.23,-0.011847342
22/01/2013,157.08,-0.001463151
18/01/2013,157.31,0.011572649
17/01/2013,155.5,0.019809058
16/01/2013,152.45,-0.007189573
15/01/2013,153.55,-0.00506692
14/01/2013,154.33,-0.008388228
11/01/2013,155.63,0.002444674
10/01/2013,155.25,0.003872222
09/01/2013,154.65,-0.002454147
08/01/2013,155.03,0.00829074
07/01/2013,153.75,0.001366787
04/01/2013,153.54,0.007977548
03/01/2013,152.32,0.002037263
02/01/2013,152.01,0.034875192
31/12/2012,146.8,0.027205986
28/12/2012,142.86,-0.01555803
27/12/2012,145.1,0.007887677
26/12/2012,143.96,-0.003467169
24/12/2012,144.46,0.001454747
21/12/2012,144.25,-0.014043048
20/12/2012,146.29,0.009202098
19/12/2012,144.95,0.001795333
18/12/2012,144.69,0.019400469
17/12/2012,141.91,-0.00176013
14/12/2012,142.16,-0.000984321
13/12/2012,142.3,0.00302636
12/12/2012,141.87,-0.007373888
11/12/2012,142.92,0.000139948
10/12/2012,142.9,0.007022501
07/12/2012,141.9,0.003600555
06/12/2012,141.39,0.001273886
05/12/2012,141.21,0.002197725
04/12/2012,140.9,0.016458332
03/12/2012,138.6,0.000360815
30/11/2012,138.55,-0.007764796
29/11/2012,139.63,0.002222621
28/11/2012,139.32,0.004027623
27/11/2012,138.76,-0.003165926
26/11/2012,139.2,-0.001794366
23/11/2012,139.45,0.00929368
21/11/2012,138.16,-0.008504556
20/11/2012,139.34,0.007998025
19/11/2012,138.23,0.025423546
16/11/2012,134.76,0.017214705
15/11/2012,132.46,-0.006696538
14/11/2012,133.35,-0.023713597
13/11/2012,136.55,0.007202736
12/11/2012,135.57,0.002215331
09/11/2012,135.27,-0.004940831
08/11/2012,135.94,-0.012137314
07/11/2012,137.6,-0.023628519
06/11/2012,140.89,0.007480532
05/11/2012,139.84,0.02124818
02/11/2012,136.9,0.000511453
01/11/2012,136.83,0.009841443
31/10/2012,135.49,0.034235008
26/10/2012,130.93,-0.001602626
25/10/2012,131.14,0.006656235
24/10/2012,130.27,0.001075269
23/10/2012,130.13,-0.014495219
22/10/2012,132.03,-0.006116227
19/10/2012,132.84,-0.013607687
18/10/2012,134.66,0.01398415
17/10/2012,132.79,0.021465278
