Date,Close,HBAN
31/05/2013,7.75,-0.017903291
30/05/2013,7.89,0.023077947
29/05/2013,7.71,0.011741818
28/05/2013,7.62,0.010554188
24/05/2013,7.54,0.002656044
23/05/2013,7.52,-0.005305052
22/05/2013,7.56,-0.017049593
21/05/2013,7.69,-0.005188079
20/05/2013,7.73,-0.001292825
17/05/2013,7.74,0.019570096
16/05/2013,7.59,-0.014388737
15/05/2013,7.7,0.001299545
14/05/2013,7.69,0.026351986
13/05/2013,7.49,0
10/05/2013,7.49,0.008042939
09/05/2013,7.43,-0.004029555
08/05/2013,7.46,0
07/05/2013,7.46,0.017579898
06/05/2013,7.33,0.008219224
03/05/2013,7.27,0.020848566
02/05/2013,7.12,0.008462674
01/05/2013,7.06,-0.015460603
30/04/2013,7.17,0.00559442
29/04/2013,7.13,0.002808991
26/04/2013,7.11,0
25/04/2013,7.11,0.00140746
24/04/2013,7.1,0.005649733
23/04/2013,7.06,0.011396135
22/04/2013,6.98,-0.002861232
19/04/2013,7,0.020202707
18/04/2013,6.86,-0.021630259
17/04/2013,7.01,-0.029517252
16/04/2013,7.22,0.009742596
15/04/2013,7.15,-0.033015378
12/04/2013,7.39,-0.010767264
11/04/2013,7.47,0.002680967
10/04/2013,7.45,0.008086297
09/04/2013,7.39,0.005427422
08/04/2013,7.35,0.019231362
05/04/2013,7.21,-0.005532518
04/04/2013,7.25,0.008310297
03/04/2013,7.19,-0.01106512
02/04/2013,7.27,-0.008219224
01/04/2013,7.33,-0.00544219
28/03/2013,7.37,-0.005412733
27/03/2013,7.41,-0.00806456
26/03/2013,7.47,0.016194686
25/03/2013,7.35,-0.004073325
22/03/2013,7.38,-0.009440394
21/03/2013,7.45,-0.006688988
20/03/2013,7.5,0.002670229
19/03/2013,7.48,0.006706933
18/03/2013,7.43,-0.010709607
15/03/2013,7.51,0.001332445
14/03/2013,7.5,0.004008021
13/03/2013,7.47,0.012121361
12/03/2013,7.38,-0.002706362
