Date,Close,PDCO
08/01/2013,35.16,0.00056899
07/01/2013,35.14,0.012312253
04/01/2013,34.71,-0.000863931
03/01/2013,34.74,0.001152074
02/01/2013,34.7,0.013637234
31/12/2012,34.23,0.011163453
28/12/2012,33.85,-0.001770957
27/12/2012,33.91,-0.000884304
26/12/2012,33.94,-0.006168326
24/12/2012,34.15,0
21/12/2012,34.15,-0.001170618
20/12/2012,34.19,0.006749842
19/12/2012,33.96,-0.000883002
18/12/2012,33.99,0.008568526
17/12/2012,33.7,0.012240786
14/12/2012,33.29,0.000300436
13/12/2012,33.28,-0.009271788
12/12/2012,33.59,0.00597195
11/12/2012,33.39,0.001198682
10/12/2012,33.35,0.002702299
07/12/2012,33.26,0.00120337
06/12/2012,33.22,-0.000902663
05/12/2012,33.25,-0.003003005
04/12/2012,33.35,-0.019596827
03/12/2012,34.01,-0.002642785
30/11/2012,34.1,0.014771317
29/11/2012,33.6,-0.002378122
28/11/2012,33.68,0.001188354
27/11/2012,33.64,0.000297309
26/11/2012,33.63,-0.005929457
23/11/2012,33.83,0.009802544
21/11/2012,33.5,0.015340954
20/11/2012,32.99,-0.087869855
19/11/2012,36.02,0.02160881
16/11/2012,35.25,0.019479275
15/11/2012,34.57,0.014862579
14/11/2012,34.06,-0.008478343
13/11/2012,34.35,0.00408402
12/11/2012,34.21,-0.000876552
09/11/2012,34.24,0.003803955
08/11/2012,34.11,-0.009337681
07/11/2012,34.43,-0.012411763
06/11/2012,34.86,0.01386504
05/11/2012,34.38,0.01465013
02/11/2012,33.88,-0.003535655
01/11/2012,34,0.017804625
31/10/2012,33.4,-0.002690987
26/10/2012,33.49,-0.005657303
25/10/2012,33.68,0.006254674
24/10/2012,33.47,0.005392464
23/10/2012,33.29,-0.0086736
22/10/2012,33.58,0.002683765
19/10/2012,33.49,-0.012757924
18/10/2012,33.92,-0.014051753
17/10/2012,34.4,-0.008394897
16/10/2012,34.69,0.002886838
15/10/2012,34.59,0.006962604
12/10/2012,34.35,-0.009561133
11/10/2012,34.68,0.006944472
10/10/2012,34.44,-0.007232781
09/10/2012,34.69,-0.027578151
08/10/2012,35.66,0.007600318
05/10/2012,35.39,0.004815191
04/10/2012,35.22,0.018338623
03/10/2012,34.58,0.009005144
02/10/2012,34.27,0
01/10/2012,34.27,0.000875785
28/09/2012,34.24,-0.010748106
27/09/2012,34.61,0.005504867
26/09/2012,34.42,-0.013275808
25/09/2012,34.88,-0.006572391
24/09/2012,35.11,0.001139926
21/09/2012,35.07,0.00715413
20/09/2012,34.82,0.018258731
19/09/2012,34.19,-0.006123361
18/09/2012,34.4,0.002036957
17/09/2012,34.33,-0.001746217
14/09/2012,34.39,-0.004641726
13/09/2012,34.55,0.002608319
12/09/2012,34.46,0.003488376
11/09/2012,34.34,0.004670178
10/09/2012,34.18,-0.001753874
07/09/2012,34.24,-0.004952669
06/09/2012,34.41,0.014047641
05/09/2012,33.93,0.000884564
04/09/2012,33.9,-0.002062768
31/08/2012,33.97,-0.001764706
30/08/2012,34.03,-0.009650609
29/08/2012,34.36,0.008769422
28/08/2012,34.06,-0.002638911
27/08/2012,34.15,0.002638911
24/08/2012,34.06,-0.002638911
23/08/2012,34.15,-0.050253222
22/08/2012,35.91,-0.00583092
21/08/2012,36.12,-0.001383317
20/08/2012,36.17,0.001106501
17/08/2012,36.13,0.006107737
16/08/2012,35.91,0.004185858
15/08/2012,35.76,0.010965947
14/08/2012,35.37,0.000282765
13/08/2012,35.36,-0.000282765
10/08/2012,35.37,0.025194576
09/08/2012,34.49,-0.008373082
08/08/2012,34.78,-0.001436575
07/08/2012,34.83,0.004604325
06/08/2012,34.67,0.00665608
03/08/2012,34.44,0.021720842
02/08/2012,33.7,-0.006212119
01/08/2012,33.91,-0.005587428
31/07/2012,34.1,-0.028333783
30/07/2012,35.08,-0.004550634
27/07/2012,35.24,0.026453526
26/07/2012,34.32,0.010250492
25/07/2012,33.97,0.015425996
24/07/2012,33.45,-0.018071889
23/07/2012,34.06,-0.020631271
20/07/2012,34.77,-0.008020667
19/07/2012,35.05,0.000856287
18/07/2012,35.02,0.004292466
17/07/2012,34.87,0.01444277
16/07/2012,34.37,-0.004065046
13/07/2012,34.51,0.007562572
12/07/2012,34.25,-0.017653475
11/07/2012,34.86,0.004888579
10/07/2012,34.69,-0.0051754
09/07/2012,34.87,0.000286821
06/07/2012,34.86,-0.011409137
05/07/2012,35.26,0.00255573
03/07/2012,35.17,0.007993191
02/07/2012,34.89,0.012110875
29/06/2012,34.47,0.025265739
28/06/2012,33.61,-0.001189414
27/06/2012,33.65,0.017084186
26/06/2012,33.08,-0.006328181
25/06/2012,33.29,-0.022572981
22/06/2012,34.05,0.013303966
21/06/2012,33.6,-0.018284201
20/06/2012,34.22,-0.001168224
19/06/2012,34.26,0.012334958
18/06/2012,33.84,0.024530096
15/06/2012,33.02,0.008515867
14/06/2012,32.74,-0.000915891
13/06/2012,32.77,-0.008205486
12/06/2012,33.04,0.006985602
11/06/2012,32.81,-0.011515279
08/06/2012,33.19,0.008472063
07/06/2012,32.91,-0.002427922
06/06/2012,32.99,0.006996226
05/06/2012,32.76,0.011358526
04/06/2012,32.39,-0.006462555
01/06/2012,32.6,-0.019441682
31/05/2012,33.24,-0.014930107
30/05/2012,33.74,-0.017626778
29/05/2012,34.34,0.008774552
25/05/2012,34.04,0.017484517
24/05/2012,33.45,0.023594561
23/05/2012,32.67,0.00061237
22/05/2012,32.65,-0.00061237
21/05/2012,32.67,0.012939182
18/05/2012,32.25,-0.016605548
17/05/2012,32.79,-0.02231697
16/05/2012,33.53,0.002089865
15/05/2012,33.46,0.006897613
14/05/2012,33.23,-0.008390819
11/05/2012,33.51,-0.000298374
10/05/2012,33.52,-0.005058782
09/05/2012,33.69,-0.003851286
08/05/2012,33.82,0.009506905
07/05/2012,33.5,-0.001491425
04/05/2012,33.55,-0.021816903
03/05/2012,34.29,-0.004945465
02/05/2012,34.46,-0.001739635
01/05/2012,34.52,0.01253478
30/04/2012,34.09,0.002937722
27/04/2012,33.99,0.02291426
26/04/2012,33.22,0.009375541
25/04/2012,32.91,0.011921278
24/04/2012,32.52,0.003388268
23/04/2012,32.41,-0.016220708
20/04/2012,32.94,0.00304044
19/04/2012,32.84,-0.011203751
18/04/2012,33.21,0.001808319
17/04/2012,33.15,0.016423727
16/04/2012,32.61,-0.00854967
13/04/2012,32.89,-0.00576021
12/04/2012,33.08,0.01676613
11/04/2012,32.53,0.010817599
10/04/2012,32.18,-0.010510143
09/04/2012,32.52,-0.014955261
05/04/2012,33.01,0.001212489
04/04/2012,32.97,-0.009658995
03/04/2012,33.29,-0.005691194
02/04/2012,33.48,0.002392346
30/03/2012,33.4,0.013868175
29/03/2012,32.94,-0.002122821
28/03/2012,33.01,0.012191556
27/03/2012,32.61,0.002148888
26/03/2012,32.54,0.024577376
23/03/2012,31.75,-0.001573564
22/03/2012,31.8,-0.006269613
21/03/2012,32,-0.002185111
20/03/2012,32.07,-0.00838384
19/03/2012,32.34,-0.000618238
16/03/2012,32.36,0.002785086
15/03/2012,32.27,0.006840823
14/03/2012,32.05,0.017627148
13/03/2012,31.49,0.015682831
12/03/2012,31,-0.001289491
09/03/2012,31.04,0.002580647
08/03/2012,30.96,0.013658749
07/03/2012,30.54,-0.001308901
06/03/2012,30.58,-0.007493112
05/03/2012,30.81,-0.007115166
02/03/2012,31.03,-0.012808372
01/03/2012,31.43,-0.015469922
29/02/2012,31.92,-0.0105953
28/02/2012,32.26,0.006218926
27/02/2012,32.06,-0.002492213
24/02/2012,32.14,-0.001554485
23/02/2012,32.19,-0.01877267
22/02/2012,32.8,-0.007290433
21/02/2012,33.04,0
17/02/2012,33.04,-0.005734134
16/02/2012,33.23,0.020061463
15/02/2012,32.57,0.00399939
14/02/2012,32.44,0.013656326
13/02/2012,32,0.00564088
10/02/2012,31.82,-0.008449432
09/02/2012,32.09,-0.004042923
08/02/2012,32.22,-0.003717476
07/02/2012,32.34,-0.000618238
06/02/2012,32.36,-0.008615438
03/02/2012,32.64,0.01016175
02/02/2012,32.31,-0.007400589
01/02/2012,32.55,0.011121523
31/01/2012,32.19,0.008423073
30/01/2012,31.92,-0.006557401
27/01/2012,32.13,0.001245718
26/01/2012,32.09,-0.000311575
25/01/2012,32.1,0.004058067
24/01/2012,31.97,0.011324437
23/01/2012,31.61,0.007940331
20/01/2012,31.36,0.00896867
19/01/2012,31.08,0.023109246
18/01/2012,30.37,-0.003615452
17/01/2012,30.48,0.007244022
13/01/2012,30.26,-0.024160496
12/01/2012,31,0.018558241
11/01/2012,30.43,0.02529253
10/01/2012,29.67,0.002362073
09/01/2012,29.6,0.000675904
06/01/2012,29.58,0.008487574
05/01/2012,29.33,-0.00544034
04/01/2012,29.49,-0.017146159
03/01/2012,30,0.016129382
30/12/2011,29.52,-0.007424941
29/12/2011,29.74,0.003368141
28/12/2011,29.64,-0.006724975
27/12/2011,29.84,0.009427679
23/12/2011,29.56,0.005767616
22/12/2011,29.39,0.011635997
21/12/2011,29.05,0.00206754
20/12/2011,28.99,0.026919997
19/12/2011,28.22,-0.01162599
16/12/2011,28.55,-0.00070028
15/12/2011,28.57,0.002804068
14/12/2011,28.49,-0.008040596
13/12/2011,28.72,-0.006247851
12/12/2011,28.9,-0.015110178
09/12/2011,29.34,0.004440656
08/12/2011,29.21,-0.02801871
07/12/2011,30.04,-0.006966358
