Date,Close,MWV
27/03/2012,31.6,0.008900249
26/03/2012,31.32,0.017391743
23/03/2012,30.78,0.00881063
22/03/2012,30.51,-0.012054226
21/03/2012,30.88,0.000323887
20/03/2012,30.87,-0.002588161
19/03/2012,30.95,-0.009326326
16/03/2012,31.24,-0.00287678
15/03/2012,31.33,0.003196934
14/03/2012,31.23,-0.00987741
13/03/2012,31.54,0.027319713
12/03/2012,30.69,-0.00584797
09/03/2012,30.87,0.00097229
08/03/2012,30.84,0.006179886
07/03/2012,30.65,0.003922856
06/03/2012,30.53,-0.007505338
05/03/2012,30.76,-0.003893581
02/03/2012,30.88,0.009108716
01/03/2012,30.6,0.01051258
29/02/2012,30.28,-0.003297069
28/02/2012,30.38,-0.007542256
27/02/2012,30.61,0.003272254
24/02/2012,30.51,-0.000327708
23/02/2012,30.52,0.004926927
22/02/2012,30.37,-0.005254528
21/02/2012,30.53,-0.005552848
17/02/2012,30.7,0.003589496
16/02/2012,30.59,0.015483755
15/02/2012,30.12,0.002992521
14/02/2012,30.03,0.000666223
13/02/2012,30.01,0.007693632
10/02/2012,29.78,-0.014335968
09/02/2012,30.21,0.011988156
08/02/2012,29.85,0.001676446
07/02/2012,29.8,-0.007355433
06/02/2012,30.02,-0.022073042
03/02/2012,30.69,0.026747508
02/02/2012,29.88,0.000669568
01/02/2012,29.86,0.014165498
31/01/2012,29.44,-0.011146881
30/01/2012,29.77,-0.013678278
27/01/2012,30.18,-0.009891277
26/01/2012,30.48,-0.008168645
25/01/2012,30.73,-0.020293819
24/01/2012,31.36,0.005756332
23/01/2012,31.18,-0.013696663
20/01/2012,31.61,-0.009132484
19/01/2012,31.9,0.021547095
18/01/2012,31.22,-0.0165188
17/01/2012,31.74,0.025204716
13/01/2012,30.95,0.011046246
12/01/2012,30.61,0.012491944
11/01/2012,30.23,0.009305484
10/01/2012,29.95,0.010067199
09/01/2012,29.65,0.007447563
06/01/2012,29.43,-0.013835213
05/01/2012,29.84,-0.010335148
04/01/2012,30.15,-0.008915364
03/01/2012,30.42,0.015570962
30/12/2011,29.95,-0.002667557
29/12/2011,30.03,0.011723464
28/12/2011,29.68,-0.011723464
27/12/2011,30.03,0.002000001
23/12/2011,29.97,0.00770394
22/12/2011,29.74,0.010818226
21/12/2011,29.42,0.00613708
20/12/2011,29.24,0.03799028
19/12/2011,28.15,-0.02248075
16/12/2011,28.79,0.00278261
15/12/2011,28.71,0.030412528
14/12/2011,27.85,-0.012489012
13/12/2011,28.2,-0.019315789
12/12/2011,28.75,-0.023036948
09/12/2011,29.42,0.032823814
08/12/2011,28.47,-0.033163661
07/12/2011,29.43,-0.004745772
06/12/2011,29.57,-0.009089441
05/12/2011,29.84,0
02/12/2011,29.84,0.004366086
01/12/2011,29.71,-0.00470115
30/11/2011,29.85,0.055445427
29/11/2011,28.24,0.009964495
28/11/2011,27.96,0.02682292
25/11/2011,27.22,0.005895374
23/11/2011,27.06,-0.04232862
22/11/2011,28.23,-0.008816844
21/11/2011,28.48,-0.021536088
18/11/2011,29.1,-0.013991015
17/11/2011,29.51,0.057178347
16/11/2011,27.87,-0.013188571
15/11/2011,28.24,-0.003181901
14/11/2011,28.33,-0.017841999
11/11/2011,28.84,0.023150806
10/11/2011,28.18,0.012497931
09/11/2011,27.83,-0.045997225
08/11/2011,29.14,0.019054794
07/11/2011,28.59,-0.006971098
04/11/2011,28.79,0.001738224
03/11/2011,28.74,0.042287345
02/11/2011,27.55,0.015362409
01/11/2011,27.13,-0.028344921
31/10/2011,27.91,-0.035894071
28/10/2011,28.93,-0.011342277
27/10/2011,29.26,0.037963814
26/10/2011,28.17,0.013581338
25/10/2011,27.79,-0.021360727
24/10/2011,28.39,0.034035168
21/10/2011,27.44,0.018018506
20/10/2011,26.95,0.011194147
19/10/2011,26.65,-0.029212652
18/10/2011,27.44,0.038637793
17/10/2011,26.4,-0.029117399
14/10/2011,27.18,0.023075084
13/10/2011,26.56,-0.008622359
12/10/2011,26.79,0.01731971
11/10/2011,26.33,-0.002276177
10/10/2011,26.39,0.050117304
