Date,Close,ADT
11/06/2013,39.92,-0.002251971
10/06/2013,40.01,-0.004986298
07/06/2013,40.21,0.005236267
06/06/2013,40,0.006521217
05/06/2013,39.74,-0.016471548
04/06/2013,40.4,-0.015961051
03/06/2013,41.05,0.011269105
31/05/2013,40.59,-0.015159214
30/05/2013,41.21,-0.018988673
29/05/2013,42,-0.007590169
28/05/2013,42.32,-0.000236267
24/05/2013,42.33,0.005448314
23/05/2013,42.1,0.022337905
22/05/2013,41.17,-0.028258585
21/05/2013,42.35,0.011160035
20/05/2013,41.88,-0.033344249
17/05/2013,43.3,0.03453885
16/05/2013,41.83,-0.013534577
15/05/2013,42.4,-0.011257155
14/05/2013,42.88,0.001633797
13/05/2013,42.81,-0.030368103
10/05/2013,44.13,-0.012833678
09/05/2013,44.7,0.005158697
08/05/2013,44.47,0.001575335
07/05/2013,44.4,0.000901307
06/05/2013,44.36,0.019577224
03/05/2013,43.5,0.024434025
02/05/2013,42.45,0.043574109
01/05/2013,40.64,-0.071221358
30/04/2013,43.64,0
29/04/2013,43.64,-0.006167924
26/04/2013,43.91,-0.002956227
25/04/2013,44.04,0.013947865
24/04/2013,43.43,-0.007569712
23/04/2013,43.76,-0.001826485
22/04/2013,43.84,0
19/04/2013,43.84,0.004114292
18/04/2013,43.66,-0.006165107
17/04/2013,43.93,0.012368458
16/04/2013,43.39,-0.014415076
15/04/2013,44.02,-0.043562443
12/04/2013,45.98,0.019989683
11/04/2013,45.07,-0.011910154
10/04/2013,45.61,0.013242303
09/04/2013,45.01,-0.034286577
08/04/2013,46.58,0.005597431
05/04/2013,46.32,0.032696275
04/04/2013,44.83,-0.024676291
03/04/2013,45.95,-0.011253094
02/04/2013,46.47,-0.032394068
01/04/2013,48,-0.019394047
28/03/2013,48.94,0.00717731
27/03/2013,48.59,0.004951527
26/03/2013,48.35,-0.002478828
25/03/2013,48.47,-0.007399828
22/03/2013,48.83,-0.001023437
21/03/2013,48.88,-0.002860063
20/03/2013,49.02,-0.001630657
19/03/2013,49.1,-0.00122125
18/03/2013,49.16,-0.005072548
15/03/2013,49.41,0.003649639
14/03/2013,49.23,-0.010105179
13/03/2013,49.73,0.020108325
12/03/2013,48.74,0.00596771
11/03/2013,48.45,0.011834458
08/03/2013,47.88,-0.003336117
07/03/2013,48.04,-0.006432225
06/03/2013,48.35,-0.01294583
05/03/2013,48.98,0.005527704
04/03/2013,48.71,0.016142735
01/03/2013,47.93,0.000834899
28/02/2013,47.89,-0.002085942
27/02/2013,47.99,0.030036099
26/02/2013,46.57,0.007111333
25/02/2013,46.24,-0.015876755
22/02/2013,46.98,0.01263806
21/02/2013,46.39,-0.020694072
20/02/2013,47.36,0.001902146
19/02/2013,47.27,0.018576386
15/02/2013,46.4,-0.007086897
14/02/2013,46.73,-0.014235872
13/02/2013,47.4,0.002323372
12/02/2013,47.29,-0.007163958
11/02/2013,47.63,-0.000839454
08/02/2013,47.67,-0.010018869
07/02/2013,48.15,0.004788184
06/02/2013,47.92,-0.001876369
05/02/2013,48.01,0.018075313
04/02/2013,47.15,-0.009288646
01/02/2013,47.59,0.001892944
31/01/2013,47.5,-0.0104713
30/01/2013,48,0.031533668
29/01/2013,46.51,-0.009841757
28/01/2013,46.97,-0.004460974
25/01/2013,47.18,0.007873219
24/01/2013,46.81,-0.011681135
23/01/2013,47.36,-0.013006267
22/01/2013,47.98,0
18/01/2013,47.98,-0.000208398
17/01/2013,47.99,0.004176243
16/01/2013,47.79,0.011363759
15/01/2013,47.25,-0.002747545
14/01/2013,47.38,0.01146266
11/01/2013,46.84,0.007285226
10/01/2013,46.5,0.010810916
09/01/2013,46,-0.010165547
08/01/2013,46.47,-0.004080323
07/01/2013,46.66,-0.001926989
04/01/2013,46.75,0.01378441
03/01/2013,46.11,0.001953762
02/01/2013,46.02,-0.010161151
31/12/2012,46.49,0.024827059
28/12/2012,45.35,-0.019218761
27/12/2012,46.23,0.025634003
26/12/2012,45.06,-0.001330672
24/12/2012,45.12,0.00868119
21/12/2012,44.73,-0.014206676
20/12/2012,45.37,0.009077888
19/12/2012,44.96,-0.016981332
18/12/2012,45.73,-0.013035162
17/12/2012,46.33,0.009324582
14/12/2012,45.9,0.019802627
13/12/2012,45,-0.004876977
12/12/2012,45.22,0.004210533
11/12/2012,45.03,-0.004873736
10/12/2012,45.25,-0.006607954
07/12/2012,45.55,0.037351988
06/12/2012,43.88,-0.004320643
05/12/2012,44.07,0.001589645
04/12/2012,44,-0.016231195
03/12/2012,44.72,-0.026044288
30/11/2012,45.9,0.024480217
29/11/2012,44.79,0.014391973
28/11/2012,44.15,0.013224087
27/11/2012,43.57,0.010845843
26/11/2012,43.1,0.005584007
23/11/2012,42.86,0.004677277
21/11/2012,42.66,0.009657359
20/11/2012,42.25,0.012144452
19/11/2012,41.74,0.017156395
16/11/2012,41.03,-0.008977374
15/11/2012,41.4,-0.002653481
14/11/2012,41.51,-0.03130443
13/11/2012,42.83,-0.000466853
12/11/2012,42.85,-0.004888847
09/11/2012,43.06,0.030655548
08/11/2012,41.76,0.018854801
07/11/2012,40.98,-0.017896487
06/11/2012,41.72,-0.003827756
05/11/2012,41.88,0.009114959
02/11/2012,41.5,0.005315306
01/11/2012,41.28,-0.005556241
31/10/2012,41.51,-0.008396355
26/10/2012,41.86,0.016863806
25/10/2012,41.16,0.071494958
24/10/2012,38.32,0.006020173
23/10/2012,38.09,-0.02104247
22/10/2012,38.9,0.002574004
19/10/2012,38.8,0.006204777
18/10/2012,38.56,-0.006720108
17/10/2012,38.82,0.025568834
16/10/2012,37.84,0.034685558
15/10/2012,36.55,0.001917021
12/10/2012,36.48,0.000822707
11/10/2012,36.45,-0.016596762
10/10/2012,37.06,-0.011802712
09/10/2012,37.5,-0.019279615
08/10/2012,38.23,-0.00026154
05/10/2012,38.24,-0.008592684
04/10/2012,38.57,-0.013391908
03/10/2012,39.09,0.0196338
02/10/2012,38.33,0.028044166
01/10/2012,37.27,
