Date,Close,WY
12/08/2013,27.32,-0.017776634
09/08/2013,27.81,0.017776634
08/08/2013,27.32,-0.010196738
07/08/2013,27.6,-0.020796734
06/08/2013,28.18,0.000709975
05/08/2013,28.16,0.006412562
02/08/2013,27.98,-0.01172513
01/08/2013,28.31,-0.003174046
31/07/2013,28.4,0.006358199
30/07/2013,28.22,0.008183643
29/07/2013,27.99,-0.028528084
26/07/2013,28.8,-0.011736414
25/07/2013,29.14,0.009655247
24/07/2013,28.86,-0.01615433
23/07/2013,29.33,-0.00577938
22/07/2013,29.5,-0.012129529
19/07/2013,29.86,0.008745431
18/07/2013,29.6,0.011211261
17/07/2013,29.27,-0.003070103
16/07/2013,29.36,0
15/07/2013,29.36,-0.00645054
12/07/2013,29.55,0.006791198
11/07/2013,29.35,0.021002666
10/07/2013,28.74,0.000348008
09/07/2013,28.73,0.012257201
08/07/2013,28.38,0.002469573
05/07/2013,28.31,-0.005284494
03/07/2013,28.46,-0.002807019
02/07/2013,28.54,0.015537036
01/07/2013,28.1,-0.013783572
28/06/2013,28.49,0.010231171
27/06/2013,28.2,0.016807118
26/06/2013,27.73,0.007601847
25/06/2013,27.52,0.018705845
24/06/2013,27.01,-0.015065506
21/06/2013,27.42,0.014325314
20/06/2013,27.03,-0.010305575
19/06/2013,27.31,-0.033486477
18/06/2013,28.24,-0.01476301
17/06/2013,28.66,0.012994037
14/06/2013,28.29,-0.011247922
13/06/2013,28.61,0.029080063
12/06/2013,27.79,-0.031872386
11/06/2013,28.69,-0.014189544
10/06/2013,29.1,0.002408396
07/06/2013,29.03,0.000344531
06/06/2013,29.02,0.024416979
05/06/2013,28.32,-0.03162731
04/06/2013,29.23,-0.027999805
03/06/2013,30.06,0.008016075
31/05/2013,29.82,0.005379973
30/05/2013,29.66,-0.02891047
29/05/2013,30.53,-0.040756483
28/05/2013,31.8,0.001888575
24/05/2013,31.74,-0.009719468
23/05/2013,32.05,-0.008698408
22/05/2013,32.33,-0.008316697
21/05/2013,32.6,0.00708022
20/05/2013,32.37,-0.003392447
17/05/2013,32.48,0.015826552
16/05/2013,31.97,-0.011816058
15/05/2013,32.35,0.002785948
14/05/2013,32.26,0.043071889
13/05/2013,30.9,-0.015733187
10/05/2013,31.39,-0.013291335
09/05/2013,31.81,0.015204601
08/05/2013,31.33,-0.001594642
07/05/2013,31.38,0.010894052
06/05/2013,31.04,0.012644033
03/05/2013,30.65,0.013136478
02/05/2013,30.25,0.003642991
01/05/2013,30.14,-0.012201306
30/04/2013,30.51,0.002625535
29/04/2013,30.43,-0.003280843
26/04/2013,30.53,-0.027460941
25/04/2013,31.38,-0.000955566
24/04/2013,31.41,0.021236319
23/04/2013,30.75,0.023027333
22/04/2013,30.05,0.007012886
19/04/2013,29.84,0.018603614
18/04/2013,29.29,-0.01524678
17/04/2013,29.74,-0.028507068
16/04/2013,30.6,0.005899722
15/04/2013,30.42,-0.043736874
12/04/2013,31.78,0.002205073
11/04/2013,31.71,0.002526051
10/04/2013,31.63,0.011446866
09/04/2013,31.27,-0.006693252
08/04/2013,31.48,0.010217203
05/04/2013,31.16,-0.001923694
04/04/2013,31.22,0.029251354
03/04/2013,30.32,-0.04134956
02/04/2013,31.6,0.008581016
01/04/2013,31.33,-0.001594642
28/03/2013,31.38,0.011861014
27/03/2013,31.01,0.000645161
26/03/2013,30.99,0.004527821
25/03/2013,30.85,-0.005172983
22/03/2013,31.01,0.008419739
21/03/2013,30.75,-0.020917899
20/03/2013,31.4,0.021893985
19/03/2013,30.72,0.017071984
18/03/2013,30.2,-0.011522761
15/03/2013,30.55,-0.008799144
14/03/2013,30.82,0.015696856
13/03/2013,30.34,0.00462505
12/03/2013,30.2,-0.010212574
11/03/2013,30.51,0.008888947
08/03/2013,30.24,0.001986098
07/03/2013,30.18,-0.002647255
06/03/2013,30.26,-0.003957789
05/03/2013,30.38,0.014255173
04/03/2013,29.95,0.012768991
