Date,Close,PPL
11/07/2013,30.41,0.01357412
10/07/2013,30,0.003338901
09/07/2013,29.9,0.001673641
08/07/2013,29.85,0.016892294
05/07/2013,29.35,-0.00814392
03/07/2013,29.59,-0.005392666
02/07/2013,29.75,-0.005029348
01/07/2013,29.9,-0.011968228
28/06/2013,30.26,0.01901642
27/06/2013,29.69,-0.000673401
26/06/2013,29.71,0.007093426
25/06/2013,29.5,0.014339611
24/06/2013,29.08,0.003444716
21/06/2013,28.98,0.016000341
20/06/2013,28.52,-0.018412888
19/06/2013,29.05,-0.014014928
18/06/2013,29.46,0.01126484
17/06/2013,29.13,0
14/06/2013,29.13,0.004817628
13/06/2013,28.99,0.018802782
12/06/2013,28.45,-0.018457776
11/06/2013,28.98,-0.005162634
10/06/2013,29.13,-0.00547759
07/06/2013,29.29,-0.003748514
06/06/2013,29.4,-0.001699236
05/06/2013,29.45,-0.008453136
04/06/2013,29.7,0.001347709
03/06/2013,29.66,-0.001347709
31/05/2013,29.7,-0.006711435
30/05/2013,29.9,-0.004671346
29/05/2013,30.04,-0.000665557
28/05/2013,30.06,-0.017477774
24/05/2013,30.59,-0.013314046
23/05/2013,31,-0.008671967
22/05/2013,31.27,-0.017435851
21/05/2013,31.82,0.000314317
20/05/2013,31.81,-0.010631745
17/05/2013,32.15,0.006553308
16/05/2013,31.94,-0.002189211
15/05/2013,32.01,0.0040695
14/05/2013,31.88,0.004716248
13/05/2013,31.73,-0.003460755
10/05/2013,31.84,0.000942655
09/05/2013,31.81,-0.005642648
08/05/2013,31.99,-0.012735069
07/05/2013,32.4,0.013047715
06/05/2013,31.98,-0.023181381
03/05/2013,32.73,-0.006395636
02/05/2013,32.94,-0.009667749
01/05/2013,33.26,-0.003601444
30/04/2013,33.38,0.002099266
29/04/2013,33.31,0.008441413
26/04/2013,33.03,0.006073508
25/04/2013,32.83,0.000914216
24/04/2013,32.8,0.003053437
23/04/2013,32.7,0.004904976
22/04/2013,32.54,-0.000921517
19/04/2013,32.57,0.015782472
18/04/2013,32.06,0.007199906
17/04/2013,31.83,-0.000942063
16/04/2013,31.86,0.011363759
15/04/2013,31.5,-0.015435808
12/04/2013,31.99,0.002817344
11/04/2013,31.9,0.007551955
10/04/2013,31.66,0.005701631
09/04/2013,31.48,-0.006017437
08/04/2013,31.67,0.007288893
05/04/2013,31.44,0.00478241
04/04/2013,31.29,0.013189833
03/04/2013,30.88,-0.009026496
02/04/2013,31.16,-0.002884155
01/04/2013,31.25,-0.001918159
28/03/2013,31.31,0.017397346
27/03/2013,30.77,0.005867031
26/03/2013,30.59,0.015483755
25/03/2013,30.12,0.000996512
22/03/2013,30.09,-0.002323652
21/03/2013,30.16,-0.003310165
20/03/2013,30.26,0.003310165
19/03/2013,30.16,-0.00033151
18/03/2013,30.17,-0.010550708
15/03/2013,30.49,0.009225766
14/03/2013,30.21,-0.010536811
13/03/2013,30.53,0.0045962
12/03/2013,30.39,0.003956484
11/03/2013,30.27,-0.012149222
08/03/2013,30.64,0.003924138
07/03/2013,30.52,-0.008157983
06/03/2013,30.77,-0.017397346
05/03/2013,31.31,0.008338727
04/03/2013,31.05,0.007434978
01/03/2013,30.82,0
28/02/2013,30.82,0.003575495
27/02/2013,30.71,0.006861651
26/02/2013,30.5,0.004930166
25/02/2013,30.35,-0.014393444
22/02/2013,30.79,0.012089675
21/02/2013,30.42,-0.001970444
20/02/2013,30.48,0.000328138
19/02/2013,30.47,0.001971091
15/02/2013,30.41,-0.003938305
14/02/2013,30.53,0.001967214
13/02/2013,30.47,-0.001639613
12/02/2013,30.52,0.004268599
11/02/2013,30.39,0.002635916
08/02/2013,30.31,0.000329979
07/02/2013,30.3,0.000990589
06/02/2013,30.27,0.00364058
05/02/2013,30.16,0.00099519
04/02/2013,30.13,-0.007933926
01/02/2013,30.37,0.002637654
31/01/2013,30.29,0.016309232
30/01/2013,29.8,-0.002346239
29/01/2013,29.87,0.009080271
28/01/2013,29.6,0
25/01/2013,29.6,0.003045172
24/01/2013,29.51,0.004074709
23/01/2013,29.39,-0.007119881
22/01/2013,29.6,0.007460191
18/01/2013,29.38,0.013363228
17/01/2013,28.99,0.009705449
16/01/2013,28.71,-0.006942062
15/01/2013,28.91,-0.001382648
14/01/2013,28.95,0
11/01/2013,28.95,-0.001725626
10/01/2013,29,0.001380262
09/01/2013,28.96,0.005887463
08/01/2013,28.79,-0.004505293
07/01/2013,28.92,-0.009977719
04/01/2013,29.21,0.000342407
03/01/2013,29.2,0.003774237
02/01/2013,29.09,0.015939353
31/12/2012,28.63,0.015842613
28/12/2012,28.18,-0.011993089
27/12/2012,28.52,-0.003500179
26/12/2012,28.62,-0.010427623
24/12/2012,28.92,0
21/12/2012,28.92,-0.00654836
20/12/2012,29.11,-0.001030043
19/12/2012,29.14,-0.010582109
18/12/2012,29.45,0.006130809
17/12/2012,29.27,0.016534996
14/12/2012,28.79,-0.01071007
13/12/2012,29.1,0.001375516
12/12/2012,29.06,0.002756721
11/12/2012,28.98,-0.000689893
10/12/2012,29,0.000689893
07/12/2012,28.98,-0.000689893
06/12/2012,29,-0.011996716
05/12/2012,29.35,0.013376979
04/12/2012,28.96,-0.003791147
03/12/2012,29.07,-0.009585832
30/11/2012,29.35,0.009929888
29/11/2012,29.06,0.004137937
28/11/2012,28.94,0.004502172
27/11/2012,28.81,0.012925944
26/11/2012,28.44,0.012739026
23/11/2012,28.08,-0.005327663
21/11/2012,28.23,-0.003536072
20/11/2012,28.33,-0.001410935
19/11/2012,28.37,-0.005974363
16/11/2012,28.54,0.020889412
15/11/2012,27.95,-0.00107277
14/11/2012,27.98,-0.0120783
13/11/2012,28.32,0.002120892
12/11/2012,28.26,-0.014752638
09/11/2012,28.68,-0.001741857
08/11/2012,28.73,0.015080068
07/11/2012,28.3,-0.017860744
06/11/2012,28.81,0.001041848
05/11/2012,28.78,-0.014145483
02/11/2012,29.19,-0.008188377
01/11/2012,29.43,-0.004745772
31/10/2012,29.57,0.002709111
26/10/2012,29.49,-0.002032521
25/10/2012,29.55,0.006109999
