Date,Close,ICE
29/06/2012,135.98,0.013623785
28/06/2012,134.14,0.009813916
27/06/2012,132.83,-0.003982123
26/06/2012,133.36,0.015643621
25/06/2012,131.29,-0.01429298
22/06/2012,133.18,0.014064504
21/06/2012,131.32,-0.026748402
20/06/2012,134.88,-0.005028852
19/06/2012,135.56,-0.00500369
18/06/2012,136.24,0.010625838
15/06/2012,134.8,0.045609028
14/06/2012,128.79,0.022139388
13/06/2012,125.97,-0.014735699
12/06/2012,127.84,0.008483947
11/06/2012,126.76,-0.008874985
08/06/2012,127.89,0.001643386
07/06/2012,127.68,-0.005311683
06/06/2012,128.36,0.021338552
05/06/2012,125.65,0.051942761
04/06/2012,119.29,0.006897739
01/06/2012,118.47,-0.033043019
31/05/2012,122.45,0.001471069
30/05/2012,122.27,-0.022881703
29/05/2012,125.1,-0.003112657
25/05/2012,125.49,0.012347816
24/05/2012,123.95,-0.003463137
23/05/2012,124.38,-0.002409059
22/05/2012,124.68,-0.003283023
21/05/2012,125.09,0.012063843
18/05/2012,123.59,0.018373113
17/05/2012,121.34,-0.003291101
16/05/2012,121.74,-0.002461237
15/05/2012,122.04,-0.00897306
14/05/2012,123.14,-0.006798343
11/05/2012,123.98,-0.008593395
10/05/2012,125.05,0.001040125
09/05/2012,124.92,-0.002957518
08/05/2012,125.29,-0.002789624
07/05/2012,125.64,-0.013047273
04/05/2012,127.29,-0.015357932
03/05/2012,129.26,0.010968178
02/05/2012,127.85,-0.025178964
01/05/2012,131.11,-0.014613169
30/04/2012,133.04,0.002784993
27/04/2012,132.67,0.012667519
26/04/2012,131,-0.012290573
25/04/2012,132.62,0.017188042
24/04/2012,130.36,0.017722865
23/04/2012,128.07,-0.002495517
20/04/2012,128.39,-0.008685592
19/04/2012,129.51,-0.007844987
18/04/2012,130.53,-0.013544569
17/04/2012,132.31,0.007358273
16/04/2012,131.34,-0.012935617
13/04/2012,133.05,-0.008084481
12/04/2012,134.13,0.00478291
11/04/2012,133.49,0.009861939
10/04/2012,132.18,-0.027313093
09/04/2012,135.84,-0.020114364
05/04/2012,138.6,0.0298792
04/04/2012,134.52,-0.022856038
03/04/2012,137.63,-0.007167451
02/04/2012,138.62,0.008694447
30/03/2012,137.42,0.016360733
29/03/2012,135.19,-0.006855653
28/03/2012,136.12,-0.007538368
27/03/2012,137.15,-0.01462099
26/03/2012,139.17,-0.002225014
23/03/2012,139.48,-0.001218071
22/03/2012,139.65,0.001935276
21/03/2012,139.38,-0.003509404
20/03/2012,139.87,-0.002927005
19/03/2012,140.28,0.009166492
16/03/2012,139,-0.020296228
15/03/2012,141.85,0.007998061
14/03/2012,140.72,-0.011657202
13/03/2012,142.37,0.026620789
12/03/2012,138.63,-0.022750134
09/03/2012,141.82,0.015061382
08/03/2012,139.7,0.002006306
07/03/2012,139.42,0.013358082
06/03/2012,137.57,-0.004207173
05/03/2012,138.15,-0.008505169
02/03/2012,139.33,-0.00336761
01/03/2012,139.8,0.013249042
29/02/2012,137.96,-0.013678134
28/02/2012,139.86,0.001645855
27/02/2012,139.63,-0.000787486
24/02/2012,139.74,0.003440864
23/02/2012,139.26,0.044866377
22/02/2012,133.15,-0.001650908
21/02/2012,133.37,-0.008213905
17/02/2012,134.47,0.004770788
16/02/2012,133.83,0.007274396
15/02/2012,132.86,-0.006152942
14/02/2012,133.68,-0.000448732
13/02/2012,133.74,-0.008117109
10/02/2012,134.83,0.021743247
09/02/2012,131.93,0.014121833
08/02/2012,130.08,0.05783696
07/02/2012,122.77,8.14564E-05
06/02/2012,122.76,0.003590668
03/02/2012,122.32,0.022069747
02/02/2012,119.65,0.042337978
01/02/2012,114.69,0.001832701
31/01/2012,114.48,-0.00826415
30/01/2012,115.43,-0.008797711
27/01/2012,116.45,-0.008550715
26/01/2012,117.45,-0.000680909
25/01/2012,117.53,-0.011841465
24/01/2012,118.93,0.003368992
23/01/2012,118.53,0.00949401
20/01/2012,117.41,-0.005266747
19/01/2012,118.03,0.028182981
18/01/2012,114.75,0.022918588
17/01/2012,112.15,-0.037796468
13/01/2012,116.47,0.013223476
12/01/2012,114.94,0.020479731
11/01/2012,112.61,-0.011478141
10/01/2012,113.91,0.011744583
09/01/2012,112.58,-0.021355001
06/01/2012,115.01,-0.01724032
05/01/2012,117.01,-8.54591E-05
04/01/2012,117.02,-0.013158643
03/01/2012,118.57,-0.016561101
30/12/2011,120.55,-0.006202211
29/12/2011,121.3,0.015620125
28/12/2011,119.42,-0.009583806
27/12/2011,120.57,0.003739254
23/12/2011,120.12,0.0048402
22/12/2011,119.54,0.008316231
21/12/2011,118.55,-0.01132325
20/12/2011,119.9,0.03143128
19/12/2011,116.19,-0.012742294
16/12/2011,117.68,0.004770026
15/12/2011,117.12,-0.001109357
14/12/2011,117.25,-0.000852515
13/12/2011,117.35,-0.018490121
12/12/2011,119.54,-0.027638603
09/12/2011,122.89,0.018893284
08/12/2011,120.59,-0.019625378
07/12/2011,122.98,-0.00243645
06/12/2011,123.28,0.008553675
05/12/2011,122.23,-0.009688657
02/12/2011,123.42,-0.01031768
01/12/2011,124.7,0.024187528
30/11/2011,121.72,0.03630679
29/11/2011,117.38,-0.001532306
