Date,Close,NU
03/04/2012,37.34,0.007796786
02/04/2012,37.05,-0.001887556
30/03/2012,37.12,-0.002421634
29/03/2012,37.21,0.008637031
28/03/2012,36.89,-0.007830471
27/03/2012,37.18,0.001076426
26/03/2012,37.14,0.010828476
23/03/2012,36.74,0.009846907
22/03/2012,36.38,0.000274914
21/03/2012,36.37,-0.004389582
20/03/2012,36.53,0.004939637
19/03/2012,36.35,-0.002198407
16/03/2012,36.43,-0.007656586
15/03/2012,36.71,-0.000816882
14/03/2012,36.74,-0.021807298
13/03/2012,37.55,0.011786903
12/03/2012,37.11,0.007302264
09/03/2012,36.84,0.004352564
08/03/2012,36.68,0.012068166
07/03/2012,36.24,0.009147673
06/03/2012,35.91,-0.016570387
05/03/2012,36.51,0.0118475
02/03/2012,36.08,0.001109262
01/03/2012,36.04,0.003892137
29/02/2012,35.9,0.014873292
28/02/2012,35.37,-0.008445996
27/02/2012,35.67,-0.005312469
24/02/2012,35.86,0.003351958
23/02/2012,35.74,-0.005580372
22/02/2012,35.94,-0.001390241
21/02/2012,35.99,-0.003051743
17/02/2012,36.1,-0.00166067
16/02/2012,36.16,0.017857617
15/02/2012,35.52,0.017609089
14/02/2012,34.9,-0.002575477
13/02/2012,34.99,-0.005983776
10/02/2012,35.2,-0.007359218
09/02/2012,35.46,-0.004501977
08/02/2012,35.62,0.003656311
07/02/2012,35.49,0.006218222
06/02/2012,35.27,-0.00085022
03/02/2012,35.3,0.005396974
02/02/2012,35.11,-0.001423083
01/02/2012,35.16,0.011729501
31/01/2012,34.75,0.006061499
30/01/2012,34.54,-0.005485794
27/01/2012,34.73,-0.015428877
26/01/2012,35.27,0.010259423
25/01/2012,34.91,0.010365771
24/01/2012,34.55,0.003479273
23/01/2012,34.43,0.00203518
20/01/2012,34.36,0.024452537
19/01/2012,33.53,-0.017443162
18/01/2012,34.12,-0.002634276
17/01/2012,34.21,-0.000584454
13/01/2012,34.23,-0.00087604
12/01/2012,34.26,0.000583942
11/01/2012,34.24,-0.006694829
10/01/2012,34.47,-0.001159757
09/01/2012,34.51,-0.014098924
06/01/2012,35,-0.001427552
05/01/2012,35.05,-0.000570451
04/01/2012,35.07,-0.017804625
03/01/2012,35.7,-0.010310806
30/12/2011,36.07,-0.004701986
29/12/2011,36.24,0.011098893
28/12/2011,35.84,-0.000278979
27/12/2011,35.85,0.003912805
23/12/2011,35.71,0.011547798
22/12/2011,35.3,0.003689517
21/12/2011,35.17,0.010288745
20/12/2011,34.81,0.008655565
19/12/2011,34.51,-0.006642624
16/12/2011,34.74,0.001728609
15/12/2011,34.68,0.011309385
14/12/2011,34.29,-0.010443959
13/12/2011,34.65,0.011903174
12/12/2011,34.24,-0.001750803
09/12/2011,34.3,0.023003079
08/12/2011,33.52,-0.020375723
07/12/2011,34.21,-0.004957001
06/12/2011,34.38,-0.002324231
05/12/2011,34.46,0.003488376
02/12/2011,34.34,-0.014742282
01/12/2011,34.85,0.00691048
30/11/2011,34.61,0.02664482
29/11/2011,33.7,0.008941937
28/11/2011,33.4,0.006608615
25/11/2011,33.18,0.006956024
23/11/2011,32.95,-0.019832381
22/11/2011,33.61,-0.005341259
21/11/2011,33.79,-0.020794423
18/11/2011,34.5,0.016659745
17/11/2011,33.93,-0.011428696
16/11/2011,34.32,-0.016471981
15/11/2011,34.89,0.012691258
14/11/2011,34.45,-0.01812217
11/11/2011,35.08,0.023360832
10/11/2011,34.27,0.016475807
09/11/2011,33.71,-0.020843262
08/11/2011,34.42,0.000290571
07/11/2011,34.41,-0.007239064
04/11/2011,34.66,-0.003168662
03/11/2011,34.77,0.015944678
02/11/2011,34.22,0.018581865
01/11/2011,33.59,-0.02875785
31/10/2011,34.57,-0.000289226
28/10/2011,34.58,-0.010070579
27/10/2011,34.93,0.029341248
26/10/2011,33.92,0.014850288
25/10/2011,33.42,-0.016617593
24/10/2011,33.98,0.006495447
21/10/2011,33.76,0.011619377
20/10/2011,33.37,0.000299715
19/10/2011,33.36,0.000899685
18/10/2011,33.33,0.013593322
17/10/2011,32.88,-0.012993082
14/10/2011,33.31,0.011169927
13/10/2011,32.94,0.011910356
12/10/2011,32.55,0.007400589
11/10/2011,32.31,-0.019917925
10/10/2011,32.96,0.027997522
07/10/2011,32.05,0.003438041
06/10/2011,31.94,0.026972919
05/10/2011,31.09,-0.005772947
04/10/2011,31.27,-0.024949976
03/10/2011,32.06,-0.048403909
30/09/2011,33.65,-0.01357754
29/09/2011,34.11,0.011202947
28/09/2011,33.73,-0.022571675
27/09/2011,34.5,0.012248622
26/09/2011,34.08,0.002056103
23/09/2011,34.01,0.015706353
22/09/2011,33.48,-0.022738319
21/09/2011,34.25,-0.016218137
20/09/2011,34.81,0.008365836
