Date,Close,WDC
17/06/2013,64.65,0.011981782
14/06/2013,63.88,-0.00593103
13/06/2013,64.26,0.00546151
12/06/2013,63.91,-0.009809343
11/06/2013,64.54,-0.001084011
10/06/2013,64.61,0.007145107
07/06/2013,64.15,0.004530904
06/06/2013,63.86,0.016578891
05/06/2013,62.81,-0.009664973
04/06/2013,63.42,-0.005973921
03/06/2013,63.8,0.007551955
31/05/2013,63.32,-0.007395203
30/05/2013,63.79,0.000941029
29/05/2013,63.73,0.013745378
28/05/2013,62.86,0.008948606
24/05/2013,62.3,0.000642261
23/05/2013,62.26,0.03033006
22/05/2013,60.4,-0.005284028
21/05/2013,60.72,0.02113751
20/05/2013,59.45,-0.016846366
17/05/2013,60.46,0.023597447
16/05/2013,59.05,-0.008767549
15/05/2013,59.57,0.006061645
14/05/2013,59.21,0.022200365
13/05/2013,57.91,-0.009623721
10/05/2013,58.47,0.013603309
09/05/2013,57.68,-0.022796428
08/05/2013,59.01,0.003054992
07/05/2013,58.83,0.011970047
06/05/2013,58.13,0.017002491
03/05/2013,57.15,0.008610896
02/05/2013,56.66,0.0333783
01/05/2013,54.8,-0.008720986
30/04/2013,55.28,0.021207376
29/04/2013,54.12,0.015455107
26/04/2013,53.29,0.013032577
25/04/2013,52.6,-0.005687219
24/04/2013,52.9,-0.006406655
23/04/2013,53.24,0.052638657
22/04/2013,50.51,0.011549312
19/04/2013,49.93,0.013712657
18/04/2013,49.25,-0.026449147
17/04/2013,50.57,-0.02846196
16/04/2013,52.03,0.016862499
15/04/2013,51.16,-0.02242073
12/04/2013,52.32,-0.001337026
11/04/2013,52.39,-0.015530615
10/04/2013,53.21,0.031306241
09/04/2013,51.57,0.02632765
08/04/2013,50.23,0.008597474
05/04/2013,49.8,-0.019487592
04/04/2013,50.78,0.003551
03/04/2013,50.6,0.01052955
02/04/2013,50.07,-0.006569149
01/04/2013,50.4,0.002184925
28/03/2013,50.29,0.002987157
27/03/2013,50.14,0.029550825
26/03/2013,48.68,0.023907177
25/03/2013,47.53,-0.008380523
22/03/2013,47.93,-0.003540564
21/03/2013,48.1,-0.025250238
20/03/2013,49.33,0.009573349
19/03/2013,48.86,-0.015031768
18/03/2013,49.6,-0.011227063
15/03/2013,50.16,-0.011102414
14/03/2013,50.72,0.006527567
13/03/2013,50.39,0.007969757
12/03/2013,49.99,0.040413663
11/03/2013,48.01,0.007316851
08/03/2013,47.66,0.008216627
07/03/2013,47.27,-0.032469033
06/03/2013,48.83,0.009465091
05/03/2013,48.37,0.011644964
04/03/2013,47.81,-0.007709175
01/03/2013,48.18,0.021397922
28/02/2013,47.16,0.003185731
27/02/2013,47.01,0.024549036
26/02/2013,45.87,0.02337998
25/02/2013,44.81,-0.024033788
22/02/2013,45.9,0.003491928
21/02/2013,45.74,-0.017338969
20/02/2013,46.54,-0.042693898
19/02/2013,48.57,-0.000411692
15/02/2013,48.59,-0.004517461
14/02/2013,48.81,0.003694585
13/02/2013,48.63,0.009296627
12/02/2013,48.18,-0.008679534
11/02/2013,48.6,0.00226594
08/02/2013,48.49,0.01852483
07/02/2013,47.6,-0.008159895
06/02/2013,47.99,0.028748545
05/02/2013,46.63,0.005375779
04/02/2013,46.38,-0.00837364
01/02/2013,46.77,-0.00490563
31/01/2013,47,0.003196593
30/01/2013,46.85,0.015921162
29/01/2013,46.11,-0.053416391
28/01/2013,48.64,0.011579947
25/01/2013,48.08,0.006049878
24/01/2013,47.79,0.015180557
23/01/2013,47.07,-0.006142135
22/01/2013,47.36,0.055346662
18/01/2013,44.81,-0.009108138
17/01/2013,45.22,-0.001988292
16/01/2013,45.31,0.01042716
15/01/2013,44.84,0.003127097
14/01/2013,44.7,0.016238516
11/01/2013,43.98,-0.004084417
10/01/2013,44.16,0.008185585
09/01/2013,43.8,0.042440503
08/01/2013,41.98,-0.021678512
07/01/2013,42.9,0.000466309
04/01/2013,42.88,-0.003259607
03/01/2013,43.02,-0.009715552
02/01/2013,43.44,0.022111921
31/12/2012,42.49,0.024539647
28/12/2012,41.46,-0.014605791
27/12/2012,42.07,-0.000475285
26/12/2012,42.09,0.006674637
24/12/2012,41.81,-0.006674637
21/12/2012,42.09,-0.001661721
20/12/2012,42.16,0.023033648
