Date,Close,TJX
04/06/2013,50.51,0.003172717
03/06/2013,50.35,-0.005150566
31/05/2013,50.61,0.011126679
30/05/2013,50.05,0.00119952
29/05/2013,49.99,-0.013905667
28/05/2013,50.69,-0.00315147
24/05/2013,50.85,0.010875045
23/05/2013,50.3,0.001392619
22/05/2013,50.23,-0.029232096
21/05/2013,51.72,0.007179618
20/05/2013,51.35,0.00038956
17/05/2013,51.33,0.011166734
16/05/2013,50.76,-0.016800551
15/05/2013,51.62,0.003298732
14/05/2013,51.45,0.015671232
13/05/2013,50.65,-0.006101781
10/05/2013,50.96,0.005312359
09/05/2013,50.69,0.005737477
08/05/2013,50.4,0.00736835
07/05/2013,50.03,0.014901605
06/05/2013,49.29,-0.00526104
03/05/2013,49.55,0.013818549
02/05/2013,48.87,0.010490686
01/05/2013,48.36,-0.008442344
30/04/2013,48.77,-0.00143428
29/04/2013,48.84,0.009049836
26/04/2013,48.4,0.002275314
25/04/2013,48.29,0.018180419
24/04/2013,47.42,0.005498005
23/04/2013,47.16,0.000424178
22/04/2013,47.14,0.002974296
19/04/2013,47,0.006403437
18/04/2013,46.7,-0.012977525
17/04/2013,47.31,-0.008628908
16/04/2013,47.72,0.003568808
15/04/2013,47.55,-0.021430135
12/04/2013,48.58,-0.003288125
11/04/2013,48.74,0.025559833
10/04/2013,47.51,-0.003152256
09/04/2013,47.66,0.004415947
08/04/2013,47.45,0.006554628
05/04/2013,47.14,-0.005289338
04/04/2013,47.39,0.006350572
03/04/2013,47.09,-0.005928453
02/04/2013,47.37,0.009971441
01/04/2013,46.9,0.00320342
28/03/2013,46.75,-0.002990177
27/03/2013,46.89,-0.00276861
26/03/2013,47.02,-0.002124496
25/03/2013,47.12,0.010667906
22/03/2013,46.62,0.021902643
21/03/2013,45.61,0.004835174
20/03/2013,45.39,0.00640957
19/03/2013,45.1,0.003331486
18/03/2013,44.95,0.000667631
15/03/2013,44.92,-0.006213957
14/03/2013,45.2,0.003990251
13/03/2013,45.02,0.009597217
12/03/2013,44.59,-0.004475282
11/03/2013,44.79,-0.002675587
08/03/2013,44.91,0.006478298
07/03/2013,44.62,-0.007146078
06/03/2013,44.94,-0.005326244
05/03/2013,45.18,-0.000442576
04/03/2013,45.2,0.00487914
01/03/2013,44.98,0.000222346
28/02/2013,44.97,0.004904156
27/02/2013,44.75,0.024430077
26/02/2013,43.67,0.002063038
25/02/2013,43.58,-0.014578846
22/02/2013,44.22,0.000226168
21/02/2013,44.21,-0.002033669
20/02/2013,44.3,-0.019005603
19/02/2013,45.15,0.003105593
15/02/2013,45.01,-0.004433614
14/02/2013,45.21,0.004433614
13/02/2013,45.01,-0.0042124
12/02/2013,45.2,-0.004415018
11/02/2013,45.4,-0.00614846
08/02/2013,45.68,0.006368749
07/02/2013,45.39,-0.001321004
06/02/2013,45.45,-0.003952574
05/02/2013,45.63,0.008583744
04/02/2013,45.24,-0.001325381
01/02/2013,45.3,0.002652521
31/01/2013,45.18,-0.007497279
30/01/2013,45.52,0.00594912
29/01/2013,45.25,0.006874403
28/01/2013,44.94,-0.00399734
25/01/2013,45.12,0.005556187
24/01/2013,44.87,0.010079602
23/01/2013,44.42,-0.005612317
22/01/2013,44.67,-0.001789309
18/01/2013,44.75,0.003133396
17/01/2013,44.61,0.006522007
16/01/2013,44.32,-0.000676666
15/01/2013,44.35,0.009515251
14/01/2013,43.93,-0.000682672
11/01/2013,43.96,0.005245764
10/01/2013,43.73,0.001372998
09/01/2013,43.67,0.003900429
08/01/2013,43.5,-0.017320397
07/01/2013,44.26,-0.006755261
04/01/2013,44.56,-0.000448732
03/01/2013,44.58,0.032139518
02/01/2013,43.17,0.016818897
31/12/2012,42.45,0.019746092
28/12/2012,41.62,0.002164763
27/12/2012,41.53,0.007249911
26/12/2012,41.23,-0.023491013
24/12/2012,42.21,0.006178727
21/12/2012,41.95,-0.009489988
