Date,Close,RHI
19/03/2012,30.91,0.00746878
16/03/2012,30.68,-0.003578985
15/03/2012,30.79,0.015712271
14/03/2012,30.31,0.003304696
13/03/2012,30.21,0.023782732
12/03/2012,29.5,0.004076093
09/03/2012,29.38,0.012328923
08/03/2012,29.02,0.021948277
07/03/2012,28.39,0.021720633
06/03/2012,27.78,-0.017484834
05/03/2012,28.27,0.004253817
02/03/2012,28.15,-0.02248075
01/03/2012,28.79,0.012583179
29/02/2012,28.43,-0.007708517
28/02/2012,28.65,-0.011107369
27/02/2012,28.97,0.003457818
24/02/2012,28.87,-0.006559664
23/02/2012,29.06,-0.002749143
22/02/2012,29.14,-0.004109595
21/02/2012,29.26,0.003080612
17/02/2012,29.17,-0.004105377
16/02/2012,29.29,0.006507987
15/02/2012,29.1,-0.009916306
14/02/2012,29.39,0.002043597
13/02/2012,29.33,0.007529125
10/02/2012,29.11,-0.021411183
09/02/2012,29.74,0.006409197
08/02/2012,29.55,0.001354555
07/02/2012,29.51,0.001017122
06/02/2012,29.48,-0.004062294
03/02/2012,29.6,0.051648976
02/02/2012,28.11,-0.009911586
01/02/2012,28.39,0.024965633
31/01/2012,27.69,-0.002164503
30/01/2012,27.75,0
27/01/2012,27.75,-0.06992937
26/01/2012,29.76,-0.016661498
25/01/2012,30.26,0.018343019
24/01/2012,29.71,-0.001009252
23/01/2012,29.74,-0.011367558
20/01/2012,30.08,0.002996506
19/01/2012,29.99,0.022594116
18/01/2012,29.32,0.021024383
17/01/2012,28.71,0.009800568
13/01/2012,28.43,-0.015358068
12/01/2012,28.87,0.004165226
11/01/2012,28.75,-0.005203828
10/01/2012,28.9,0.009735821
09/01/2012,28.62,0.005606181
06/01/2012,28.46,-0.003157343
05/01/2012,28.55,0.002103788
04/01/2012,28.49,-0.005949274
03/01/2012,28.66,0.00700283
30/12/2011,28.46,0.004225358
29/12/2011,28.34,0.020678099
28/12/2011,27.76,-0.025605951
27/12/2011,28.48,-0.00245485
23/12/2011,28.55,0.007382702
22/12/2011,28.34,0.02392544
21/12/2011,27.67,0.005072475
20/12/2011,27.53,0.032487169
19/12/2011,26.65,-0.017113513
16/12/2011,27.11,0.014864636
15/12/2011,26.71,0.010160012
14/12/2011,26.44,-0.028338958
13/12/2011,27.2,-0.015323175
12/12/2011,27.62,-0.019007207
09/12/2011,28.15,0.026639444
08/12/2011,27.41,0.00109509
07/12/2011,27.38,-0.003645647
06/12/2011,27.48,-0.013015368
05/12/2011,27.84,0.030266668
02/12/2011,27.01,0.023222017
01/12/2011,26.39,-0.003782153
30/11/2011,26.49,0.069559283
29/11/2011,24.71,-0.006856248
28/11/2011,24.88,0.043118977
25/11/2011,23.83,-0.007941526
23/11/2011,24.02,-0.038387727
22/11/2011,24.96,0.00160385
21/11/2011,24.92,-0.025357936
18/11/2011,25.56,-0.013986242
17/11/2011,25.92,-0.023261297
16/11/2011,26.53,-0.011244496
15/11/2011,26.83,0.014264506
14/11/2011,26.45,-0.017241806
11/11/2011,26.91,0.020650255
10/11/2011,26.36,0.03042792
09/11/2011,25.57,-0.049218402
08/11/2011,26.86,0.011985162
07/11/2011,26.54,-0.013101441
04/11/2011,26.89,-0.009990832
03/11/2011,27.16,0.030277028
02/11/2011,26.35,0.023810649
01/11/2011,25.73,-0.026842102
31/10/2011,26.43,-0.030186753
28/10/2011,27.24,0
27/10/2011,27.24,0.024527428
26/10/2011,26.58,0.050541132
25/10/2011,25.27,-0.031167307
24/10/2011,26.07,0.027217854
21/10/2011,25.37,0.036119496
20/10/2011,24.47,-0.002448981
19/10/2011,24.53,-0.018978967
18/10/2011,25,0.025112701
17/10/2011,24.38,-0.054283078
14/10/2011,25.74,0.058393236
13/10/2011,24.28,0.004540771
12/10/2011,24.17,0.020059177
11/10/2011,23.69,-0.009661911
10/10/2011,23.92,0.032720149
07/10/2011,23.15,0.008676844
06/10/2011,22.95,0.018914133
05/10/2011,22.52,0.028830826
04/10/2011,21.88,0.059796583
03/10/2011,20.61,-0.029167738
30/09/2011,21.22,-0.034278483
29/09/2011,21.96,0.04184711
28/09/2011,21.06,-0.019746763
27/09/2011,21.48,0.024983623
26/09/2011,20.95,0.028566455
23/09/2011,20.36,0.014844409
22/09/2011,20.06,-0.042933423
21/09/2011,20.94,-0.049381248
20/09/2011,22,-0.007246409
19/09/2011,22.16,-0.024076063
16/09/2011,22.7,0.008849615
15/09/2011,22.5,0.029314388
14/09/2011,21.85,0.021277398
13/09/2011,21.39,0.025090074
12/09/2011,20.86,-0.013806456
09/09/2011,21.15,-0.043032316
08/09/2011,22.08,-0.029453267
07/09/2011,22.74,0.029000471
06/09/2011,22.09,-0.017501008
02/09/2011,22.48,-0.037542602
01/09/2011,23.34,-0.024546302
31/08/2011,23.92,-0.000417973
30/08/2011,23.93,0.021115649
29/08/2011,23.43,0.034298999
26/08/2011,22.64,0.020076516
25/08/2011,22.19,-0.023603857
24/08/2011,22.72,0.011064508
23/08/2011,22.47,0.023413947
22/08/2011,21.95,0.02912154
19/08/2011,21.32,-0.006545138
18/08/2011,21.46,-0.057934751
17/08/2011,22.74,-0.013106348
16/08/2011,23.04,-0.015076745
15/08/2011,23.39,0.014642811
12/08/2011,23.05,-0.001300672
11/08/2011,23.08,0.05293653
10/08/2011,21.89,-0.070119083
09/08/2011,23.48,0.057408971
08/08/2011,22.17,-0.084715856
05/08/2011,24.13,-0.024965487
04/08/2011,24.74,-0.03495193
03/08/2011,25.62,-0.009324077
02/08/2011,25.86,-0.037940818
01/08/2011,26.86,-0.019174629
29/07/2011,27.38,0.008067517
28/07/2011,27.16,-0.000368121
27/07/2011,27.17,-0.032231651
26/07/2011,28.06,-0.035705578
25/07/2011,29.08,-0.009241894
22/07/2011,29.35,-0.014208629
21/07/2011,29.77,0.14235179
20/07/2011,25.82,0.004658394
19/07/2011,25.7,0.032828734
18/07/2011,24.87,-0.020299204
15/07/2011,25.38,0.002366865
14/07/2011,25.32,-0.018779895
13/07/2011,25.8,-0.000774893
12/07/2011,25.82,-0.004251214
11/07/2011,25.93,-0.028513621
08/07/2011,26.68,-0.0411218
07/07/2011,27.8,0.020716714
06/07/2011,27.23,0.009223456
05/07/2011,26.98,-0.020543643
01/07/2011,27.54,0.018692133
30/06/2011,27.03,0.02358335
29/06/2011,26.4,-0.004912158
28/06/2011,26.53,0.010991204
27/06/2011,26.24,0.009188426
24/06/2011,26,-0.021309787
23/06/2011,26.56,0.002639021
22/06/2011,26.49,-0.012753361
21/06/2011,26.83,0.017672955
20/06/2011,26.36,0.01837724
17/06/2011,25.88,0.006590448
16/06/2011,25.71,0.008593803
15/06/2011,25.49,-0.024032164
14/06/2011,26.11,0.022855924
13/06/2011,25.52,-0.007417563
10/06/2011,25.71,-0.018115739
09/06/2011,26.18,-0.001145257
08/06/2011,26.21,-0.019645513
07/06/2011,26.73,0.016217591
06/06/2011,26.3,-0.011718146
03/06/2011,26.61,0.00188076
