Date,Close,PBI
13/08/2012,13.55,-0.002211575
10/08/2012,13.58,-0.00733679
09/08/2012,13.68,-0.018827493
08/08/2012,13.94,-0.021994501
07/08/2012,14.25,0.016985546
06/08/2012,14.01,0.010764367
03/08/2012,13.86,0.068683705
02/08/2012,12.94,-0.023674263
01/08/2012,13.25,-0.008267616
31/07/2012,13.36,0.009022618
30/07/2012,13.24,0.015988159
27/07/2012,13.03,-0.002299733
26/07/2012,13.06,-0.009146405
25/07/2012,13.18,-0.009063506
24/07/2012,13.3,-0.005249356
23/07/2012,13.37,-0.006708933
20/07/2012,13.46,-0.001484781
19/07/2012,13.48,0.002227999
18/07/2012,13.45,-0.011090687
17/07/2012,13.6,-0.023974995
16/07/2012,13.93,0.002155948
13/07/2012,13.9,0.00432589
12/07/2012,13.84,-0.034792292
11/07/2012,14.33,0.005598335
10/07/2012,14.25,0
09/07/2012,14.25,-0.015320634
06/07/2012,14.47,-0.002760526
05/07/2012,14.51,-0.006868159
03/07/2012,14.61,-0.005460764
02/07/2012,14.69,-0.018881208
29/06/2012,14.97,-0.005329793
28/06/2012,15.05,0.01675081
27/06/2012,14.8,0.023240964
26/06/2012,14.46,-0.000691324
25/06/2012,14.47,-0.029283672
22/06/2012,14.9,0.015556621
21/06/2012,14.67,-0.024908726
20/06/2012,15.04,0.010695289
19/06/2012,14.88,0.002018164
18/06/2012,14.85,-0.012713453
15/06/2012,15.04,0.02695581
14/06/2012,14.64,0.04184711
13/06/2012,14.04,-0.002844952
12/06/2012,14.08,0.001421464
11/06/2012,14.06,-0.015526071
08/06/2012,14.28,0.019802627
07/06/2012,14,-0.004276557
06/06/2012,14.06,0.046587755
05/06/2012,13.42,0.013503581
04/06/2012,13.24,-0.019447135
01/06/2012,13.5,-0.010316967
31/05/2012,13.64,0.016260521
30/05/2012,13.42,-0.043025229
29/05/2012,14.01,0.005726573
25/05/2012,13.93,0.007927969
24/05/2012,13.82,-0.001446132
23/05/2012,13.84,0.019701476
22/05/2012,13.57,-0.014630839
21/05/2012,13.77,0.061396525
18/05/2012,12.95,-0.027419844
17/05/2012,13.31,-0.01491452
16/05/2012,13.51,0.004451046
15/05/2012,13.45,-0.0570758
14/05/2012,14.24,-0.047317706
11/05/2012,14.93,-0.015947182
10/05/2012,15.17,-0.00525971
09/05/2012,15.25,-0.049258439
08/05/2012,16.02,-0.046945529
07/05/2012,16.79,-0.018294992
04/05/2012,17.1,-0.014514043
03/05/2012,17.35,0.008683123
02/05/2012,17.2,-0.032602258
01/05/2012,17.77,0.03668033
