Date,Close,DHI
27/06/2013,21.71,0.037067345
26/06/2013,20.92,0.000478126
25/06/2013,20.91,-0.000478126
24/06/2013,20.92,-0.008567401
21/06/2013,21.1,-0.009903406
20/06/2013,21.31,-0.095267519
19/06/2013,23.44,-0.039319159
18/06/2013,24.38,0.004934221
17/06/2013,24.26,0.015368942
14/06/2013,23.89,0.009674103
13/06/2013,23.66,0.050715093
12/06/2013,22.49,0.007587628
11/06/2013,22.32,-0.032616377
10/06/2013,23.06,-0.021450844
07/06/2013,23.56,0.012385381
06/06/2013,23.27,0.027005125
05/06/2013,22.65,-0.01185004
04/06/2013,22.92,-0.036834999
03/06/2013,23.78,-0.024097552
31/05/2013,24.36,-0.015478924
30/05/2013,24.74,0.008932256
29/05/2013,24.52,-0.0466127
28/05/2013,25.69,-0.002332816
24/05/2013,25.75,-0.010046452
23/05/2013,26.01,-0.004220225
22/05/2013,26.12,-0.007247791
21/05/2013,26.31,-0.016211477
20/05/2013,26.74,-0.018158735
17/05/2013,27.23,0.015917419
16/05/2013,26.8,-0.023235417
15/05/2013,27.43,-0.006178468
14/05/2013,27.6,0.009099244
13/05/2013,27.35,0.007339482
10/05/2013,27.15,0.012229169
09/05/2013,26.82,-0.005206408
08/05/2013,26.96,0.007819813
07/05/2013,26.75,0.00976717
06/05/2013,26.49,0.001511145
03/05/2013,26.45,0.001134859
02/05/2013,26.42,0.032310503
01/05/2013,25.58,-0.019357941
30/04/2013,26.08,-0.016730428
29/04/2013,26.52,-0.005265149
26/04/2013,26.66,0.083267456
25/04/2013,24.53,0.021010042
24/04/2013,24.02,0.019760996
23/04/2013,23.55,0.051852172
22/04/2013,22.36,0.017140699
19/04/2013,21.98,0.023010679
18/04/2013,21.48,-0.030263658
17/04/2013,22.14,-0.013904687
16/04/2013,22.45,0.024803977
15/04/2013,21.9,-0.067103721
12/04/2013,23.42,0.003850272
11/04/2013,23.33,0.007745306
10/04/2013,23.15,-0.005170197
09/04/2013,23.27,-0.008984018
08/04/2013,23.48,0.017182553
05/04/2013,23.08,0.008703275
04/04/2013,22.88,0.001749782
03/04/2013,22.84,-0.024649897
02/04/2013,23.41,-0.018620936
01/04/2013,23.85,-0.018692133
28/03/2013,24.3,-0.003696862
27/03/2013,24.39,0.007407441
26/03/2013,24.21,-0.011090687
25/03/2013,24.48,-0.009756175
22/03/2013,24.72,-0.006451635
21/03/2013,24.88,-0.021865312
20/03/2013,25.43,0.045041791
19/03/2013,24.31,0.002471171
18/03/2013,24.25,-0.00370447
15/03/2013,24.34,-0.007775771
14/03/2013,24.53,0.021010042
13/03/2013,24.02,0.016369725
12/03/2013,23.63,-0.013868682
11/03/2013,23.96,-0.004580479
08/03/2013,24.07,0.010440688
07/03/2013,23.82,0.004628664
06/03/2013,23.71,-0.003788681
05/03/2013,23.8,0.023810649
04/03/2013,23.24,0.031915277
01/03/2013,22.51,0.009372976
28/02/2013,22.3,-0.015573173
27/02/2013,22.65,0.017817843
26/02/2013,22.25,0.040353939
25/02/2013,21.37,-0.043046939
22/02/2013,22.31,0.006294985
21/02/2013,22.17,0.010884461
20/02/2013,21.93,-0.060168521
19/02/2013,23.29,-0.015761775
15/02/2013,23.66,-0.005059033
14/02/2013,23.78,-0.0021004
13/02/2013,23.83,-0.009189705
12/02/2013,24.05,0.048125105
11/02/2013,22.92,-0.00695655
08/02/2013,23.08,-0.003891897
07/02/2013,23.17,-0.011585626
06/02/2013,23.44,-0.011874609
05/02/2013,23.72,0.036929916
04/02/2013,22.86,-0.021208326
01/02/2013,23.35,-0.013188874
31/01/2013,23.66,0.025686344
30/01/2013,23.06,-0.032426049
29/01/2013,23.82,0.111349118
28/01/2013,21.31,-0.020896976
25/01/2013,21.76,0.001839927
24/01/2013,21.72,-0.004593485
23/01/2013,21.82,0.012451164
22/01/2013,21.55,0.001393081
18/01/2013,21.52,-0.000464576
17/01/2013,21.53,0.024924874
16/01/2013,21,-0.003802286
15/01/2013,21.08,0.009054148
14/01/2013,20.89,-0.002868071
11/01/2013,20.95,0.004305197
10/01/2013,20.86,-0.013806456
09/01/2013,21.15,0.020057979
