Date,Close,FTR
20/05/2013,4.32,-0.022884294
17/05/2013,4.42,0.004535155
16/05/2013,4.4,0.009132484
15/05/2013,4.36,0.016185324
14/05/2013,4.29,0.04043357
13/05/2013,4.12,-0.03106582
10/05/2013,4.25,0.028641576
09/05/2013,4.13,-0.01203384
08/05/2013,4.18,0.051545152
07/05/2013,3.97,-0.029778875
06/05/2013,4.09,0.014778594
03/05/2013,4.03,0.002484473
02/05/2013,4.02,-0.024571261
01/05/2013,4.12,-0.009661911
30/04/2013,4.16,0.004819286
29/04/2013,4.14,0.014598799
26/04/2013,4.08,-0.004889985
25/04/2013,4.1,0.014742282
24/04/2013,4.04,-0.002472189
23/04/2013,4.05,0
22/04/2013,4.05,0.004950505
19/04/2013,4.03,0.012484557
18/04/2013,3.98,-0.005012542
17/04/2013,4,-0.024692613
16/04/2013,4.1,0.004889985
15/04/2013,4.08,-0.03373814
12/04/2013,4.22,-0.002366865
11/04/2013,4.23,0
10/04/2013,4.23,0.009501259
09/04/2013,4.19,0.026603746
08/04/2013,4.08,-0.009756175
05/04/2013,4.12,0.002430135
04/04/2013,4.11,0.027128667
03/04/2013,4,0.017654935
02/04/2013,3.93,0.007662873
01/04/2013,3.9,-0.022814678
28/03/2013,3.99,0.043540808
27/03/2013,3.82,-0.028389003
26/03/2013,3.93,0.015384919
25/03/2013,3.87,-0.028027312
22/03/2013,3.98,0.002515725
21/03/2013,3.97,0.010126669
20/03/2013,3.93,-0.010126669
19/03/2013,3.97,-0.022416879
18/03/2013,4.06,-0.007361996
15/03/2013,4.09,-0.002442004
14/03/2013,4.1,-0.014528101
13/03/2013,4.16,0.007237667
12/03/2013,4.13,0.017094433
11/03/2013,4.06,-0.002460026
08/03/2013,4.07,-0.004901971
07/03/2013,4.09,0.012300278
06/03/2013,4.04,-0.014742282
05/03/2013,4.1,-0.024097552
04/03/2013,4.2,0.002383791
01/03/2013,4.19,0.012004946
28/02/2013,4.14,0.004842624
27/02/2013,4.12,0.012210164
26/02/2013,4.07,0.007398307
25/02/2013,4.04,-0.012300278
22/02/2013,4.09,0.017263067
21/02/2013,4.02,0
20/02/2013,4.02,-0.036634133
19/02/2013,4.17,0.016929062
15/02/2013,4.1,-0.033576296
14/02/2013,4.24,-0.059514128
13/02/2013,4.5,-0.032789823
12/02/2013,4.65,0.017354015
11/02/2013,4.57,-0.019502243
08/02/2013,4.66,0.021692825
07/02/2013,4.56,0.01102547
06/02/2013,4.51,-0.004424786
05/02/2013,4.53,0.013333531
04/02/2013,4.47,0.015783868
01/02/2013,4.4,-0.037908664
31/01/2013,4.57,0.019890158
30/01/2013,4.48,-0.019890158
29/01/2013,4.57,0.013216051
28/01/2013,4.51,0.011148387
25/01/2013,4.46,-0.00447428
24/01/2013,4.48,-0.015504187
23/01/2013,4.55,-0.006571765
22/01/2013,4.58,0.022075952
18/01/2013,4.48,0.018018506
17/01/2013,4.4,0.006841532
16/01/2013,4.37,-0.00911168
15/01/2013,4.41,0.004545462
14/01/2013,4.39,0.009153382
11/01/2013,4.35,0.002301497
10/01/2013,4.34,-0.002301497
09/01/2013,4.35,0.004608303
08/01/2013,4.33,-0.029581224
07/01/2013,4.46,0.022676709
04/01/2013,4.36,-0.002290952
03/01/2013,4.37,0.002290952
02/01/2013,4.36,0.018519048
31/12/2012,4.28,0.021252276
28/12/2012,4.19,0
27/12/2012,4.19,0.004784698
26/12/2012,4.17,-0.016647233
24/12/2012,4.24,-0.00938974
21/12/2012,4.28,-0.034446574
20/12/2012,4.43,-0.011223462
19/12/2012,4.48,-0.032933822
18/12/2012,4.63,0.002162163
17/12/2012,4.62,0.004338402
14/12/2012,4.6,-0.023631605
13/12/2012,4.71,-0.02515856
12/12/2012,4.83,0.012500163
11/12/2012,4.77,0.012658397
10/12/2012,4.71,0
07/12/2012,4.71,0.006389798
06/12/2012,4.68,-0.010627093
05/12/2012,4.73,-0.012605209
04/12/2012,4.79,-0.002085506
