Date,Close,CF
02/05/2013,183.96,0.002830704
01/05/2013,183.44,-0.016597218
30/04/2013,186.51,-0.012203397
29/04/2013,188.8,0.01628657
26/04/2013,185.75,-0.028866014
25/04/2013,191.19,0.021677913
24/04/2013,187.09,0.041860358
23/04/2013,179.42,0.007159668
22/04/2013,178.14,-0.005653686
19/04/2013,179.15,0.006102872
18/04/2013,178.06,0.02981212
17/04/2013,172.83,-0.023784781
16/04/2013,176.99,0.008511173
15/04/2013,175.49,-0.037742438
12/04/2013,182.24,-0.033720455
11/04/2013,188.49,-0.013961189
10/04/2013,191.14,0.000837433
09/04/2013,190.98,0.00677755
08/04/2013,189.69,-0.001475004
05/04/2013,189.97,-0.00052626
04/04/2013,190.07,0.014040338
03/04/2013,187.42,0.006960461
02/04/2013,186.12,-0.020737703
01/04/2013,190.02,-0.001840217
28/03/2013,190.37,-0.007275043
27/03/2013,191.76,-0.008153983
26/03/2013,193.33,0.009458547
25/03/2013,191.51,-0.009044661
22/03/2013,193.25,-0.003151562
21/03/2013,193.86,-0.013526182
20/03/2013,196.5,0.00045812
19/03/2013,196.41,-0.028409861
18/03/2013,202.07,-0.008966461
15/03/2013,203.89,0.001865489
14/03/2013,203.51,-0.001963576
13/03/2013,203.91,-0.013686501
12/03/2013,206.72,-0.006893753
11/03/2013,208.15,0.00486408
08/03/2013,207.14,0.02137188
07/03/2013,202.76,0.003656311
06/03/2013,202.02,0.002428449
05/03/2013,201.53,0.005523089
04/03/2013,200.42,-0.005374217
01/03/2013,201.5,0.003330602
28/02/2013,200.83,0.009807434
27/02/2013,198.87,0.018472994
26/02/2013,195.23,-0.010344305
25/02/2013,197.26,-0.021365977
22/02/2013,201.52,-0.011888166
21/02/2013,203.93,-0.015280103
20/02/2013,207.07,-0.053866405
19/02/2013,218.53,0.008547846
15/02/2013,216.67,-0.005477196
14/02/2013,217.86,-0.000137694
13/02/2013,217.89,-0.01118146
12/02/2013,220.34,-0.02368036
11/02/2013,225.62,-0.002390545
08/02/2013,226.16,0.003676719
07/02/2013,225.33,-0.00261496
06/02/2013,225.92,-0.007057192
05/02/2013,227.52,-0.006090767
04/02/2013,228.91,-0.004576468
01/02/2013,229.96,0.003441295
31/01/2013,229.17,-0.005743391
30/01/2013,230.49,0.00613619
29/01/2013,229.08,0.003892672
28/01/2013,228.19,-0.009117345
25/01/2013,230.28,0.016683474
24/01/2013,226.47,0.011949059
23/01/2013,223.78,0.000446967
22/01/2013,223.68,0.020870794
18/01/2013,219.06,0.00760669
17/01/2013,217.4,-0.002067778
16/01/2013,217.85,0.003863317
15/01/2013,217.01,-0.007711766
14/01/2013,218.69,0.002380626
11/01/2013,218.17,0.003213665
10/01/2013,217.47,0.014917353
09/01/2013,214.25,0.034376456
08/01/2013,207.01,-0.014768909
07/01/2013,210.09,-0.003753241
04/01/2013,210.88,0.022151742
03/01/2013,206.26,-0.004740033
02/01/2013,207.24,0.019883696
31/12/2012,203.16,0.017478101
