Date,Close,TWC
10/04/2013,94.23,-0.004764182
09/04/2013,94.68,-0.013532858
08/04/2013,95.97,-0.016534426
05/04/2013,97.57,0.001025431
04/04/2013,97.47,0.008758879
03/04/2013,96.62,-0.003409623
02/04/2013,96.95,0.00735031
01/04/2013,96.24,0.001872075
28/03/2013,96.06,0.000520644
27/03/2013,96.01,-0.000312419
26/03/2013,96.04,0.007000708
25/03/2013,95.37,-0.004394232
22/03/2013,95.79,0.020673661
21/03/2013,93.83,-0.018897369
20/03/2013,95.62,0.015598967
19/03/2013,94.14,0.007570543
18/03/2013,93.43,0.012927036
15/03/2013,92.23,0.004346416
14/03/2013,91.83,0.00152572
13/03/2013,91.69,0.001200415
12/03/2013,91.58,0.008884073
11/03/2013,90.77,0.011077991
08/03/2013,89.77,0.005025417
07/03/2013,89.32,0.000335927
06/03/2013,89.29,-0.004023701
05/03/2013,89.65,0.00851355
04/03/2013,88.89,0.002252507
01/03/2013,88.69,0.026275215
28/02/2013,86.39,-0.018692133
27/02/2013,88.02,0.017882182
26/02/2013,86.46,-0.001733403
25/02/2013,86.61,0.002543354
22/02/2013,86.39,0.019166182
21/02/2013,84.75,-0.019744785
20/02/2013,86.44,-0.006227676
19/02/2013,86.98,0.000459982
15/02/2013,86.94,0.008084118
14/02/2013,86.24,-0.006011579
13/02/2013,86.76,-0.012143579
12/02/2013,87.82,-0.001365499
11/02/2013,87.94,-0.010294791
08/02/2013,88.85,0.012001956
07/02/2013,87.79,-0.00341142
06/02/2013,88.09,-0.001361316
05/02/2013,88.21,-0.010375643
04/02/2013,89.13,-0.012709201
01/02/2013,90.27,0.010355863
31/01/2013,89.34,-0.119696484
30/01/2013,100.7,0.003481724
29/01/2013,100.35,-0.004771855
28/01/2013,100.83,0.002283673
25/01/2013,100.6,0.002189273
24/01/2013,100.38,-0.000398406
23/01/2013,100.42,9.95867E-05
22/01/2013,100.41,-0.001293854
18/01/2013,100.54,0.010197029
17/01/2013,99.52,0.006755079
16/01/2013,98.85,0.002633713
15/01/2013,98.59,0.002742371
14/01/2013,98.32,0.004485227
11/01/2013,97.88,-0.000714906
10/01/2013,97.95,0.003989571
09/01/2013,97.56,0.012376396
08/01/2013,96.36,-0.009296627
07/01/2013,97.26,-0.005025394
04/01/2013,97.75,-0.0014312
03/01/2013,97.89,-0.012789456
02/01/2013,99.15,0.019966029
31/12/2012,97.19,0.02089799
