Date,Close,DLPH
15/03/2013,43.28,0.000693401
14/03/2013,43.25,0.001156738
13/03/2013,43.2,0.003942948
12/03/2013,43.03,-0.003942948
11/03/2013,43.2,0.00464038
08/03/2013,43,0.006064866
07/03/2013,42.74,0.008930729
06/03/2013,42.36,-0.003299555
05/03/2013,42.5,0.005426461
04/03/2013,42.27,0.001657394
01/03/2013,42.2,0.008328424
28/02/2013,41.85,0.001195457
27/02/2013,41.8,0.05078977
26/02/2013,39.73,0.041105196
25/02/2013,38.13,-0.00627453
22/02/2013,38.37,0.012060975
21/02/2013,37.91,-0.022947552
20/02/2013,38.79,-0.0246989
19/02/2013,39.76,-0.005517947
15/02/2013,39.98,0.000250156
14/02/2013,39.97,0.000500501
13/02/2013,39.95,0.003510535
12/02/2013,39.81,0.015696525
11/02/2013,39.19,0.017244025
08/02/2013,38.52,0.005466628
07/02/2013,38.31,-0.007541318
06/02/2013,38.6,-0.018989536
05/02/2013,39.34,0.013563868
04/02/2013,38.81,-0.010508875
01/02/2013,39.22,0.014381347
31/01/2013,38.66,-0.005674506
30/01/2013,38.88,-0.018096582
29/01/2013,39.59,-0.005290351
28/01/2013,39.8,0.013406044
25/01/2013,39.27,0.010238124
24/01/2013,38.87,0.00567597
23/01/2013,38.65,-0.005161302
22/01/2013,38.85,0.000772499
18/01/2013,38.82,-0.004626068
17/01/2013,39,0.017589693
16/01/2013,38.32,0.000783188
15/01/2013,38.29,0.017652942
14/01/2013,37.62,-0.012415957
11/01/2013,38.09,-0.018726165
10/01/2013,38.81,0.008799229
09/01/2013,38.47,0.007566898
08/01/2013,38.18,-0.000261883
07/01/2013,38.19,-0.008344247
04/01/2013,38.51,0.00416342
03/01/2013,38.35,-0.013725452
02/01/2013,38.88,0.016336419
31/12/2012,38.25,0.013953103
28/12/2012,37.72,-0.010810916
27/12/2012,38.13,0.024155123
26/12/2012,37.22,0.025579626
24/12/2012,36.28,0.00386634
21/12/2012,36.14,0.002770852
20/12/2012,36.04,0.010880286
19/12/2012,35.65,0.034240149
18/12/2012,34.45,0.002324907
17/12/2012,34.37,0.003205598
14/12/2012,34.26,-0.002041115
13/12/2012,34.33,-0.001746217
12/12/2012,34.39,0.004663372
11/12/2012,34.23,0.00527242
10/12/2012,34.05,0.00235225
07/12/2012,33.97,0.001178203
06/12/2012,33.93,0.001769912
05/12/2012,33.87,-0.000885348
04/12/2012,33.9,0.011869576
