Date,Close,FLR
31/10/2012,55.85,0.009715802
26/10/2012,55.31,0.001809628
25/10/2012,55.21,-0.001267083
24/10/2012,55.28,-0.00126548
23/10/2012,55.35,-0.022862221
22/10/2012,56.63,-0.009315473
19/10/2012,57.16,-0.032868828
18/10/2012,59.07,0.022946212
17/10/2012,57.73,-0.003803601
16/10/2012,57.95,0.010407726
15/10/2012,57.35,0.016881006
12/10/2012,56.39,-0.008476123
11/10/2012,56.87,0.013453912
10/10/2012,56.11,-0.004445637
09/10/2012,56.36,-0.002303944
08/10/2012,56.49,-0.012490267
05/10/2012,57.2,-0.001223028
04/10/2012,57.27,0.015307768
03/10/2012,56.4,-0.008474627
02/10/2012,56.88,0.002640614
01/10/2012,56.73,0.007963939
28/09/2012,56.28,-0.005846416
27/09/2012,56.61,0.010833957
26/09/2012,56,-0.012246138
25/09/2012,56.69,-0.035012242
24/09/2012,58.71,-0.008311472
21/09/2012,59.2,-0.002362073
20/09/2012,59.34,-0.005880887
19/09/2012,59.69,-0.001339361
18/09/2012,59.77,0.002680518
17/09/2012,59.61,-0.009018097
14/09/2012,60.15,0.029868077
13/09/2012,58.38,0.024448552
12/09/2012,56.97,-0.000351
11/09/2012,56.99,0.020027253
10/09/2012,55.86,0.020071192
07/09/2012,54.75,0.027216342
06/09/2012,53.28,0.023356231
05/09/2012,52.05,0.002886005
04/09/2012,51.9,0.007736983
31/08/2012,51.5,0.003696143
30/08/2012,51.31,-0.01719683
29/08/2012,52.2,-0.006492289
28/08/2012,52.54,-0.003420106
27/08/2012,52.72,-0.006616907
24/08/2012,53.07,-0.002634552
23/08/2012,53.21,-0.001502348
22/08/2012,53.29,-0.012308995
21/08/2012,53.95,-0.00665068
20/08/2012,54.31,0.000921065
17/08/2012,54.26,-0.004963702
16/08/2012,54.53,0.017575145
15/08/2012,53.58,0.005614838
14/08/2012,53.28,-0.006174592
13/08/2012,53.61,-0.000932227
10/08/2012,53.66,-0.012960744
09/08/2012,54.36,0.004240028
08/08/2012,54.13,0.01545223
07/08/2012,53.3,0.006588259
06/08/2012,52.95,0.014265577
03/08/2012,52.2,0.048675228
02/08/2012,49.72,-0.006815019
01/08/2012,50.06,0.009634759
31/07/2012,49.58,-0.0100342
30/07/2012,50.08,-0.009934514
27/07/2012,50.58,0.027459386
26/07/2012,49.21,0.037685619
25/07/2012,47.39,0.00762554
24/07/2012,47.03,-0.014145702
23/07/2012,47.7,-0.021363459
20/07/2012,48.73,-0.010005188
19/07/2012,49.22,0.002644697
18/07/2012,49.09,0.026838935
17/07/2012,47.79,0.01242252
16/07/2012,47.2,-0.001270379
13/07/2012,47.26,0.025068265
12/07/2012,46.09,-0.002383791
11/07/2012,46.2,-0.014398014
10/07/2012,46.87,-0.027981209
09/07/2012,48.2,-0.017685018
06/07/2012,49.06,-0.018378787
05/07/2012,49.97,-0.0002001
03/07/2012,49.98,0.016339244
02/07/2012,49.17,-0.00345143
29/06/2012,49.34,0.020475736
28/06/2012,48.34,0.0247133
27/06/2012,47.16,0.03583375
26/06/2012,45.5,0.008386719
25/06/2012,45.12,-0.021053409
22/06/2012,46.08,-0.01400734
21/06/2012,46.73,-0.040059881
20/06/2012,48.64,-0.008801612
19/06/2012,49.07,0.022255194
18/06/2012,47.99,0.010684086
15/06/2012,47.48,0.007398829
14/06/2012,47.13,0.004678869
13/06/2012,46.91,-0.019631237
12/06/2012,47.84,0.016013827
11/06/2012,47.08,-0.030333881
08/06/2012,48.53,-0.013101518
07/06/2012,49.17,0.005301807
06/06/2012,48.91,0.031148698
05/06/2012,47.41,0.025420572
04/06/2012,46.22,-0.005824631
01/06/2012,46.49,-0.00835391
31/05/2012,46.88,-0.027975323
30/05/2012,48.21,-0.046604868
29/05/2012,50.51,0.016166403
25/05/2012,49.7,-0.007017573
24/05/2012,50.05,-0.008554712
23/05/2012,50.48,0
22/05/2012,50.48,-0.006909513
21/05/2012,50.83,0.024697531
18/05/2012,49.59,-0.012225826
17/05/2012,50.2,-0.022065513
16/05/2012,51.32,-0.00699032
15/05/2012,51.68,-0.017835356
14/05/2012,52.61,-0.024038716
11/05/2012,53.89,-0.013088951
10/05/2012,54.6,0.003302149
09/05/2012,54.42,-0.01423122
08/05/2012,55.2,-0.021683494
07/05/2012,56.41,-0.009175995
04/05/2012,56.93,0.006874091
03/05/2012,56.54,-0.021867398
02/05/2012,57.79,-0.003282373
01/05/2012,57.98,0.003974774
30/04/2012,57.75,-0.017508171
27/04/2012,58.77,0.008715769
26/04/2012,58.26,-0.001543607
25/04/2012,58.35,0.015022298
24/04/2012,57.48,0.002089865
23/04/2012,57.36,-0.018653391
20/04/2012,58.44,0.008765202
19/04/2012,57.93,-0.016605706
18/04/2012,58.9,-0.01449545
17/04/2012,59.76,0.025077559
16/04/2012,58.28,0.003093317
13/04/2012,58.1,-0.022633486
12/04/2012,59.43,0.027291477
11/04/2012,57.83,0.009032544
10/04/2012,57.31,-0.026346767
09/04/2012,58.84,-0.018188443
05/04/2012,59.92,-0.011449557
04/04/2012,60.61,-0.006577889
03/04/2012,61.01,-0.002619088
02/04/2012,61.17,0.018645866
30/03/2012,60.04,-0.000333056
29/03/2012,60.06,0.000166514
28/03/2012,60.05,-0.031472848
27/03/2012,61.97,-0.008676147
26/03/2012,62.51,0.028394866
23/03/2012,60.76,0.01994747
22/03/2012,59.56,-0.013011026
21/03/2012,60.34,-0.000662691
20/03/2012,60.38,-0.022597981
19/03/2012,61.76,-0.014786512
16/03/2012,62.68,0.005278745
15/03/2012,62.35,-0.000160372
14/03/2012,62.36,-0.002242513
13/03/2012,62.5,0.033846381
12/03/2012,60.42,-0.010373025
09/03/2012,61.05,0.015849762
08/03/2012,60.09,0.020172141
07/03/2012,58.89,0.009211938
06/03/2012,58.35,-0.047524419
05/03/2012,61.19,-0.008138066
02/03/2012,61.69,-0.002428561
