Date,Close,CMS
07/05/2013,29.28,0.010643877
06/05/2013,28.97,-0.014393669
03/05/2013,29.39,0.002043597
02/05/2013,29.33,-0.004083027
01/05/2013,29.45,-0.016501469
30/04/2013,29.94,0.006366247
29/04/2013,29.75,0.01081457
26/04/2013,29.43,0.006476927
25/04/2013,29.24,0.002054092
24/04/2013,29.18,0.006187713
23/04/2013,29,-0.002066828
22/04/2013,29.06,-0.001031814
19/04/2013,29.09,0.01489205
18/04/2013,28.66,0.004546257
17/04/2013,28.53,-0.005592465
16/04/2013,28.69,0.014040245
15/04/2013,28.29,-0.015433488
12/04/2013,28.73,0.009793712
11/04/2013,28.45,-0.000702741
10/04/2013,28.47,0.007757444
09/04/2013,28.25,-0.005647738
08/04/2013,28.41,0.007064671
05/04/2013,28.21,0.002484473
04/04/2013,28.14,0.012515808
03/04/2013,27.79,-0.002156723
02/04/2013,27.85,0.001796946
01/04/2013,27.8,-0.005023333
28/03/2013,27.94,0.017693186
27/03/2013,27.45,0.003649639
26/03/2013,27.35,0.005131976
25/03/2013,27.21,-0.004400447
22/03/2013,27.33,0.007344873
21/03/2013,27.13,-0.00514707
20/03/2013,27.27,0.006622541
19/03/2013,27.09,-0.004052317
18/03/2013,27.2,-0.00878483
15/03/2013,27.44,0.003285274
14/03/2013,27.35,0.008813865
13/03/2013,27.11,0.005177526
12/03/2013,26.97,-0.007756272
11/03/2013,27.18,0.003685961
08/03/2013,27.08,0.008529627
07/03/2013,26.85,-0.001488649
06/03/2013,26.89,-0.004082396
05/03/2013,27,0.00445435
04/03/2013,26.88,0.016126357
01/03/2013,26.45,-0.006030927
28/02/2013,26.61,0.008680938
27/02/2013,26.38,0.007610387
26/02/2013,26.18,0.001911681
25/02/2013,26.13,-0.010279931
22/02/2013,26.4,0.010662706
21/02/2013,26.12,0.002683536
20/02/2013,26.05,-0.001534331
19/02/2013,26.09,0.012341074
15/02/2013,25.77,0.000776398
14/02/2013,25.75,-0.004262746
13/02/2013,25.86,0.000773694
12/02/2013,25.84,0.006600684
11/02/2013,25.67,0.000389636
08/02/2013,25.66,0.000389788
07/02/2013,25.65,-0.000779423
06/02/2013,25.67,-0.007761001
05/02/2013,25.87,0.004261095
04/02/2013,25.76,-0.002713706
01/02/2013,25.83,0.005045615
31/01/2013,25.7,0.001557633
30/01/2013,25.66,0.004296043
29/01/2013,25.55,0.0114152
28/01/2013,25.26,0.001188354
25/01/2013,25.23,-0.001979807
24/01/2013,25.28,0.003963541
23/01/2013,25.18,-0.008305367
22/01/2013,25.39,0.011886035
18/01/2013,25.09,0.007200031
17/01/2013,24.91,0.005636086
16/01/2013,24.77,-0.006839697
15/01/2013,24.94,0.000802246
14/01/2013,24.92,0.001204578
11/01/2013,24.89,-0.002407706
10/01/2013,24.95,0.005627024
09/01/2013,24.81,0.00201735
08/01/2013,24.76,-0.001614205
07/01/2013,24.8,-0.012024193
04/01/2013,25.1,0.008803578
03/01/2013,24.88,0.00281747
02/01/2013,24.81,0.017483674
31/12/2012,24.38,0.013628128
28/12/2012,24.05,-0.007869165
27/12/2012,24.24,-0.004938282
26/12/2012,24.36,-0.006138755
24/12/2012,24.51,-0.001223242
21/12/2012,24.54,-0.003254681
20/12/2012,24.62,0.002440017
19/12/2012,24.56,-0.000814001
18/12/2012,24.58,0.002036246
17/12/2012,24.53,0.020593809
14/12/2012,24.03,-0.016099419
13/12/2012,24.42,-0.001636662
12/12/2012,24.46,-0.004893974
11/12/2012,24.58,-0.004870139
10/12/2012,24.7,0.001215313
07/12/2012,24.67,-0.000810373
06/12/2012,24.69,0.002433091
05/12/2012,24.63,0.010202088
04/12/2012,24.38,0.003286774
03/12/2012,24.3,-0.005335535
30/11/2012,24.43,0.00822035
29/11/2012,24.23,0.006209914
28/11/2012,24.08,0.005413297
27/11/2012,23.95,0.005023033
26/11/2012,23.83,0.013094168
23/11/2012,23.52,0.00042526
21/11/2012,23.51,0.000851064
20/11/2012,23.49,0.009839652
19/11/2012,23.26,0.001721171
16/11/2012,23.22,0.018692133
15/11/2012,22.79,-0.005251653
14/11/2012,22.91,-0.003050776
13/11/2012,22.98,0.008302429
12/11/2012,22.79,-0.009172373
09/11/2012,23,-0.003472226
08/11/2012,23.08,-0.003028339
07/11/2012,23.15,-0.021368334
06/11/2012,23.65,0.002540222
05/11/2012,23.59,-0.016397256
02/11/2012,23.98,-0.009132484
01/11/2012,24.2,-0.004946424
31/10/2012,24.32,0.004120319
26/10/2012,24.22,0.000412967
25/10/2012,24.21,0.013724482
24/10/2012,23.88,-0.00376176
23/10/2012,23.97,-0.009549585
22/10/2012,24.2,-0.004123717
19/10/2012,24.3,-0.000822707
18/10/2012,24.32,0.006186862
17/10/2012,24.17,0.013747353
16/10/2012,23.84,0.001259182
15/10/2012,23.81,0.005897237
12/10/2012,23.67,-0.008414017
11/10/2012,23.87,0.00588237
10/10/2012,23.73,-0.005463346
09/10/2012,23.86,0.001258126
08/10/2012,23.83,0.000419727
05/10/2012,23.82,-0.001258653
04/10/2012,23.85,0.008844025
03/10/2012,23.64,0.002965476
02/10/2012,23.57,0.005957464
01/10/2012,23.43,-0.005108568
28/09/2012,23.55,0.007244864
27/09/2012,23.38,-0.008517939
26/09/2012,23.58,0.009373737
25/09/2012,23.36,-0.002992095
24/09/2012,23.43,0.012454531
21/09/2012,23.14,0.005199318
20/09/2012,23.02,-0.001302366
19/09/2012,23.05,-0.001733854
18/09/2012,23.09,0.006517512
17/09/2012,22.94,-0.01083904
14/09/2012,23.19,-0.012427844
13/09/2012,23.48,0.011565775
12/09/2012,23.21,-0.003011403
11/09/2012,23.28,-0.004286333
10/09/2012,23.38,0.001712329
07/09/2012,23.34,-0.002567396
06/09/2012,23.4,0.010741242
05/09/2012,23.15,-0.004310352
04/09/2012,23.25,0.00777206
31/08/2012,23.07,0.00565096
30/08/2012,22.94,-0.004783658
29/08/2012,23.05,0.003476753
28/08/2012,22.97,0.002179125
27/08/2012,22.92,0.002621233
24/08/2012,22.86,0.007023734
23/08/2012,22.7,-0.014432789
22/08/2012,23.03,-0.00390033
21/08/2012,23.12,-0.012465238
20/08/2012,23.41,0.001282325
17/08/2012,23.38,-0.002136296
16/08/2012,23.43,-0.002983169
15/08/2012,23.5,-0.009318153
14/08/2012,23.72,-0.00168492
13/08/2012,23.76,-0.005456467
10/08/2012,23.89,0.007141387
09/08/2012,23.72,-0.007141387
08/08/2012,23.89,0.000418673
07/08/2012,23.88,-0.012070906
06/08/2012,24.17,-0.00082713
03/08/2012,24.19,0.010806423
02/08/2012,23.93,-0.009979293
01/08/2012,24.17,-0.020070303
31/07/2012,24.66,-0.0060643
30/07/2012,24.81,0.000403145
27/07/2012,24.8,0.010946795
26/07/2012,24.53,0.020177749
25/07/2012,24.04,-0.003322262
24/07/2012,24.12,-0.01113184
23/07/2012,24.39,-0.006131227
20/07/2012,24.54,0.004492554
19/07/2012,24.43,-0.003269312
18/07/2012,24.51,0.003678729
17/07/2012,24.42,0.005749502
16/07/2012,24.28,-0.001646091
13/07/2012,24.32,0.021193397
12/07/2012,23.81,0.00420876
11/07/2012,23.71,0.000421852
10/07/2012,23.7,0.003804697
09/07/2012,23.61,-0.002960459
06/07/2012,23.68,0.002960459
05/07/2012,23.61,-0.001269841
03/07/2012,23.64,0.002117299
02/07/2012,23.59,0.003822472
29/06/2012,23.5,0.007260335
28/06/2012,23.33,-0.000428541
27/06/2012,23.34,0.007741974
26/06/2012,23.16,0.001728609
25/06/2012,23.12,-0.005176888
22/06/2012,23.24,-0.001290045
21/06/2012,23.27,-0.009835444
20/06/2012,23.5,-0.010582109
19/06/2012,23.75,-0.00503991
18/06/2012,23.87,0.005461051
15/06/2012,23.74,0.003375531
14/06/2012,23.66,0.007636864
13/06/2012,23.48,0.002558637
12/06/2012,23.42,-0.002558637
11/06/2012,23.48,-0.003401364
08/06/2012,23.56,0.00809721
07/06/2012,23.37,0.003858526
06/06/2012,23.28,0.000859476
05/06/2012,23.26,0.00690253
04/06/2012,23.1,0.001299545
01/06/2012,23.07,-0.009920288
31/05/2012,23.3,0.014264344
30/05/2012,22.97,-0.013405606
29/05/2012,23.28,0.006896579
25/05/2012,23.12,0.002164972
24/05/2012,23.07,0.007832938
23/05/2012,22.89,-0.006965635
22/05/2012,23.05,0.010028425
21/05/2012,22.82,0.006153866
18/05/2012,22.68,-0.000881446
17/05/2012,22.7,-0.003518034
16/05/2012,22.78,0.011923303
15/05/2012,22.51,-0.011044954
14/05/2012,22.76,-0.003508776
11/05/2012,22.84,-0.002623526
10/05/2012,22.9,0.018955824
09/05/2012,22.47,-0.006653384
08/05/2012,22.62,0.00798939
07/05/2012,22.44,-0.001336006
04/05/2012,22.47,-0.005326244
03/05/2012,22.59,-0.000884956
02/05/2012,22.61,-0.027482646
