Date,Close,ETN
02/08/2012,43.13,-0.011526176
01/08/2012,43.63,-0.004801656
31/07/2012,43.84,-0.002050815
30/07/2012,43.93,-0.002727894
27/07/2012,44.05,0.020411212
26/07/2012,43.16,0.02581697
25/07/2012,42.06,0.025525104
24/07/2012,41,0.010543189
23/07/2012,40.57,0.037929952
20/07/2012,39.06,-0.011960952
19/07/2012,39.53,0.010426032
18/07/2012,39.12,0.019357941
17/07/2012,38.37,0.012588679
16/07/2012,37.89,-0.005264555
13/07/2012,38.09,0.026065305
12/07/2012,37.11,0.001888065
11/07/2012,37.04,-0.018987066
10/07/2012,37.75,-0.037436137
09/07/2012,39.19,-0.00787906
06/07/2012,39.5,-0.019057748
05/07/2012,40.26,-0.00569661
03/07/2012,40.49,0.032123214
02/07/2012,39.21,-0.010654591
29/06/2012,39.63,0.05577895
28/06/2012,37.48,-0.002398402
27/06/2012,37.57,0.004267811
26/06/2012,37.41,0.008590657
25/06/2012,37.09,-0.031057573
22/06/2012,38.26,0.012625102
21/06/2012,37.78,-0.037661898
20/06/2012,39.23,-0.016934564
19/06/2012,39.9,0.011088823
18/06/2012,39.46,-0.009583932
15/06/2012,39.84,0.009077218
14/06/2012,39.48,0.005078731
13/06/2012,39.28,-0.034529325
12/06/2012,40.66,0.014117882
11/06/2012,40.09,-0.028281732
08/06/2012,41.24,0.002184732
07/06/2012,41.15,-0.004606627
06/06/2012,41.34,0.030703628
05/06/2012,40.09,0.02219511
04/06/2012,39.21,-0.025929709
01/06/2012,40.24,-0.058400187
31/05/2012,42.66,-0.015814283
30/05/2012,43.34,-0.009872655
29/05/2012,43.77,0.010796016
25/05/2012,43.3,-0.004608303
24/05/2012,43.5,0.013656039
23/05/2012,42.91,0.005608802
22/05/2012,42.67,0.013685914
21/05/2012,42.09,-0.007338179
18/05/2012,42.4,-0.001649582
17/05/2012,42.47,-0.027863423
16/05/2012,43.67,-0.009571632
15/05/2012,44.09,-0.002944176
14/05/2012,44.22,-0.011020015
11/05/2012,44.71,-0.004463297
10/05/2012,44.91,-0.00355635
09/05/2012,45.07,-0.009715245
08/05/2012,45.51,-0.001975634
07/05/2012,45.6,0.005056623
04/05/2012,45.37,-0.02481625
03/05/2012,46.51,-0.023795472
02/05/2012,47.63,-0.006695987
01/05/2012,47.95,-0.004785196
30/04/2012,48.18,-0.018303853
27/04/2012,49.07,0.002039984
26/04/2012,48.97,0.003887473
25/04/2012,48.78,0.006581677
24/04/2012,48.46,0.022116487
23/04/2012,47.4,-0.000843526
20/04/2012,47.44,0.010808625
19/04/2012,46.93,-0.011230121
18/04/2012,47.46,-0.00294551
17/04/2012,47.6,0.018874487
16/04/2012,46.71,-0.003419537
13/04/2012,46.87,-0.017972785
12/04/2012,47.72,0.033236975
11/04/2012,46.16,-0.006262843
10/04/2012,46.45,-0.018556574
09/04/2012,47.32,-0.014267972
05/04/2012,48,-0.01015658
04/04/2012,48.49,-0.018390383
03/04/2012,49.39,-0.014073413
02/04/2012,50.09,0.005204175
30/03/2012,49.83,0.013740366
29/03/2012,49.15,-0.003250054
28/03/2012,49.31,-0.01629323
27/03/2012,50.12,-0.002789402
26/03/2012,50.26,0.019285451
23/03/2012,49.3,0.012861257
22/03/2012,48.67,-0.025559201
21/03/2012,49.93,-0.000400481
20/03/2012,49.95,-0.018054255
19/03/2012,50.86,-0.003140953
16/03/2012,51.02,0.007278482
15/03/2012,50.65,0.005543471
14/03/2012,50.37,0.002783302
13/03/2012,50.23,0.032577489
12/03/2012,48.62,-0.00798939
09/03/2012,49.01,-0.00549396
08/03/2012,49.28,0.010813122
07/03/2012,48.75,0.001026167
06/03/2012,48.7,-0.04064128
05/03/2012,50.72,-0.010785476
02/03/2012,51.27,-0.018168262
01/03/2012,52.21,0.000383142
29/02/2012,52.19,-0.006112722
28/02/2012,52.51,0.006304348
27/02/2012,52.18,0.008274848
24/02/2012,51.75,-0.002316156
23/02/2012,51.87,-0.005575329
22/02/2012,52.16,0.004226711
21/02/2012,51.94,0.021799228
