Date,Close,STX
14/09/2012,30.48,0.00526317
13/09/2012,30.32,0.010610179
12/09/2012,30,-0.003659961
11/09/2012,30.11,0.00800271
10/09/2012,29.87,-0.024145377
07/09/2012,30.6,-0.035316672
06/09/2012,31.7,-0.02584606
05/09/2012,32.53,0.004004318
04/09/2012,32.4,0.012110069
31/08/2012,32.01,-0.006228609
30/08/2012,32.21,-0.04195144
29/08/2012,33.59,-0.00237883
28/08/2012,33.67,-0.005331766
27/08/2012,33.85,-0.006184676
24/08/2012,34.06,0.010922618
23/08/2012,33.69,-0.042992389
22/08/2012,35.17,0.012877557
21/08/2012,34.72,-0.010315278
20/08/2012,35.08,-0.016678832
17/08/2012,35.67,0.02987845
16/08/2012,34.62,0.014840953
15/08/2012,34.11,0.001760564
14/08/2012,34.05,-0.004395611
13/08/2012,34.2,0.000584966
10/08/2012,34.18,0.032409556
09/08/2012,33.09,0.013386266
08/08/2012,32.65,0.001839363
07/08/2012,32.59,0.021399483
06/08/2012,31.9,0.030556165
03/08/2012,30.94,0.032186686
02/08/2012,29.96,-0.00897165
01/08/2012,30.23,0.006970983
31/07/2012,30.02,-0.013565138
30/07/2012,30.43,0.013898304
27/07/2012,30.01,-0.001664725
26/07/2012,30.06,0.133246289
25/07/2012,26.31,-0.005685064
24/07/2012,26.46,-0.003395589
23/07/2012,26.55,-0.00937214
20/07/2012,26.8,-0.013711536
19/07/2012,27.17,-0.013162896
18/07/2012,27.53,0.027994462
17/07/2012,26.77,0.02764804
16/07/2012,26.04,0.008871804
13/07/2012,25.81,0.022728251
12/07/2012,25.23,-0.005533611
11/07/2012,25.37,0.000788644
10/07/2012,25.35,-0.024163296
09/07/2012,25.97,0.039667482
06/07/2012,24.96,-0.004796172
05/07/2012,25.08,-0.001991636
03/07/2012,25.13,0.022943248
02/07/2012,24.56,-0.006897978
29/06/2012,24.73,0.061711949
28/06/2012,23.25,-0.053591726
27/06/2012,24.53,0.016855486
26/06/2012,24.12,0.035876395
25/06/2012,23.27,-0.00300365
22/06/2012,23.34,0.028685148
21/06/2012,22.68,-0.069815578
20/06/2012,24.32,-0.006557401
19/06/2012,24.48,0.026491615
18/06/2012,23.84,0.011390125
15/06/2012,23.57,0.005530752
14/06/2012,23.44,-0.017340253
13/06/2012,23.85,0.028063066
12/06/2012,23.19,0.027542725
11/06/2012,22.56,-0.036130154
08/06/2012,23.39,0.031707325
07/06/2012,22.66,-0.043607168
06/06/2012,23.67,0.046258517
05/06/2012,22.6,0.020563979
04/06/2012,22.14,0.018232046
01/06/2012,21.74,-0.074863371
31/05/2012,23.43,-0.037281805
30/05/2012,24.32,-0.028776048
29/05/2012,25.03,-0.044920655
25/05/2012,26.18,-0.00798939
24/05/2012,26.39,0.023386153
23/05/2012,25.78,-0.022248712
22/05/2012,26.36,-0.054985257
21/05/2012,27.85,0.034335002
18/05/2012,26.91,-0.063353315
17/05/2012,28.67,-0.053314271
16/05/2012,30.24,-0.034771984
15/05/2012,31.31,-0.001914487
14/05/2012,31.37,0.007358856
11/05/2012,31.14,-0.010541545
10/05/2012,31.47,0.029015575
09/05/2012,30.57,0.005247634
