Date,Close,IP
13/08/2012,33.94,0.0314256
10/08/2012,32.89,0.006099439
09/08/2012,32.69,-0.001528351
08/08/2012,32.74,-0.01485551
07/08/2012,33.23,0.013024567
06/08/2012,32.8,0.002747674
03/08/2012,32.71,0.020695719
02/08/2012,32.04,-0.012098798
01/08/2012,32.43,-0.011649427
31/07/2012,32.81,-0.000913938
30/07/2012,32.84,-0.015710293
27/07/2012,33.36,0.027965348
26/07/2012,32.44,0.033540207
25/07/2012,31.37,-0.001274291
24/07/2012,31.41,-0.022041195
23/07/2012,32.11,-0.005590077
20/07/2012,32.29,-0.009247908
19/07/2012,32.59,0.008009901
18/07/2012,32.33,0.014016738
17/07/2012,31.88,0.037716199
16/07/2012,30.7,-0.00162734
13/07/2012,30.75,0.023027333
12/07/2012,30.05,0.011378972
11/07/2012,29.71,0.039476552
10/07/2012,28.56,-0.012180419
09/07/2012,28.91,-0.005519159
06/07/2012,29.07,-0.015022474
05/07/2012,29.51,-0.002031145
03/07/2012,29.57,0.020844766
02/07/2012,28.96,0.001728011
29/06/2012,28.91,0.035919354
28/06/2012,27.89,-0.00998938
27/06/2012,28.17,0.005695993
26/06/2012,28.01,-0.006405716
25/06/2012,28.19,-0.035886101
22/06/2012,29.22,0.012050413
21/06/2012,28.87,-0.027333441
20/06/2012,29.67,-0.008724888
19/06/2012,29.93,0.026063415
18/06/2012,29.16,0.011034595
15/06/2012,28.84,0.002082611
14/06/2012,28.78,0.006273984
13/06/2012,28.6,-0.019048195
12/06/2012,29.15,0.018698606
11/06/2012,28.61,-0.022806794
08/06/2012,29.27,0.001709694
07/06/2012,29.22,0.001712622
06/06/2012,29.17,0.038083205
05/06/2012,28.08,0.009661911
04/06/2012,27.81,-0.011440954
01/06/2012,28.13,-0.037332087
31/05/2012,29.2,-0.00273598
30/05/2012,29.28,-0.021622464
29/05/2012,29.92,0.020598398
25/05/2012,29.31,-0.010521054
24/05/2012,29.62,-0.005722958
23/05/2012,29.79,0.00437343
22/05/2012,29.66,-0.008393536
21/05/2012,29.91,0.035043559
18/05/2012,28.88,0.003121209
17/05/2012,28.79,-0.044164786
16/05/2012,30.09,-0.027856955
15/05/2012,30.94,0.006159851
14/05/2012,30.75,-0.017088921
11/05/2012,31.28,0.001279591
10/05/2012,31.24,-0.003514942
09/05/2012,31.35,-0.010155593
08/05/2012,31.67,-0.00880232
07/05/2012,31.95,-0.005617992
04/05/2012,32.13,-0.019112789
03/05/2012,32.75,-0.01755493
02/05/2012,33.33,-0.002098008
01/05/2012,33.4,0.002698248
30/04/2012,33.31,-0.016081347
