Date,Close,C
07/08/2012,28.89,0.011488377
06/08/2012,28.56,0.041464124
03/08/2012,27.4,0.045547253
02/08/2012,26.18,-0.02265958
01/08/2012,26.78,-0.012984786
31/07/2012,27.13,-0.000368528
30/07/2012,27.14,-0.005878048
27/07/2012,27.3,0.038078509
26/07/2012,26.28,0.018821374
25/07/2012,25.79,0.021556782
24/07/2012,25.24,-0.003954137
23/07/2012,25.34,-0.020699821
20/07/2012,25.87,-0.027451209
19/07/2012,26.59,-0.018998523
18/07/2012,27.1,-0.010279092
17/07/2012,27.38,0.021037868
16/07/2012,26.81,0.005985802
13/07/2012,26.65,0.052775581
12/07/2012,25.28,-0.023070427
11/07/2012,25.87,-0.000386473
10/07/2012,25.88,-0.008847913
09/07/2012,26.11,-0.009529327
06/07/2012,26.36,-0.018045602
05/07/2012,26.84,-0.029732416
03/07/2012,27.65,0.006895328
02/07/2012,27.46,0.00182249
29/06/2012,27.41,0.03792276
28/06/2012,26.39,-0.026548577
27/06/2012,27.1,0.013747198
26/06/2012,26.73,-0.000747943
25/06/2012,26.75,-0.04531283
22/06/2012,27.99,0.005732728
21/06/2012,27.83,-0.036341978
20/06/2012,28.86,0.012552466
19/06/2012,28.5,0.033901552
18/06/2012,27.55,-0.027212564
15/06/2012,28.31,0.014230052
14/06/2012,27.91,0.008636254
13/06/2012,27.67,0.001808646
12/06/2012,27.62,0.042150417
11/06/2012,26.48,-0.04756657
08/06/2012,27.77,0.031458337
07/06/2012,26.91,-0.00851069
06/06/2012,27.14,0.052574027
05/06/2012,25.75,0.036784847
04/06/2012,24.82,-0.022705616
01/06/2012,25.39,-0.043166625
31/05/2012,26.51,0.019425482
30/05/2012,26,-0.038480795
29/05/2012,27.02,0.020565316
25/05/2012,26.47,-0.007152299
24/05/2012,26.66,-0.018212732
23/05/2012,27.15,0.008507542
22/05/2012,26.92,0.025203516
21/05/2012,26.25,0.00918491
18/05/2012,26.01,-0.015261647
17/05/2012,26.41,-0.019126778
16/05/2012,26.92,-0.031806739
15/05/2012,27.79,-0.012515808
14/05/2012,28.14,-0.042100495
11/05/2012,29.35,-0.043340116
10/05/2012,30.65,0.006546668
09/05/2012,30.45,-0.028170877
08/05/2012,31.32,-0.011112989
07/05/2012,31.67,0.00221274
04/05/2012,31.6,-0.027467395
03/05/2012,32.48,-0.006750563
02/05/2012,32.7,-0.027150989
01/05/2012,33.6,0.016807118
30/04/2012,33.04,-0.01382649
27/04/2012,33.5,-0.011279431
26/04/2012,33.88,0.00592068
25/04/2012,33.68,0.007749666
24/04/2012,33.42,0.005099756
23/04/2012,33.25,-0.019065219
20/04/2012,33.89,-0.027933152
19/04/2012,34.85,-0.00657803
18/04/2012,35.08,0
17/04/2012,35.08,0.031270643
16/04/2012,34,0.017505268
13/04/2012,33.41,-0.035865102
12/04/2012,34.63,0.030491955
11/04/2012,33.59,0.021972291
10/04/2012,32.86,-0.03322167
09/04/2012,33.97,-0.023852207
05/04/2012,34.79,-0.007160277
04/04/2012,35.04,-0.037253993
03/04/2012,36.37,-0.013653953
02/04/2012,36.87,0.008717026
30/03/2012,36.55,0.001094991
29/03/2012,36.51,-0.014952025
28/03/2012,37.06,0.007584002
27/03/2012,36.78,-0.017518303
26/03/2012,37.43,0.008047254
23/03/2012,37.13,0.006213717
22/03/2012,36.9,-0.024097552
21/03/2012,37.8,-0.007380107
20/03/2012,38.08,0.024187226
19/03/2012,37.17,0.012997746
16/03/2012,36.69,0.011513285
15/03/2012,36.27,0.02966082
14/03/2012,35.21,-0.034611325
13/03/2012,36.45,0.061087692
12/03/2012,34.29,0.002628122
09/03/2012,34.2,0.005865119
08/03/2012,34,0.022606555
07/03/2012,33.24,0.034275081
06/03/2012,32.12,-0.0474253
05/03/2012,33.68,-0.012393195
02/03/2012,34.1,-0.000879379
01/03/2012,34.13,0.024018946
29/02/2012,33.32,-0.004790428
28/02/2012,33.48,0.016564149
27/02/2012,32.93,0.017770075
24/02/2012,32.35,-0.011066821
23/02/2012,32.71,0.010757749
22/02/2012,32.36,-0.030434485
21/02/2012,33.36,0.013277202
17/02/2012,32.92,0.006399534
16/02/2012,32.71,0.030733445
15/02/2012,31.72,-0.011285386
14/02/2012,32.08,-0.024631787
13/02/2012,32.88,-0.001519526
10/02/2012,32.93,-0.021926092
09/02/2012,33.66,-0.016792264
08/02/2012,34.23,0.034475926
07/02/2012,33.07,-0.00693087
06/02/2012,33.3,-0.007181359
03/02/2012,33.54,0.047315402
02/02/2012,31.99,0.012266233
01/02/2012,31.6,0.028243212
31/01/2012,30.72,0.016079099
30/01/2012,30.23,-0.02095003
27/01/2012,30.87,0.016000341
26/01/2012,30.38,0.013921339
25/01/2012,29.96,0.002004678
24/01/2012,29.9,0.001673641
23/01/2012,29.85,0.007060039
20/01/2012,29.64,0.010513917
19/01/2012,29.33,0.010281105
18/01/2012,29.03,0.028298832
17/01/2012,28.22,-0.085533792
13/01/2012,30.74,-0.027592382
12/01/2012,31.6,0.010497949
11/01/2012,31.27,0.04146179
10/01/2012,30,0.031146729
09/01/2012,29.08,0.018393717
06/01/2012,28.55,0.001402033
05/01/2012,28.51,0.011997321
04/01/2012,28.17,-0.005663732
