Date,Close,HIG
09/10/2013,32.1,0.045245054
08/10/2013,30.68,-0.015524245
07/10/2013,31.16,-0.013072082
04/10/2013,31.57,0.023394754
03/10/2013,30.84,-0.007108269
02/10/2013,31.06,-0.00737774
01/10/2013,31.29,0.005447858
30/09/2013,31.12,-0.004808472
27/09/2013,31.27,-0.00859741
26/09/2013,31.54,-0.006006024
25/09/2013,31.73,0.009817973
24/09/2013,31.42,0.016364877
23/09/2013,30.91,-0.003552402
20/09/2013,31.02,-0.003861009
19/09/2013,31.14,-0.025679014
18/09/2013,31.95,-0.010895049
17/09/2013,32.3,0.013088376
16/09/2013,31.88,0.008189022
13/09/2013,31.62,0.002850358
12/09/2013,31.53,-0.011979967
11/09/2013,31.91,0.005026715
10/09/2013,31.75,0.003470582
09/09/2013,31.64,0.024637304
06/09/2013,30.87,0.0042201
05/09/2013,30.74,0.005872774
04/09/2013,30.56,0.01185004
03/09/2013,30.2,0.020067563
30/08/2013,29.6,-0.011421018
29/08/2013,29.94,0.005694204
28/08/2013,29.77,0.003364741
27/08/2013,29.67,-0.029228251
26/08/2013,30.55,-0.003267977
23/08/2013,30.65,-0.000652316
22/08/2013,30.67,0.008184691
21/08/2013,30.42,-0.004264399
20/08/2013,30.55,0.003278691
19/08/2013,30.45,-0.012726555
16/08/2013,30.84,-0.002914038
15/08/2013,30.93,-0.010612738
14/08/2013,31.26,-0.007648221
13/08/2013,31.5,0.014710851
12/08/2013,31.04,-0.00866084
09/08/2013,31.31,0
08/08/2013,31.31,-0.00159566
07/08/2013,31.36,-0.008256636
06/08/2013,31.62,-0.008189022
05/08/2013,31.88,-0.00469411
02/08/2013,32.03,0.002813821
01/08/2013,31.94,0.034398296
31/07/2013,30.86,0.009768883
30/07/2013,30.56,-0.007173164
29/07/2013,30.78,-0.018668067
26/07/2013,31.36,-0.001593118
25/07/2013,31.41,0.006387757
24/07/2013,31.21,-0.011468746
23/07/2013,31.57,-0.016960206
22/07/2013,32.11,0.011589793
19/07/2013,31.74,-0.005968292
18/07/2013,31.93,0.008807858
17/07/2013,31.65,-0.004728141
16/07/2013,31.8,-0.006269613
15/07/2013,32,-0.006541061
12/07/2013,32.21,0.012496258
11/07/2013,31.81,0.001258257
10/07/2013,31.77,0.006948859
09/07/2013,31.55,0.003492621
08/07/2013,31.44,0.002547772
05/07/2013,31.36,0.03471557
03/07/2013,30.29,-0.020262131
02/07/2013,30.91,-0.009338339
01/07/2013,31.2,0.009014871
28/06/2013,30.92,-0.009975948
27/06/2013,31.23,0.040515179
26/06/2013,29.99,0.02738045
25/06/2013,29.18,0.017981121
24/06/2013,28.66,-0.024471323
21/06/2013,29.37,-0.009825591
20/06/2013,29.66,-0.001010952
19/06/2013,29.69,-0.021986229
18/06/2013,30.35,0.020976298
17/06/2013,29.72,0.017651511
14/06/2013,29.2,-0.028693952
13/06/2013,30.05,0.020848099
12/06/2013,29.43,-0.011150648
11/06/2013,29.76,-0.032399528
10/06/2013,30.74,0.007838054
07/06/2013,30.5,0.033675461
06/06/2013,29.49,0.01710028
05/06/2013,28.99,-0.025205694
04/06/2013,29.73,-0.006370516
03/06/2013,29.92,-0.023452768
31/05/2013,30.63,-0.02578293
30/05/2013,31.43,0.019923538
29/05/2013,30.81,0.005859392
28/05/2013,30.63,0.01281437
24/05/2013,30.24,-0.004618946
23/05/2013,30.38,-0.008521848
