Date,Close,CME
21/09/2012,57.99,-0.000861846
20/09/2012,58.04,0.005528694
19/09/2012,57.72,-0.011712156
18/09/2012,58.4,-0.005464494
17/09/2012,58.72,-0.002890913
14/09/2012,58.89,-0.007780824
13/09/2012,59.35,0.007101822
12/09/2012,58.93,0.005956957
11/09/2012,58.58,-0.000511989
10/09/2012,58.61,0.003589441
07/09/2012,58.4,0.035024052
06/09/2012,56.39,0.019338114
05/09/2012,55.31,0
04/09/2012,55.31,0.007440375
31/08/2012,54.9,0.007129177
30/08/2012,54.51,0.001652438
29/08/2012,54.42,0.007377385
28/08/2012,54.02,0.005941347
27/08/2012,53.7,0.000558815
24/08/2012,53.67,0.006355162
23/08/2012,53.33,-0.004116772
22/08/2012,53.55,-0.000746687
21/08/2012,53.59,-0.007436361
20/08/2012,53.99,-0.002220167
17/08/2012,54.11,0.011711259
16/08/2012,53.48,0.015641514
15/08/2012,52.65,0.001330419
14/08/2012,52.58,-0.017345835
13/08/2012,53.5,-0.00168083
10/08/2012,53.59,0.001493931
09/08/2012,53.51,0.01052048
08/08/2012,52.95,-0.002075277
07/08/2012,53.06,0.02017963
06/08/2012,52,0.020791578
03/08/2012,50.93,0.021834929
02/08/2012,49.83,-0.02536296
01/08/2012,51.11,-0.019376696
31/07/2012,52.11,-0.004021838
30/07/2012,52.32,-0.003624921
27/07/2012,52.51,0.001333969
26/07/2012,52.44,0.022758938
25/07/2012,51.26,0.002930548
24/07/2012,51.11,-0.000195637
23/07/2012,51.12,-1.614900275
20/07/2012,257,-0.013718696
19/07/2012,260.55,-0.012093153
18/07/2012,263.72,0.002125722
17/07/2012,263.16,0.002854046
16/07/2012,262.41,-0.002854046
13/07/2012,263.16,0.009353534
12/07/2012,260.71,0.004574908
11/07/2012,259.52,0.00235326
10/07/2012,258.91,-0.012054814
09/07/2012,262.05,-0.005555993
06/07/2012,263.51,-0.006279812
05/07/2012,265.17,-0.01768039
03/07/2012,269.9,-0.004952518
02/07/2012,271.24,0.011606694
29/06/2012,268.11,0.013442678
28/06/2012,264.53,-0.001284473
27/06/2012,264.87,-0.016215458
26/06/2012,269.2,0.007606868
25/06/2012,267.16,-0.018983219
22/06/2012,272.28,0.002611016
21/06/2012,271.57,-0.020555409
20/06/2012,277.21,-0.009657055
19/06/2012,279.9,-0.008219078
18/06/2012,282.21,0.015354154
15/06/2012,277.91,0.018228537
14/06/2012,272.89,0.00444388
13/06/2012,271.68,-0.013091202
12/06/2012,275.26,0.007328978
11/06/2012,273.25,0.006240843
08/06/2012,271.55,0.017946865
07/06/2012,266.72,-0.010406076
06/06/2012,269.51,0.004909811
05/06/2012,268.19,0.027941854
04/06/2012,260.8,0.014638835
01/06/2012,257.01,-0.002176533
31/05/2012,257.57,-0.012347265
30/05/2012,260.77,-0.011552448
29/05/2012,263.8,0.004863971
25/05/2012,262.52,0.02452502
24/05/2012,256.16,0.010398979
23/05/2012,253.51,-0.014645105
22/05/2012,257.25,-0.025635542
21/05/2012,263.93,0.022724332
18/05/2012,258,0.017240795
17/05/2012,253.59,-0.01234511
16/05/2012,256.74,-0.006986521
15/05/2012,258.54,-0.006054198
14/05/2012,260.11,-0.010821251
11/05/2012,262.94,0.004688849
10/05/2012,261.71,0.006555389
09/05/2012,260,0.011955802
08/05/2012,256.91,0.006129839
07/05/2012,255.34,-0.011022292
04/05/2012,258.17,-0.022823124
03/05/2012,264.13,0.0037932
02/05/2012,263.13,-0.01975568
01/05/2012,268.38,0.009584499
30/04/2012,265.82,-0.009584499
27/04/2012,268.38,-0.02072422
26/04/2012,274,0.003143622
25/04/2012,273.14,0.002089022
24/04/2012,272.57,0.00246111
23/04/2012,271.9,-0.004220577
20/04/2012,273.05,-0.01602185
19/04/2012,277.46,-0.003238461
18/04/2012,278.36,-0.006552704
17/04/2012,280.19,-0.001782913
16/04/2012,280.69,-0.005223428
13/04/2012,282.16,-0.018713791
12/04/2012,287.49,0.011756197
11/04/2012,284.13,0.007205711
10/04/2012,282.09,-0.009069317
09/04/2012,284.66,-0.011421909
05/04/2012,287.93,0.005956649
04/04/2012,286.22,-0.00758766
03/04/2012,288.4,-0.00973059
02/04/2012,291.22,0.00651109
30/03/2012,289.33,-0.000932755
29/03/2012,289.6,-0.003859944
28/03/2012,290.72,-0.011559241
27/03/2012,294.1,-0.012166422
26/03/2012,297.7,0.00569303
23/03/2012,296.01,0.000878735
22/03/2012,295.75,-0.009824782
21/03/2012,298.67,0.014433866
20/03/2012,294.39,0.014886574
19/03/2012,290.04,0.002036274
16/03/2012,289.45,0.011117016
15/03/2012,286.25,0.034473918
14/03/2012,276.55,0.012956472
13/03/2012,272.99,0.010272739
12/03/2012,270.2,-0.02326537
09/03/2012,276.56,0.001193944
08/03/2012,276.23,0.003699409
07/03/2012,275.21,0.001017923
06/03/2012,274.93,-0.021909321
05/03/2012,281.02,-0.030074819
02/03/2012,289.6,0.000207204
01/03/2012,289.54,0.000172703
29/02/2012,289.49,-0.004514992
28/02/2012,290.8,0.003513731
27/02/2012,289.78,-0.008966513
24/02/2012,292.39,0.002054162
23/02/2012,291.79,0.012553188
22/02/2012,288.15,-0.006675569
21/02/2012,290.08,-0.013354991
17/02/2012,293.98,-0.005664584
16/02/2012,295.65,0.017090934
15/02/2012,290.64,0.002204465
14/02/2012,290,-0.003442344
13/02/2012,291,-0.002025439
10/02/2012,291.59,0.028595242
09/02/2012,283.37,-0.005103938
08/02/2012,284.82,0.031275393
07/02/2012,276.05,0.002647951
06/02/2012,275.32,0.00688841
03/02/2012,273.43,0.027511746
02/02/2012,266.01,0.080318425
01/02/2012,245.48,0.024620308
31/01/2012,239.51,-0.002043754
30/01/2012,240,-0.003659961
27/01/2012,240.88,0.001786716
26/01/2012,240.45,-0.006880001
25/01/2012,242.11,0.006588922
24/01/2012,240.52,0.00868554
23/01/2012,238.44,-0.006021092
20/01/2012,239.88,0.009760671
19/01/2012,237.55,0.020842949
18/01/2012,232.65,0.015158367
17/01/2012,229.15,-0.023078777
13/01/2012,234.5,0.005430497
12/01/2012,233.23,0.031490092
11/01/2012,226,-0.006747099
