Date,Close,WEC
09/08/2012,39.36,-0.008852973
08/08/2012,39.71,-0.003017352
07/08/2012,39.83,-0.014209388
06/08/2012,40.4,0.00123839
03/08/2012,40.35,0.010463474
02/08/2012,39.93,-0.008478854
01/08/2012,40.27,-0.011603636
31/07/2012,40.74,-0.007093096
30/07/2012,41.03,0.002928975
27/07/2012,40.91,0.009578853
26/07/2012,40.52,0.01341635
25/07/2012,39.98,-0.013169528
24/07/2012,40.51,-0.006642908
23/07/2012,40.78,-0.009275146
20/07/2012,41.16,-0.000971345
19/07/2012,41.2,-0.001939865
18/07/2012,41.28,0.010716128
17/07/2012,40.84,0.002697072
16/07/2012,40.73,-0.00440961
13/07/2012,40.91,0.010813573
12/07/2012,40.47,0.004705891
11/07/2012,40.28,0.004977611
10/07/2012,40.08,0.003248785
09/07/2012,39.95,-0.001500751
06/07/2012,40.01,0.003254478
05/07/2012,39.88,-0.001503383
03/07/2012,39.94,-0.005244112
02/07/2012,40.15,0.014551185
29/06/2012,39.57,0.001264383
28/06/2012,39.52,-0.001517067
27/06/2012,39.58,0.014505917
26/06/2012,39.01,0.007720059
25/06/2012,38.71,0.002845688
22/06/2012,38.6,0.005455267
21/06/2012,38.39,-0.005973268
20/06/2012,38.62,-0.010560304
19/06/2012,39.03,-0.005620863
18/06/2012,39.25,-0.001018589
15/06/2012,39.29,0.008948034
14/06/2012,38.94,0.001027749
13/06/2012,38.9,0.000771506
12/06/2012,38.87,0.008007275
11/06/2012,38.56,-0.001036807
08/06/2012,38.6,0.006237026
07/06/2012,38.36,-0.000260654
06/06/2012,38.37,0.012852636
05/06/2012,37.88,0.002114166
04/06/2012,37.8,0.000264585
01/06/2012,37.79,-0.001322227
31/05/2012,37.84,0.018402973
30/05/2012,37.15,-0.012837833
29/05/2012,37.63,0.003460672
25/05/2012,37.5,0.005347606
24/05/2012,37.3,0.006994917
23/05/2012,37.04,-0.004847841
22/05/2012,37.22,0.011076704
21/05/2012,36.81,0.00272035
18/05/2012,36.71,-0.007328028
17/05/2012,36.98,-0.009420067
16/05/2012,37.33,0.004295309
15/05/2012,37.17,-0.002149961
14/05/2012,37.25,0.001343184
11/05/2012,37.2,0.00836825
10/05/2012,36.89,0.005163757
09/05/2012,36.7,-0.000272442
08/05/2012,36.71,0.011782572
07/05/2012,36.28,-0.003851449
04/05/2012,36.42,0.004678693
03/05/2012,36.25,-0.005502077
02/05/2012,36.45,-0.006290189
01/05/2012,36.68,-0.004352564
30/04/2012,36.84,0.006809232
27/04/2012,36.59,0.00603072
26/04/2012,36.37,0.005514213
25/04/2012,36.17,0.009165458
24/04/2012,35.84,0.005876608
23/04/2012,35.63,-0.006992058
20/04/2012,35.88,0.012621118
19/04/2012,35.43,-0.003662492
18/04/2012,35.56,-0.000562272
17/04/2012,35.58,0.006768215
16/04/2012,35.34,0.01396233
13/04/2012,34.85,-0.004009169
12/04/2012,34.99,0.008610845
11/04/2012,34.69,0.002886838
10/04/2012,34.59,-0.013496257
09/04/2012,35.06,0.000285266
05/04/2012,35.05,-0.003417833
04/04/2012,35.17,-0.005670557
03/04/2012,35.37,-0.000565291
02/04/2012,35.39,0.005951555
30/03/2012,35.18,0.003987473
29/03/2012,35.04,0.003430535
28/03/2012,34.92,-0.008838261
27/03/2012,35.23,0.004837113
26/03/2012,35.06,0.016101555
23/03/2012,34.5,0.000289897
22/03/2012,34.49,0.001450747
21/03/2012,34.44,-0.000290318
20/03/2012,34.45,0.002324907
19/03/2012,34.37,-0.004644421
16/03/2012,34.53,-0.002025171
15/03/2012,34.6,-0.003750185
14/03/2012,34.73,-0.015428877
13/03/2012,35.27,0.002555005
12/03/2012,35.18,0.009424602
09/03/2012,34.85,0.005466853
08/03/2012,34.66,0.006948494
07/03/2012,34.42,0.009340406
06/03/2012,34.1,-0.002343293
05/03/2012,34.18,-0.001169591
02/03/2012,34.22,0.001462202
01/03/2012,34.17,0.002637364
29/02/2012,34.08,-0.002344667
28/02/2012,34.16,-0.003214967
27/02/2012,34.27,-0.002913755
24/02/2012,34.37,-0.000581734
23/02/2012,34.39,0.002912058
22/02/2012,34.29,0.002043498
21/02/2012,34.22,-0.004664731
17/02/2012,34.38,-0.001162791
16/02/2012,34.42,0.003200934
15/02/2012,34.31,-0.000291418
14/02/2012,34.32,0.001166181
13/02/2012,34.28,0.000583601
10/02/2012,34.26,-0.013049337
09/02/2012,34.71,0.00259628
08/02/2012,34.62,-0.008914509
07/02/2012,34.93,0.007471299
06/02/2012,34.67,0.000288475
03/02/2012,34.66,0.007239064
02/02/2012,34.41,0.006121576
01/02/2012,34.2,0.005865119
31/01/2012,34,0
30/01/2012,34,-0.00732604
27/01/2012,34.25,-0.015355944
26/01/2012,34.78,0.006345565
25/01/2012,34.56,0.018692133
24/01/2012,33.92,-0.009681754
23/01/2012,34.25,0.00438918
20/01/2012,34.1,0
19/01/2012,34.1,-0.000879379
18/01/2012,34.13,-0.004968591
17/01/2012,34.3,0.002627355
13/01/2012,34.21,-0.003792856
12/01/2012,34.34,0.003208403
11/01/2012,34.23,-0.008146685
10/01/2012,34.51,0.000289813
09/01/2012,34.5,0.000289897
06/01/2012,34.49,-0.004339657
05/01/2012,34.64,0.005500086
04/01/2012,34.45,-0.002898553
03/01/2012,34.55,-0.011797001
30/12/2011,34.96,-0.009395087
29/12/2011,35.29,0.007680311
28/12/2011,35.02,-0.00427412
27/12/2011,35.17,0.011726146
23/12/2011,34.76,0.007218163
22/12/2011,34.51,-0.001158413
21/12/2011,34.55,0.011644964
20/12/2011,34.15,0.013264749
19/12/2011,33.7,0.007745049
16/12/2011,33.44,0.005397314
15/12/2011,33.26,0.023730958
14/12/2011,32.48,-0.013455861
13/12/2011,32.92,0.006705298
12/12/2011,32.7,-0.011251449
09/12/2011,33.07,0.017694177
08/12/2011,32.49,-0.013755375
07/12/2011,32.94,-0.004543397
06/12/2011,33.09,0.001209556
05/12/2011,33.05,0.002726861
02/12/2011,32.96,-0.009060769
01/12/2011,33.26,0.002408189
30/11/2011,33.18,0.025333264
29/11/2011,32.35,0.010878118
28/11/2011,32,0.002816463
25/11/2011,31.91,0.012931894
23/11/2011,31.5,-0.009478744
22/11/2011,31.8,-0.011878852
21/11/2011,32.18,-0.013886969
18/11/2011,32.63,0.008927256
17/11/2011,32.34,-0.008314136
16/11/2011,32.61,-0.008853668
15/11/2011,32.9,0.009467165
14/11/2011,32.59,-0.017037224
11/11/2011,33.15,0.017958175
10/11/2011,32.56,0.013605652
09/11/2011,32.12,-0.031865441
08/11/2011,33.16,0.00817567
07/11/2011,32.89,0.005182148
04/11/2011,32.72,-0.001221747
03/11/2011,32.76,0.013212667
02/11/2011,32.33,0.023788289
01/11/2011,31.57,-0.026876618
31/10/2011,32.43,-0.012563364
28/10/2011,32.84,-0.016908615
27/10/2011,33.4,0.027931385
26/10/2011,32.48,0.000307929
25/10/2011,32.47,-0.023437384
24/10/2011,33.24,0.010281312
21/10/2011,32.9,0.01624059
20/10/2011,32.37,0.001545834
19/10/2011,32.32,0.009950331
18/10/2011,32,0.010681848
17/10/2011,31.66,-0.005669307
14/10/2011,31.84,0.006617324
13/10/2011,31.63,0.004436002
12/10/2011,31.49,-0.001903554
11/10/2011,31.55,-0.013849765
10/10/2011,31.99,0.015753319
07/10/2011,31.49,0.000317612
06/10/2011,31.48,0.027372503
05/10/2011,30.63,0.008524642
04/10/2011,30.37,-0.023430945
03/10/2011,31.09,-0.006412334
30/09/2011,31.29,-0.008908745
29/09/2011,31.57,0.019834303
28/09/2011,30.95,-0.008365557
27/09/2011,31.21,0.001603335
26/09/2011,31.16,-0.001603335
23/09/2011,31.21,0.019411803
22/09/2011,30.61,-0.023249352
21/09/2011,31.33,-0.017716376
20/09/2011,31.89,0.008186444
19/09/2011,31.63,-0.002841359
16/09/2011,31.72,0.003790276
15/09/2011,31.6,0.013380257
14/09/2011,31.18,0.005144706
13/09/2011,31.02,0.009392782
12/09/2011,30.73,0.008825029
09/09/2011,30.46,-0.025605029
08/09/2011,31.25,-0.005106937
07/09/2011,31.41,0.019611624
06/09/2011,30.8,-0.006795043
02/09/2011,31.01,-0.01281658
01/09/2011,31.41,-0.007295829
31/08/2011,31.64,0.005387432
