Date,Close,TAP
18/07/2012,41.48,0.013592442
17/07/2012,40.92,0.004163101
16/07/2012,40.75,-0.00269575
13/07/2012,40.86,0.003186668
12/07/2012,40.73,0.006403963
11/07/2012,40.47,0.009683502
10/07/2012,40.08,-0.006961739
09/07/2012,40.36,-0.015732871
06/07/2012,41,-0.009708814
05/07/2012,41.4,-0.006500565
03/07/2012,41.67,0.004811171
02/07/2012,41.47,-0.003370249
29/06/2012,41.61,0.045479141
28/06/2012,39.76,0.000754812
27/06/2012,39.73,0.008594593
26/06/2012,39.39,0.006622541
25/06/2012,39.13,0.004353957
22/06/2012,38.96,0.004372997
21/06/2012,38.79,-0.022432753
20/06/2012,39.67,0.001008827
19/06/2012,39.63,0.002020713
18/06/2012,39.55,0.003038746
15/06/2012,39.43,0.001268875
14/06/2012,39.38,0.017418473
13/06/2012,38.7,0.001034126
12/06/2012,38.66,0.004407006
11/06/2012,38.49,-0.012650227
08/06/2012,38.98,0.006176036
07/06/2012,38.74,-0.001805287
06/06/2012,38.81,0.013228049
05/06/2012,38.3,0.00052233
04/06/2012,38.28,-0.001305313
01/06/2012,38.33,-0.003125817
31/05/2012,38.45,-0.013689998
30/05/2012,38.98,-0.015780424
29/05/2012,39.6,-0.004535155
25/05/2012,39.78,0.006810469
24/05/2012,39.51,0.00660236
23/05/2012,39.25,-0.018427885
22/05/2012,39.98,0.004261192
21/05/2012,39.81,-0.000753296
18/05/2012,39.84,-0.00375799
17/05/2012,39.99,-0.004491026
16/05/2012,40.17,-0.007193383
15/05/2012,40.46,-0.011549459
14/05/2012,40.93,-0.009483354
11/05/2012,41.32,0.005095243
10/05/2012,41.11,0.003167258
09/05/2012,40.98,-0.010921113
08/05/2012,41.43,-0.01461629
07/05/2012,42.04,0.000951928
04/05/2012,42,-0.011128326
03/05/2012,42.47,0.008275257
02/05/2012,42.12,0.004282662
01/05/2012,41.94,0.008620743
30/04/2012,41.58,0.002166848
27/04/2012,41.49,-0.003848934
26/04/2012,41.65,0.008923247
25/04/2012,41.28,-0.005797118
24/04/2012,41.52,0.012359299
23/04/2012,41.01,-0.007046561
20/04/2012,41.3,0.000968992
