Date,Close,ABBV
18/12/2013,54.32,0.01278387
17/12/2013,53.63,0.004859823
16/12/2013,53.37,0.018914882
13/12/2013,52.37,-0.000381825
12/12/2013,52.39,-0.0053303
11/12/2013,52.67,0.010113625
10/12/2013,52.14,0.017997583
09/12/2013,51.21,-0.002730111
06/12/2013,51.35,0.031453488
05/12/2013,49.76,0.001810319
04/12/2013,49.67,-0.006021696
03/12/2013,49.97,0.032129645
02/12/2013,48.39,-0.001239158
29/11/2013,48.45,0.004136511
27/11/2013,48.25,-0.007227703
26/11/2013,48.6,0.003917127
25/11/2013,48.41,-0.010888654
22/11/2013,48.94,0.007589002
21/11/2013,48.57,0.012847255
20/11/2013,47.95,-0.010579914
19/11/2013,48.46,-0.008424996
18/11/2013,48.87,0.008837793
15/11/2013,48.44,0.008291921
14/11/2013,48.04,0.003962879
13/11/2013,47.85,0.007762548
12/11/2013,47.48,-0.022697487
11/11/2013,48.57,0.011180241
08/11/2013,48.03,0.016584824
07/11/2013,47.24,-0.017001144
06/11/2013,48.05,-0.002494285
05/11/2013,48.17,-0.012173884
04/11/2013,48.76,-0.004093334
01/11/2013,48.96,0.0104713
31/10/2013,48.45,-0.007197975
30/10/2013,48.8,-0.020083848
29/10/2013,49.79,0.00745896
28/10/2013,49.42,0.00243112
25/10/2013,49.3,0.028182468
24/10/2013,47.93,-0.008310873
23/10/2013,48.33,-0.013767812
22/10/2013,49,0.013354076
21/10/2013,48.35,0.000413736
18/10/2013,48.33,0.003316065
17/10/2013,48.17,0.023313037
16/10/2013,47.06,0.021044367
15/10/2013,46.08,-0.005410683
14/10/2013,46.33,0.014786092
11/10/2013,45.65,-0.000656958
10/10/2013,45.68,0.019229237
09/10/2013,44.81,0.006492802
08/10/2013,44.52,-0.03465748
07/10/2013,46.09,-0.015287196
04/10/2013,46.8,0.017024439
03/10/2013,46.01,0.001304915
02/10/2013,45.95,0.003269758
01/10/2013,45.8,0.023639674
30/09/2013,44.73,0.008982769
27/09/2013,44.33,-0.015000841
26/09/2013,45,-0.007306575
25/09/2013,45.33,-0.014237454
24/09/2013,45.98,-0.024066482
23/09/2013,47.1,-0.015589109
20/09/2013,47.84,0.009239881
19/09/2013,47.4,-0.010910725
18/09/2013,47.92,0.006700193
17/09/2013,47.6,0.038112084
16/09/2013,45.82,0.020505624
13/09/2013,44.89,0.004241551
12/09/2013,44.7,-0.005577259
11/09/2013,44.95,0.00378915
10/09/2013,44.78,0.007846694
09/09/2013,44.43,0.012228413
06/09/2013,43.89,0.008695707
05/09/2013,43.51,0.008771986
04/09/2013,43.13,0.012599327
03/09/2013,42.59,-0.000469484
30/08/2013,42.61,-0.000234659
29/08/2013,42.62,0.001408782
28/08/2013,42.56,-0.001643386
27/08/2013,42.63,-0.019052621
26/08/2013,43.45,0.000460405
23/08/2013,43.43,0.011812529
22/08/2013,42.92,0.014314453
21/08/2013,42.31,-0.015478733
20/08/2013,42.97,-0.00926576
19/08/2013,43.37,0.008567842
16/08/2013,43,-0.004871834
15/08/2013,43.21,-0.031213378
14/08/2013,44.58,-0.007820395
13/08/2013,44.93,-0.002445261
12/08/2013,45.04,0.007353794
09/08/2013,44.71,-0.007797745
08/08/2013,45.06,0.010933948
07/08/2013,44.57,-0.006931274
06/08/2013,44.88,0.003795071
05/08/2013,44.71,-0.013551246
02/08/2013,45.32,0.001545766
01/08/2013,45.25,-0.005069999
31/07/2013,45.48,0.017299167
30/07/2013,44.7,-0.008021433
29/07/2013,45.06,0.006010035
26/07/2013,44.79,0.012355543
25/07/2013,44.24,0.013655196
24/07/2013,43.64,-0.015236224
23/07/2013,44.31,-0.014785216
22/07/2013,44.97,0.010057074
19/07/2013,44.52,0.004502484
18/07/2013,44.32,0.008155913
17/07/2013,43.96,0.003418028
16/07/2013,43.81,-0.018320087
15/07/2013,44.62,-0.009590795
12/07/2013,45.05,0.028595892
11/07/2013,43.78,-0.002964992
10/07/2013,43.91,0.013527662
09/07/2013,43.32,-0.008275909
08/07/2013,43.68,0.022223137
05/07/2013,42.72,0.011536326
03/07/2013,42.23,0.000473709
02/07/2013,42.21,0.014316637
01/07/2013,41.61,0.006509969
28/06/2013,41.34,-0.042388256
27/06/2013,43.13,-0.005779695
26/06/2013,43.38,0.017440275
25/06/2013,42.63,0.017511096
24/06/2013,41.89,-0.017276492
21/06/2013,42.62,0.037289215
20/06/2013,41.06,-0.047095504
19/06/2013,43.04,-0.01155014
18/06/2013,43.54,0.012247409
17/06/2013,43.01,-0.004639303
14/06/2013,43.21,0.001389532
13/06/2013,43.15,0.008845495
12/06/2013,42.77,-0.018990844
11/06/2013,43.59,-0.007542031
10/06/2013,43.92,-0.001819837
07/06/2013,44,0.011428696
06/06/2013,43.5,0.010631022
05/06/2013,43.04,-0.013615071
04/06/2013,43.63,0.00620763
03/06/2013,43.36,0.015572656
31/05/2013,42.69,-0.042647453
30/05/2013,44.55,0.015153519
29/05/2013,43.88,-0.033833181
28/05/2013,45.39,-0.001100958
24/05/2013,45.44,-0.024993151
23/05/2013,46.59,-0.003642211
22/05/2013,46.76,0.004715979
21/05/2013,46.54,0.006034501
20/05/2013,46.26,-0.01948044
17/05/2013,47.17,0.020561872
16/05/2013,46.21,0.003902867
15/05/2013,46.03,0.014883181
14/05/2013,45.35,0.018022515
13/05/2013,44.54,-0.010497025
10/05/2013,45.01,0.01725533
09/05/2013,44.24,0.017098331
08/05/2013,43.49,-0.03212946
07/05/2013,44.91,0.007150868
06/05/2013,44.59,-0.002016356
03/05/2013,44.68,0.015563639
02/05/2013,43.99,-0.034848288
01/05/2013,45.55,-0.010917139
30/04/2013,46.05,0.017967179
29/04/2013,45.23,-0.013396489
26/04/2013,45.84,0.035527715
25/04/2013,44.24,-0.001806685
24/04/2013,44.32,-0.018332729
23/04/2013,45.14,0.021043982
22/04/2013,44.2,0.041812304
19/04/2013,42.39,0.001652698
18/04/2013,42.32,0.001892148
17/04/2013,42.24,-0.004959273
16/04/2013,42.45,0.024080315
15/04/2013,41.44,-0.039044354
12/04/2013,43.09,-0.002549544
11/04/2013,43.2,-0.009675266
10/04/2013,43.62,0.024835906
09/04/2013,42.55,0.018501477
08/04/2013,41.77,0.011073777
05/04/2013,41.31,-0.006995566
04/04/2013,41.6,0.02507129
03/04/2013,40.57,-0.003444885
02/04/2013,40.71,-0.010020859
01/04/2013,41.12,0.008302856
28/03/2013,40.78,0.015569325
27/03/2013,40.15,-0.001493281
26/03/2013,40.21,0.022382426
25/03/2013,39.32,0.008941176
22/03/2013,38.97,0.012393652
21/03/2013,38.49,-0.014700458
20/03/2013,39.06,0.018083675
19/03/2013,38.36,0.005227403
18/03/2013,38.16,-0.008870395
15/03/2013,38.5,0.024718587
14/03/2013,37.56,0.01043767
13/03/2013,37.17,0
12/03/2013,37.17,-0.013362037
11/03/2013,37.67,0.008798884
08/03/2013,37.34,-0.004009093
07/03/2013,37.49,-0.006646309
06/03/2013,37.74,0.006112976
05/03/2013,37.51,-0.019274524
04/03/2013,38.24,0.01130847
01/03/2013,37.81,0.023820208
28/02/2013,36.92,0.00515955
27/02/2013,36.73,-0.009753532
26/02/2013,37.09,-0.007520852
25/02/2013,37.37,-0.028750497
22/02/2013,38.46,-0.00828591
21/02/2013,38.78,0.00439334
20/02/2013,38.61,0.010937609
19/02/2013,38.19,0.016101707
15/02/2013,37.58,0.027243762
14/02/2013,36.57,0.036195488
13/02/2013,35.27,-0.004243888
12/02/2013,35.42,-0.012066935
11/02/2013,35.85,-0.011095814
08/02/2013,36.25,-0.004678693
07/02/2013,36.42,-0.019576482
06/02/2013,37.14,-0.001614205
05/02/2013,37.2,-0.002148229
04/02/2013,37.28,0.002686008
01/02/2013,37.18,0.013266744
31/01/2013,36.69,-0.00651999
30/01/2013,36.93,-0.010237158
29/01/2013,37.31,0.011320876
28/01/2013,36.89,-0.019063539
25/01/2013,37.6,0.003730353
24/01/2013,37.46,-0.009035406
23/01/2013,37.8,0.037191028
22/01/2013,36.42,-0.024411302
18/01/2013,37.32,0.024411302
17/01/2013,36.42,0.024459252
16/01/2013,35.54,0.026805141
15/01/2013,34.6,0.014849596
14/01/2013,34.09,0.007065087
11/01/2013,33.85,-0.004421525
10/01/2013,34,0.00294551
09/01/2013,33.9,0.005620485
08/01/2013,33.71,-0.022004702
07/01/2013,34.46,0.002033407
04/01/2013,34.39,-0.01271326
03/01/2013,34.83,-0.008291684
02/01/2013,35.12,
