Date,Close,GM
20/02/2013,27.1,-0.021176403
19/02/2013,27.68,-0.002886005
15/02/2013,27.76,0.000360295
14/02/2013,27.75,-0.03261544
13/02/2013,28.67,0.004194344
12/02/2013,28.55,0.000700771
11/02/2013,28.53,-0.001401051
08/02/2013,28.57,0.003506315
07/02/2013,28.47,-0.001754694
06/02/2013,28.52,-0.002451411
05/02/2013,28.59,0.022282089
04/02/2013,27.96,-0.007482665
01/02/2013,28.17,0.002843941
31/01/2013,28.09,0.005354287
30/01/2013,27.94,-0.018088807
29/01/2013,28.45,-0.013268351
28/01/2013,28.83,-0.008290203
25/01/2013,29.07,0.010026013
24/01/2013,28.78,0.007323485
23/01/2013,28.57,-0.002097903
22/01/2013,28.63,-0.02244957
18/01/2013,29.28,-0.007146534
17/01/2013,29.49,0.006122468
16/01/2013,29.31,-0.043071254
15/01/2013,30.6,0.008862687
14/01/2013,30.33,-0.000988631
11/01/2013,30.36,-0.00263158
10/01/2013,30.44,0.015560652
09/01/2013,29.97,0.020223136
08/01/2013,29.37,-0.009825591
07/01/2013,29.66,-0.006720455
04/01/2013,29.86,0.001340483
03/01/2013,29.82,0.023410738
02/01/2013,29.13,0.010352059
31/12/2012,28.83,0.034583545
28/12/2012,27.85,-0.003941951
27/12/2012,27.96,0.012234769
26/12/2012,27.62,-0.001447178
24/12/2012,27.66,0.012368292
21/12/2012,27.32,-0.000731797
20/12/2012,27.34,0.005869423
19/12/2012,27.18,0.06419519
18/12/2012,25.49,0.025428466
17/12/2012,24.85,0.009704888
14/12/2012,24.61,-0.020511477
13/12/2012,25.12,-0.020099199
12/12/2012,25.63,0.007047797
11/12/2012,25.45,0.006702174
10/12/2012,25.28,0.003566479
07/12/2012,25.19,0.024920904
06/12/2012,24.57,-0.017349638
05/12/2012,25,-0.016266972
04/12/2012,25.41,-0.003927735
03/12/2012,25.51,-0.014399937
30/11/2012,25.88,-0.00808163
29/11/2012,26.09,0.03153853
28/11/2012,25.28,0.010737824
27/11/2012,25.01,-0.008758018
26/11/2012,25.23,0.000793021
23/11/2012,25.21,0.024494298
21/11/2012,24.6,0
20/11/2012,24.6,-0.013325455
19/11/2012,24.93,0.04428768
16/11/2012,23.85,-0.001257071
15/11/2012,23.88,-0.012070906
14/11/2012,24.17,-0.026537585
13/11/2012,24.82,-0.017572337
12/11/2012,25.26,0.008747571
09/11/2012,25.04,0.012861914
08/11/2012,24.72,-0.012462473
07/11/2012,25.03,-0.045302553
06/11/2012,26.19,0.023957869
05/11/2012,25.57,-0.008567031
02/11/2012,25.79,0.004274341
01/11/2012,25.68,0.007034027
31/10/2012,25.5,0.091083829
26/10/2012,23.28,-0.014922468
25/10/2012,23.63,-0.002535927
24/10/2012,23.69,-0.007569422
23/10/2012,23.87,-0.03093668
22/10/2012,24.62,0.001219265
19/10/2012,24.59,-0.038688773
18/10/2012,25.56,0.01975568
17/10/2012,25.06,0.010832603
16/10/2012,24.79,0.012583888
15/10/2012,24.48,0.001635323
12/10/2012,24.44,-0.008961363
11/10/2012,24.66,0.017590963
10/10/2012,24.23,-0.005761333
09/10/2012,24.37,-0.008173319
08/10/2012,24.57,-0.009317467
05/10/2012,24.8,0.006066753
04/10/2012,24.65,0.010603688
03/10/2012,24.39,0.029542402
02/10/2012,23.68,0.025231187
01/10/2012,23.09,0.014834478
28/09/2012,22.75,-0.018724693
27/09/2012,23.18,-0.009018743
26/09/2012,23.39,-0.005542542
25/09/2012,23.52,-0.03509132
24/09/2012,24.36,-0.01790121
21/09/2012,24.8,0.015441184
20/09/2012,24.42,-0.01342302
19/09/2012,24.75,0.013013604
18/09/2012,24.43,0.026126305
17/09/2012,23.8,-0.014184635
14/09/2012,24.14,0.025594013
13/09/2012,23.53,0.017145726
12/09/2012,23.13,0.00694146
11/09/2012,22.97,-0.000435256
10/09/2012,22.98,-0.016828876
07/09/2012,23.37,0.040162534
06/09/2012,22.45,0.031217192
05/09/2012,21.76,0.020896976
04/09/2012,21.31,-0.001875294
31/08/2012,21.35,0.011304878
30/08/2012,21.11,-0.008960211
29/08/2012,21.3,0.017045867
28/08/2012,20.94,-0.013282928
27/08/2012,21.22,0.001886793
24/08/2012,21.18,-0.007525906
23/08/2012,21.34,-0.018110548
22/08/2012,21.73,0.004612554
21/08/2012,21.63,-0.011034595
20/08/2012,21.87,-0.006381061
17/08/2012,22.01,0.031382363
16/08/2012,21.33,0.057406645
15/08/2012,20.14,-0.003469644
14/08/2012,20.21,-0.012782868
13/08/2012,20.47,-0.003413805
10/08/2012,20.54,-0.005341115
09/08/2012,20.65,0.013161292
08/08/2012,20.38,-0.001960785
07/08/2012,20.42,0.028310806
06/08/2012,19.85,-0.009526269
03/08/2012,20.04,0.04594989
02/08/2012,19.14,-0.026805729
01/08/2012,19.66,-0.002540006
31/07/2012,19.71,0.017917039
30/07/2012,19.36,-0.015885551
27/07/2012,19.67,0.028882874
26/07/2012,19.11,0.016354888
25/07/2012,18.8,-0.011634187
24/07/2012,19.02,-0.014614039
23/07/2012,19.3,-0.003103986
20/07/2012,19.36,-0.039498805
19/07/2012,20.14,0.003481724
18/07/2012,20.07,0.023696597
17/07/2012,19.6,0.01128796
16/07/2012,19.38,-0.012307848
13/07/2012,19.62,0.014891161
12/07/2012,19.33,-0.029061439
11/07/2012,19.9,0.005037794
10/07/2012,19.8,-0.020990276
09/07/2012,20.22,-0.004441162
06/07/2012,20.31,-0.011260829
05/07/2012,20.54,-0.006309169
03/07/2012,20.67,0.054685592
02/07/2012,19.57,-0.007635568
29/06/2012,19.72,-0.00505818
28/06/2012,19.82,0.008105414
27/06/2012,19.66,-0.009617892
26/06/2012,19.85,-0.003018111
25/06/2012,19.91,-0.034068958
22/06/2012,20.6,-0.001939865
21/06/2012,20.64,-0.039891329
20/06/2012,21.48,-0.012031612
19/06/2012,21.74,0.014362072
18/06/2012,21.43,-0.014362072
15/06/2012,21.74,-0.002756088
14/06/2012,21.8,-0.003205865
13/06/2012,21.87,-0.013624189
12/06/2012,22.17,0.011340562
11/06/2012,21.92,-0.00591314
08/06/2012,22.05,0.00911168
07/06/2012,21.85,0.000915751
06/06/2012,21.83,0.026928275
05/06/2012,21.25,0.006610034
04/06/2012,21.11,-0.041750034
01/06/2012,22.01,-0.008595393
31/05/2012,22.2,-0.007628487
30/05/2012,22.37,-0.021230342
29/05/2012,22.85,0.018106037
25/05/2012,22.44,0.017986096
24/05/2012,22.04,-0.00407517
23/05/2012,22.13,0.028881219
22/05/2012,21.5,-0.001858737
