Date,Close,LB
16/08/2012,48.86,-0.00265713
15/08/2012,48.99,0.001634321
14/08/2012,48.91,-0.010980184
13/08/2012,49.45,0.003240837
10/08/2012,49.29,-0.00526104
09/08/2012,49.55,-0.001411717
08/08/2012,49.62,-0.017381319
07/08/2012,50.49,0.020611035
06/08/2012,49.46,0.006490895
03/08/2012,49.14,0.02932277
02/08/2012,47.72,0.019040135
01/08/2012,46.82,-0.015471327
31/07/2012,47.55,-0.00816844
30/07/2012,47.94,0.01725269
27/07/2012,47.12,0.023186955
26/07/2012,46.04,0.007850019
25/07/2012,45.68,0.021463375
24/07/2012,44.71,-0.021682265
23/07/2012,45.69,-0.013478465
20/07/2012,46.31,-0.017763977
19/07/2012,47.14,0.007452393
18/07/2012,46.79,0.006432269
17/07/2012,46.49,0.014734828
16/07/2012,45.81,-0.005225355
13/07/2012,46.05,0.019516023
12/07/2012,45.16,0.00354925
11/07/2012,45,-0.009069855
10/07/2012,45.41,-0.00592822
09/07/2012,45.68,-0.003060112
06/07/2012,45.82,-0.006526018
05/07/2012,46.12,0.043880295
03/07/2012,44.14,0.004313777
02/07/2012,43.95,0.032842915
29/06/2012,42.53,0.032742798
28/06/2012,41.16,0.008049806
27/06/2012,40.83,-0.004154961
26/06/2012,41,0.000243932
25/06/2012,40.99,-0.017652496
22/06/2012,41.72,-0.003111167
21/06/2012,41.85,-0.040047501
20/06/2012,43.56,0.001608271
19/06/2012,43.49,0.015525743
18/06/2012,42.82,0.003978009
15/06/2012,42.65,0.008476622
14/06/2012,42.29,0.008072219
13/06/2012,41.95,-0.018422817
12/06/2012,42.73,0.02033167
11/06/2012,41.87,-0.021968523
08/06/2012,42.8,0.022207386
07/06/2012,41.86,-0.019633984
06/06/2012,42.69,0.006580517
05/06/2012,42.41,0.003070022
04/06/2012,42.28,-0.014324538
01/06/2012,42.89,-0.033699464
31/05/2012,44.36,-0.03281891
30/05/2012,45.84,-0.030930301
29/05/2012,47.28,0.01857242
25/05/2012,46.41,0.010178756
24/05/2012,45.94,0.00698998
23/05/2012,45.62,0.002853695
22/05/2012,45.49,-0.008100756
21/05/2012,45.86,0.016489326
18/05/2012,45.11,-0.016489326
17/05/2012,45.86,-0.044774053
16/05/2012,47.96,-0.001874805
15/05/2012,48.05,0.001041125
14/05/2012,48,-0.008711941
11/05/2012,48.42,-0.005149872
10/05/2012,48.67,0.004324108
09/05/2012,48.46,-0.006171589
08/05/2012,48.76,-0.025712521
07/05/2012,50.03,-0.004785652
04/05/2012,50.27,-0.028049304
03/05/2012,51.7,0.024871545
02/05/2012,50.43,0.015386456
01/05/2012,49.66,-0.000805153
30/04/2012,49.7,-0.025036078
27/04/2012,50.96,0.014030464
26/04/2012,50.25,0.016048489
25/04/2012,49.45,0.026225637
24/04/2012,48.17,-0.00455676
23/04/2012,48.39,-0.017819212
20/04/2012,49.26,0.004476101
19/04/2012,49.04,-0.004273076
18/04/2012,49.25,0.007950302
17/04/2012,48.86,0.019634815
16/04/2012,47.91,0.005021982
13/04/2012,47.67,-0.002932553
12/04/2012,47.81,0.009245706
11/04/2012,47.37,0.017891851
10/04/2012,46.53,-0.029226985
09/04/2012,47.91,-0.007071577
05/04/2012,48.25,-0.009077842
04/04/2012,48.69,-0.0016417
03/04/2012,48.77,0.008028865
02/04/2012,48.38,0.007885494
30/03/2012,48,-0.006023489
29/03/2012,48.29,-0.0051637
28/03/2012,48.54,-0.022005778
27/03/2012,49.62,-0.003621006
26/03/2012,49.8,0.025420789
23/03/2012,48.55,-0.009430164
22/03/2012,49.01,0.017910927
21/03/2012,48.14,0.018660778
20/03/2012,47.25,0.005305052
19/03/2012,47,0.001490472
16/03/2012,46.93,-0.012703961
15/03/2012,47.53,0.002949855
14/03/2012,47.39,0.002746964
13/03/2012,47.26,0.014707715
12/03/2012,46.57,-0.003643772
09/03/2012,46.74,0.012920076
08/03/2012,46.14,0.008051398
07/03/2012,45.77,0.012089388
06/03/2012,45.22,-0.010558831
05/03/2012,45.7,-0.01153064
02/03/2012,46.23,-0.004747527
01/03/2012,46.45,-0.001720801
29/02/2012,46.53,-0.012388027
28/02/2012,47.11,0.00532086
27/02/2012,46.86,0.012886776
24/02/2012,46.26,0.005418893
23/02/2012,46.01,0.011586095
22/02/2012,45.48,-0.009628083
21/02/2012,45.92,-0.012551561
17/02/2012,46.5,0.012116115
16/02/2012,45.94,0.016017896
15/02/2012,45.21,-0.008589415
14/02/2012,45.6,0.00881063
13/02/2012,45.2,0.005323881
10/02/2012,44.96,-0.002443631
09/02/2012,45.07,0.005339279
08/02/2012,44.83,0.00022309
07/02/2012,44.82,0.00964025
06/02/2012,44.39,0.002932884
03/02/2012,44.26,0.017090538
02/02/2012,43.51,0.03770497
01/02/2012,41.9,0.00095511
31/01/2012,41.86,0.02075865
30/01/2012,41,-0.01115704
27/01/2012,41.46,0.004835599
26/01/2012,41.26,-0.017537987
25/01/2012,41.99,0.004056801
24/01/2012,41.82,0.011302273
23/01/2012,41.35,0.003148846
20/01/2012,41.22,-0.008455178
19/01/2012,41.57,-0.00096177
18/01/2012,41.61,0.010145015
17/01/2012,41.19,0.017140478
13/01/2012,40.49,0.004703561
12/01/2012,40.3,0.020303994
11/01/2012,39.49,0.006350841
10/01/2012,39.24,0.006647941
09/01/2012,38.98,0.002825949
06/01/2012,38.87,-0.012019068
05/01/2012,39.34,-0.00810131
04/01/2012,39.66,0.012942701
03/01/2012,39.15,-0.030190972
30/12/2011,40.35,-0.009373527
29/12/2011,40.73,-0.002697072
28/12/2011,40.84,-0.002201297
27/12/2011,40.93,0.016753287
23/12/2011,40.25,0.017038748
22/12/2011,39.57,0.008119811
21/12/2011,39.25,0.006646241
20/12/2011,38.99,0.033645109
19/12/2011,37.7,-0.018397365
16/12/2011,38.4,-0.002341008
15/12/2011,38.49,-0.021080472
14/12/2011,39.31,-0.003555108
13/12/2011,39.45,-0.027008393
12/12/2011,40.53,-0.007374665
09/12/2011,40.83,-0.002446185
08/12/2011,40.93,-0.07255359
07/12/2011,44.01,0.020661892
06/12/2011,43.11,0.000464037
05/12/2011,43.09,0.011201984
02/12/2011,42.61,0
01/12/2011,42.61,0.006592913
30/11/2011,42.33,0.031680115
29/11/2011,41.01,0.028944507
28/11/2011,39.84,0.038638553
25/11/2011,38.33,-0.010639779
23/11/2011,38.74,-0.031006296
22/11/2011,39.96,-0.00449439
21/11/2011,40.14,-0.017778246
18/11/2011,40.86,-0.017948578
17/11/2011,41.6,-0.032402031
16/11/2011,42.97,-0.02844881
15/11/2011,44.21,0.011831765
14/11/2011,43.69,-0.005705824
11/11/2011,43.94,0.037801602
10/11/2011,42.31,0.020294358
09/11/2011,41.46,-0.040416703
08/11/2011,43.17,0.015406467
07/11/2011,42.51,-0.002818888
04/11/2011,42.63,-0.007711219
03/11/2011,42.96,-0.006033901
02/11/2011,43.22,0.003244499
01/11/2011,43.08,0.008625767
31/10/2011,42.71,-0.027253419
28/10/2011,43.89,-0.029852963
27/10/2011,45.22,0.049409551
26/10/2011,43.04,-0.000696783
25/10/2011,43.07,-0.016578782
24/10/2011,43.79,0.024972396
21/10/2011,42.71,0.017954652
20/10/2011,41.95,0.005737525
19/10/2011,41.71,-0.007880638
18/10/2011,42.04,0.003335719
17/10/2011,41.9,-0.017975886
14/10/2011,42.66,0.015592095
13/10/2011,42,-0.006644543
12/10/2011,42.28,0.018620734
11/10/2011,41.5,-0.017674212
10/10/2011,42.24,0.043795556
07/10/2011,40.43,-0.003949647
06/10/2011,40.59,0.007666663
05/10/2011,40.28,0.013245227
04/10/2011,39.75,0.05720281
03/10/2011,37.54,-0.025510917
30/09/2011,38.51,-0.036209973
29/09/2011,39.93,-0.02546806
28/09/2011,40.96,-0.011167875
27/09/2011,41.42,-0.020313759
26/09/2011,42.27,0.04599068
23/09/2011,40.37,0.030686512
22/09/2011,39.15,-0.010670833
21/09/2011,39.57,-0.041337404
20/09/2011,41.24,0.008767713
19/09/2011,40.88,0.014785878
16/09/2011,40.28,0.01450388
15/09/2011,39.7,0.03043324
14/09/2011,38.51,0.005206989
13/09/2011,38.31,0.031285691
12/09/2011,37.13,0.014377028
09/09/2011,36.6,-0.011139906
08/09/2011,37.01,-0.016879168
07/09/2011,37.64,0.051517046
06/09/2011,35.75,-0.002793298
02/09/2011,35.85,-0.03346445
01/09/2011,37.07,-0.017912523
31/08/2011,37.74,-0.014990419
30/08/2011,38.31,0.015520501
29/08/2011,37.72,0.035346996
26/08/2011,36.41,0.024747544
25/08/2011,35.52,-0.005894754
24/08/2011,35.73,0.00055991
23/08/2011,35.71,0.06060712
22/08/2011,33.61,0.013177789
19/08/2011,33.17,-0.016741796
18/08/2011,33.73,-0.017923206
17/08/2011,34.34,-0.014168229
16/08/2011,34.83,-0.007722046
15/08/2011,35.1,0.015214877
12/08/2011,34.57,0.003477256
11/08/2011,34.45,0.051522486
10/08/2011,32.72,-0.033657023
09/08/2011,33.84,0.065326854
08/08/2011,31.7,-0.09157508
05/08/2011,34.74,-0.031172827
04/08/2011,35.84,-0.012753153
03/08/2011,36.3,0.014708188
02/08/2011,35.77,-0.040542392
01/08/2011,37.25,-0.016243201
29/07/2011,37.86,0.012224441
28/07/2011,37.4,-0.002136753
27/07/2011,37.48,-0.021120109
26/07/2011,38.28,-0.004431129
25/07/2011,38.45,-0.044010663
22/07/2011,40.18,-0.004222035
21/07/2011,40.35,0.001736327
20/07/2011,40.28,-0.008405488
19/07/2011,40.62,0.025936616
18/07/2011,39.58,-0.006547493
15/07/2011,39.84,0.007558615
14/07/2011,39.54,0.002532288
13/07/2011,39.44,0.010193768
12/07/2011,39.04,-0.008671312
11/07/2011,39.38,-0.031002483
08/07/2011,40.62,0.006421361
07/07/2011,40.36,0.026360256
06/07/2011,39.31,0.000763456
05/07/2011,39.28,0.009464196
01/07/2011,38.91,0.011892591
30/06/2011,38.45,0.009932126
29/06/2011,38.07,-0.006023326
28/06/2011,38.3,0.024046607
27/06/2011,37.39,0.005901305
24/06/2011,37.17,0.003233633
23/06/2011,37.05,0.009219154
22/06/2011,36.71,-0.02075826
21/06/2011,37.48,0.030063198
20/06/2011,36.37,0.02505699
17/06/2011,35.47,0.004804305
16/06/2011,35.3,-0.001698274
15/06/2011,35.36,-0.041274381
14/06/2011,36.85,0.0208398
13/06/2011,36.09,0.013108541
10/06/2011,35.62,-0.019461276
09/06/2011,36.32,0.015818285
08/06/2011,35.75,-0.012785055
07/06/2011,36.21,0.000276205
06/06/2011,36.2,-0.033680533
03/06/2011,37.44,-0.01141959
02/06/2011,37.87,-0.021938723
01/06/2011,38.71,-0.031780989
31/05/2011,39.96,0.01031326
27/05/2011,39.55,-0.01131376
26/05/2011,40,0.030459207
25/05/2011,38.8,-0.006934662
24/05/2011,39.07,-0.014988214
23/05/2011,39.66,0
20/05/2011,39.66,-0.028584026
19/05/2011,40.81,-0.039399763
18/05/2011,42.45,0.019746092
17/05/2011,41.62,0.002646459
16/05/2011,41.51,-0.007918458
13/05/2011,41.84,-0.006432422
12/05/2011,42.11,0.003330165
11/05/2011,41.97,-0.001666469
10/05/2011,42.04,0.021154635
09/05/2011,41.16,0.002188983
06/05/2011,41.07,0.015953216
05/05/2011,40.42,0.002477088
04/05/2011,40.32,-0.022318523
03/05/2011,41.23,0.006814336
02/05/2011,40.95,-0.005115101
29/04/2011,41.16,0.003650972
28/04/2011,41.01,-0.003164945
27/04/2011,41.14,0.008789119
26/04/2011,40.78,0.012833345
25/04/2011,40.26,0.022354315
21/04/2011,39.37,0.004582493
20/04/2011,39.19,0.028469832
19/04/2011,38.09,0.005792539
18/04/2011,37.87,-0.000264026
15/04/2011,37.88,0.005559247
14/04/2011,37.67,-0.007405482
13/04/2011,37.95,0.02103659
12/04/2011,37.16,-0.007773796
11/04/2011,37.45,0.007504726
08/04/2011,37.17,0.037554091
07/04/2011,35.8,0.016049901
06/04/2011,35.23,0.021228565
05/04/2011,34.49,0.034211535
04/04/2011,33.33,0.010253407
01/04/2011,32.99,0.003339915
31/03/2011,32.88,-0.010588512
30/03/2011,33.23,0.020675714
29/03/2011,32.55,0.015792246
28/03/2011,32.04,-0.007462721
25/03/2011,32.28,0.00652683
24/03/2011,32.07,0.015713711
23/03/2011,31.57,0.011789208
22/03/2011,31.2,-0.001601281
21/03/2011,31.25,0.024948645
18/03/2011,30.48,0.002628122
17/03/2011,30.4,0.005277057
16/03/2011,30.24,-0.010199134
15/03/2011,30.55,-0.016878038
14/03/2011,31.07,-0.018179419
11/03/2011,31.64,0.015607898
10/03/2011,31.15,-0.008948606
09/03/2011,31.43,0.000636537
08/03/2011,31.41,-0.006030807
07/03/2011,31.6,-0.022219659
04/03/2011,32.31,-0.001855288
03/03/2011,32.37,0.007130708
02/03/2011,32.14,0.017894058
01/03/2011,31.57,-0.014153405
28/02/2011,32.02,-0.009325526
25/02/2011,32.32,0.005584873
24/02/2011,32.14,0.011578912
23/02/2011,31.77,-0.02976964
22/02/2011,32.73,-0.02325335
18/02/2011,33.5,0.010502722
17/02/2011,33.15,0.002113846
16/02/2011,33.08,0.017073585
15/02/2011,32.52,-0.008573231
14/02/2011,32.8,-0.006987724
11/02/2011,33.03,0.01402462
10/02/2011,32.57,-0.002453236
09/02/2011,32.65,0.007995123
08/02/2011,32.39,0.01399059
07/02/2011,31.94,0.002194014
04/02/2011,31.87,0.018366571
03/02/2011,31.29,0.071529987
02/02/2011,29.13,-0.017693554
01/02/2011,29.65,0.013924491
31/01/2011,29.24,0.011004238
28/01/2011,28.92,-0.016801355
27/01/2011,29.41,0.02443763
26/01/2011,28.7,0.009804
25/01/2011,28.42,-0.013629426
24/01/2011,28.81,0.004522533
21/01/2011,28.68,-0.013506699
20/01/2011,29.07,0.014204292
19/01/2011,28.66,-0.01489205
18/01/2011,29.09,-0.000687285
14/01/2011,29.11,-0.010932804
13/01/2011,29.43,0.017135443
12/01/2011,28.93,-0.001381693
11/01/2011,28.97,-0.005507759
10/01/2011,29.13,0.015568555
07/01/2011,28.68,-0.007295499
06/01/2011,28.89,-0.023602943
05/01/2011,29.58,-0.011428696
04/01/2011,29.92,-0.025409716
03/01/2011,30.69,-0.001302508
31/12/2010,30.73,-0.014858154
30/12/2010,31.19,0.016160662
29/12/2010,30.69,0.001304206
28/12/2010,30.65,-0.015218037
27/12/2010,31.12,0.001929882
23/12/2010,31.06,0
22/12/2010,31.06,-0.021341788
21/12/2010,31.73,0.02069808
20/12/2010,31.08,-0.005134799
17/12/2010,31.24,0.010619569
16/12/2010,30.91,0.012042456
15/12/2010,30.54,-0.009775249
14/12/2010,30.84,0.00194742
13/12/2010,30.78,-0.024391453
10/12/2010,31.54,0.007319046
09/12/2010,31.31,0.006729716
08/12/2010,31.1,-0.010555032
