Date,Close,SJM
25/03/2013,96.38,-0.000622342
22/03/2013,96.44,0.004572862
21/03/2013,96,-0.007885494
20/03/2013,96.76,0.003727484
19/03/2013,96.4,0.00020749
18/03/2013,96.38,-0.010527499
15/03/2013,97.4,-0.004507281
14/03/2013,97.84,0.002660937
13/03/2013,97.58,0.001127916
12/03/2013,97.47,0.000821102
11/03/2013,97.39,0.001541387
08/03/2013,97.24,0.001543766
07/03/2013,97.09,0.003818177
06/03/2013,96.72,-0.003921169
05/03/2013,97.1,0.004748641
04/03/2013,96.64,0.00383599
01/03/2013,96.27,0.010126933
28/02/2013,95.3,0.001890558
27/02/2013,95.12,0.020928155
26/02/2013,93.15,0.017762841
25/02/2013,91.51,-0.016043705
22/02/2013,92.99,0.011790931
21/02/2013,91.9,0.00217865
20/02/2013,91.7,-0.000545108
19/02/2013,91.75,-0.007059492
15/02/2013,92.4,0.002600782
14/02/2013,92.16,0.020056566
13/02/2013,90.33,-0.006510368
12/02/2013,90.92,0.024156571
11/02/2013,88.75,-0.00460908
08/02/2013,89.16,0.002920366
07/02/2013,88.9,-0.002134952
06/02/2013,89.09,-0.004368042
05/02/2013,89.48,0.006953039
04/02/2013,88.86,-0.010411513
01/02/2013,89.79,0.01300321
31/01/2013,88.63,-0.002816745
30/01/2013,88.88,0.002591113
29/01/2013,88.65,-0.001690617
28/01/2013,88.8,-0.005166809
25/01/2013,89.26,-0.009810558
24/01/2013,90.14,0.004224575
23/01/2013,89.76,-0.001336006
22/01/2013,89.88,0.003566656
18/01/2013,89.56,-0.000334915
17/01/2013,89.59,0.011224722
16/01/2013,88.59,0.002599606
15/01/2013,88.36,0.000679271
14/01/2013,88.3,0.000906413
11/01/2013,88.22,-0.018196616
10/01/2013,89.84,0.002786604
09/01/2013,89.59,0.005596612
08/01/2013,89.09,-0.008939606
07/01/2013,89.89,-0.003442726
04/01/2013,90.2,0.011372628
03/01/2013,89.18,-0.00536794
02/01/2013,89.66,0.038890632
31/12/2012,86.24,0.011545991
28/12/2012,85.25,-0.003279075
27/12/2012,85.53,0.002809977
26/12/2012,85.29,-0.012119948
24/12/2012,86.33,-0.00323812
21/12/2012,86.61,-0.003687915
20/12/2012,86.93,0.011221125
19/12/2012,85.96,-0.016040965
18/12/2012,87.35,-0.001944302
17/12/2012,87.52,0.006419096
14/12/2012,86.96,-0.004360305
13/12/2012,87.34,-0.00559458
12/12/2012,87.83,0.001139212
11/12/2012,87.73,-0.000569768
10/12/2012,87.78,-0.000227816
07/12/2012,87.8,-0.001820665
06/12/2012,87.96,-0.003744685
05/12/2012,88.29,-0.007110238
04/12/2012,88.92,0.002139038
03/12/2012,88.73,0.003047578
30/11/2012,88.46,0.00954119
29/11/2012,87.62,0.005263772
28/11/2012,87.16,0.011887727
27/11/2012,86.13,0.00116171
26/11/2012,86.03,-0.00023245
23/11/2012,86.05,0.017348929
21/11/2012,84.57,-0.001181754
20/11/2012,84.67,0.002128163
19/11/2012,84.49,0.007484442
16/11/2012,83.86,-0.01796314
15/11/2012,85.38,-0.003740944
14/11/2012,85.7,-0.015629841
13/11/2012,87.05,0.019605059
12/11/2012,85.36,0.012139933
09/11/2012,84.33,0.006066031
08/11/2012,83.82,-0.009144414
07/11/2012,84.59,-0.013853239
06/11/2012,85.77,0.010666455
05/11/2012,84.86,-0.00235405
02/11/2012,85.06,-0.0041063
01/11/2012,85.41,-0.002689274
31/10/2012,85.64,0.007148328
26/10/2012,85.03,-0.008548562
25/10/2012,85.76,0.008548562
24/10/2012,85.03,-0.001410272
23/10/2012,85.15,0.003293733
22/10/2012,84.87,0.001296941
19/10/2012,84.76,-0.007171018
18/10/2012,85.37,0.001993317
17/10/2012,85.2,0.015256638
16/10/2012,83.91,0.002744796
15/10/2012,83.68,0.00275235
12/10/2012,83.45,-0.001317287
11/10/2012,83.56,-0.000717789
10/10/2012,83.62,-0.005129134
09/10/2012,84.05,-0.017104516
08/10/2012,85.5,-0.011049836
05/10/2012,86.45,-0.011729665
04/10/2012,87.47,0.001830874
03/10/2012,87.31,0.001719494
02/10/2012,87.16,0.000344254
01/10/2012,87.13,0.009224094
28/09/2012,86.33,0.00441143
27/09/2012,85.95,0.000814759
26/09/2012,85.88,-0.002442288
25/09/2012,86.09,-0.013842648
24/09/2012,87.29,0.014423604
21/09/2012,86.04,-0.011785232
20/09/2012,87.06,0.005528694
19/09/2012,86.58,-0.000461894
18/09/2012,86.62,-0.004607242
17/09/2012,87.02,0.010512429
14/09/2012,86.11,-0.010742234
13/09/2012,87.04,0.01051
12/09/2012,86.13,0.001394214
11/09/2012,86.01,0.001861981
10/09/2012,85.85,-0.002907824
07/09/2012,86.1,-0.006021324
06/09/2012,86.62,0.007299725
05/09/2012,85.99,-0.000581294
04/09/2012,86.04,0.012514051
31/08/2012,84.97,0.006375464
30/08/2012,84.43,-0.007081347
29/08/2012,85.03,0.005306303
28/08/2012,84.58,-0.004482725
27/08/2012,84.96,0.006613156
24/08/2012,84.4,0.005941788
23/08/2012,83.9,-0.000119182
22/08/2012,83.91,-0.002499555
21/08/2012,84.12,-0.001544218
20/08/2012,84.25,0.015430005
17/08/2012,82.96,0.04929053
16/08/2012,78.97,0
15/08/2012,78.97,0.014412596
14/08/2012,77.84,-0.000898876
13/08/2012,77.91,0.015652606
10/08/2012,76.7,-0.001693481
09/08/2012,76.83,0
08/08/2012,76.83,0.000390549
07/08/2012,76.8,0.002868694
06/08/2012,76.58,0.010897502
03/08/2012,75.75,0.011017567
02/08/2012,74.92,-0.010357283
01/08/2012,75.7,-0.01442648
31/07/2012,76.8,-0.005712817
30/07/2012,77.24,0.011458459
27/07/2012,76.36,0.005778845
26/07/2012,75.92,0.01192541
25/07/2012,75.02,0.000533333
24/07/2012,74.98,-0.011931734
23/07/2012,75.88,-0.008921602
20/07/2012,76.56,-0.005081113
19/07/2012,76.95,0.012948974
18/07/2012,75.96,-0.000263262
17/07/2012,75.98,-0.008909912
16/07/2012,76.66,0.003135618
13/07/2012,76.42,0.016492227
12/07/2012,75.17,0.005469233
11/07/2012,74.76,-0.005203134
10/07/2012,75.15,0.004400887
09/07/2012,74.82,-0.006527699
06/07/2012,75.31,-0.008462301
05/07/2012,75.95,-0.000921235
03/07/2012,76.02,-0.004855334
02/07/2012,76.39,0.011454276
29/06/2012,75.52,0.016959744
28/06/2012,74.25,0.008113635
27/06/2012,73.65,-0.002034589
26/06/2012,73.8,-0.004596466
25/06/2012,74.14,-0.019501085
22/06/2012,75.6,-0.003169575
21/06/2012,75.84,-0.008534155
20/06/2012,76.49,-0.000653467
19/06/2012,76.54,0.00458326
18/06/2012,76.19,0.005527785
15/06/2012,75.77,0.000924275
14/06/2012,75.7,-0.000924275
