Date,Close,XRX
29/06/2012,7.87,0.0179492
28/06/2012,7.73,0.010403215
27/06/2012,7.65,0.007874056
26/06/2012,7.59,0.00793655
25/06/2012,7.53,-0.036509922
22/06/2012,7.81,0.024628594
21/06/2012,7.62,-0.024628594
20/06/2012,7.81,0
19/06/2012,7.81,0.012886776
18/06/2012,7.71,-0.010322672
15/06/2012,7.79,0.02206449
14/06/2012,7.62,-0.001311476
13/06/2012,7.63,0.007894778
12/06/2012,7.57,0.006626929
11/06/2012,7.52,-0.02495205
08/06/2012,7.71,0.027615167
07/06/2012,7.5,0.008032172
06/06/2012,7.44,0.034179677
05/06/2012,7.19,0.014005831
04/06/2012,7.09,-0.004222385
01/06/2012,7.12,-0.013947227
31/05/2012,7.22,-0.002766253
30/05/2012,7.24,-0.009622067
29/05/2012,7.31,0.033382794
25/05/2012,7.07,0.018558705
24/05/2012,6.94,-0.035389397
23/05/2012,7.19,0
22/05/2012,7.19,-0.001389854
21/05/2012,7.2,0.006968669
18/05/2012,7.15,-0.016643935
17/05/2012,7.27,0.01106512
16/05/2012,7.19,-0.028788828
15/05/2012,7.4,-0.038440783
14/05/2012,7.69,0.007832938
11/05/2012,7.63,-0.001309758
10/05/2012,7.64,0
09/05/2012,7.64,-0.005221944
08/05/2012,7.68,-0.006489315
07/05/2012,7.73,0.014332493
04/05/2012,7.62,-0.011741818
03/05/2012,7.71,-0.015444322
02/05/2012,7.83,-0.012690526
01/05/2012,7.93,0.019096697
30/04/2012,7.78,-0.006406172
27/04/2012,7.83,-0.010165272
26/04/2012,7.91,-0.006301218
25/04/2012,7.96,0.005037794
24/04/2012,7.92,0.005063302
23/04/2012,7.88,0.001269841
20/04/2012,7.87,-0.005069719
19/04/2012,7.91,-0.006301218
18/04/2012,7.96,-0.005012542
17/04/2012,8,0.013845407
16/04/2012,7.89,0.0063573
13/04/2012,7.84,-0.015190165
12/04/2012,7.96,0.013915468
11/04/2012,7.85,0.015404669
10/04/2012,7.73,-0.009014871
09/04/2012,7.8,-0.008934329
05/04/2012,7.87,-0.003804697
04/04/2012,7.9,-0.020050797
03/04/2012,8.06,-0.011104371
02/04/2012,8.15,0.008626055
30/03/2012,8.08,-0.006169051
29/03/2012,8.13,-0.014652277
28/03/2012,8.25,-0.014440684
27/03/2012,8.37,-0.00119403
26/03/2012,8.38,0.019277705
23/03/2012,8.22,0.001217286
22/03/2012,8.21,-0.006071664
21/03/2012,8.26,0.001211387
20/03/2012,8.25,-0.009650256
19/03/2012,8.33,0.001201201
16/03/2012,8.32,-0.014320054
15/03/2012,8.44,-0.002366865
14/03/2012,8.46,0.004739345
13/03/2012,8.42,0.01676686
12/03/2012,8.28,0.003629768
09/03/2012,8.25,0
08/03/2012,8.25,0.019584469
07/03/2012,8.09,0.003715175
06/03/2012,8.06,-0.03414966
05/03/2012,8.34,0.008428707
02/03/2012,8.27,-0.015597197
01/03/2012,8.4,0.020445691
29/02/2012,8.23,-0.0084695
28/02/2012,8.3,-0.00839837
27/02/2012,8.37,0.001195457
24/02/2012,8.36,0.002395211
23/02/2012,8.34,0.023045289
22/02/2012,8.15,-0.002450982
21/02/2012,8.17,-0.015786606
17/02/2012,8.3,-0.0095924
16/02/2012,8.38,0.005984458
15/02/2012,8.33,-0.004790428
14/02/2012,8.37,0.042715463
13/02/2012,8.02,0.012547216
10/02/2012,7.92,-0.012547216
09/02/2012,8.02,0.001247661
08/02/2012,8.01,0.005006268
07/02/2012,7.97,0.003771218
06/02/2012,7.94,-0.002515725
03/02/2012,7.96,0.02158814
02/02/2012,7.79,0.001284522
01/02/2012,7.78,0.003863495
31/01/2012,7.75,0.002583981
30/01/2012,7.73,-0.019219041
27/01/2012,7.88,0.003814372
26/01/2012,7.85,0.005108568
25/01/2012,7.81,-0.104463827
24/01/2012,8.67,-0.006896579
23/01/2012,8.73,-0.003430535
20/01/2012,8.76,0.005724114
19/01/2012,8.71,0.026761341
18/01/2012,8.48,0.048318577
17/01/2012,8.08,0
13/01/2012,8.08,-0.006169051
12/01/2012,8.13,-0.007352974
11/01/2012,8.19,0.00981603
10/01/2012,8.11,0.002469137
09/01/2012,8.09,-0.001235331
06/01/2012,8.1,0
05/01/2012,8.1,-0.006153866
04/01/2012,8.15,-0.006116227
03/01/2012,8.2,0.029705154
