Date,Close,OI
04/05/2012,22.05,-0.028611697
03/05/2012,22.69,-0.015741471
02/05/2012,23.05,-0.015497512
01/05/2012,23.41,0.006858149
30/04/2012,23.25,-0.008565363
27/04/2012,23.45,-0.013553786
26/04/2012,23.77,-0.030248836
25/04/2012,24.5,0.027308275
24/04/2012,23.84,0.000839278
23/04/2012,23.82,-0.007111513
20/04/2012,23.99,0.003758618
19/04/2012,23.9,-0.014950445
18/04/2012,24.26,-0.009435967
17/04/2012,24.49,0.0114991
16/04/2012,24.21,0.021290723
13/04/2012,23.7,-0.004210533
12/04/2012,23.8,0.011834458
11/04/2012,23.52,0.066354227
10/04/2012,22.01,-0.018902453
09/04/2012,22.43,-0.006222242
05/04/2012,22.57,-0.019307313
04/04/2012,23.01,-0.007360934
03/04/2012,23.18,-0.008163311
02/04/2012,23.37,0.001284522
30/03/2012,23.34,-0.005554383
29/03/2012,23.47,-0.003827349
28/03/2012,23.56,-0.016835414
27/03/2012,23.96,0.004601556
26/03/2012,23.85,0.021187233
23/03/2012,23.35,-0.002566297
22/03/2012,23.41,-0.029463411
21/03/2012,24.11,0.001245072
20/03/2012,24.08,-0.019330234
19/03/2012,24.55,0.013946083
16/03/2012,24.21,-0.009864445
15/03/2012,24.45,0.010277583
14/03/2012,24.2,-0.01476647
13/03/2012,24.56,0.031433523
12/03/2012,23.8,-0.01252626
09/03/2012,24.1,0.01758103
08/03/2012,23.68,0.042706511
07/03/2012,22.69,-0.005274738
06/03/2012,22.81,-0.032775681
05/03/2012,23.57,-0.007186672
02/03/2012,23.74,-0.021667514
01/03/2012,24.26,0.014950445
29/02/2012,23.9,-0.010819914
28/02/2012,24.16,-0.014790738
27/02/2012,24.52,0.000815994
24/02/2012,24.5,0.011081583
23/02/2012,24.23,-0.001237369
22/02/2012,24.26,-0.013510953
21/02/2012,24.59,0.02220486
17/02/2012,24.05,-0.002906375
16/02/2012,24.12,0.011257155
15/02/2012,23.85,-0.006686193
14/02/2012,24.01,-0.011594333
13/02/2012,24.29,0.000411777
10/02/2012,24.28,-0.022399633
09/02/2012,24.83,0.004439967
08/02/2012,24.72,0.000404613
07/02/2012,24.71,-0.000809062
06/02/2012,24.73,0.003645943
03/02/2012,24.64,0.015542235
02/02/2012,24.26,-0.001235839
01/02/2012,24.29,0.009929746
31/01/2012,24.05,-0.015676889
30/01/2012,24.43,-0.009776045
27/01/2012,24.67,0.010595046
26/01/2012,24.41,0.049978908
25/01/2012,23.22,0.003451255
24/01/2012,23.14,-0.00474241
23/01/2012,23.25,-0.003863495
20/01/2012,23.34,-0.001284522
19/01/2012,23.37,0.023377688
18/01/2012,22.83,0.047083343
17/01/2012,21.78,-0.009595687
13/01/2012,21.99,-0.015343261
12/01/2012,22.33,0.031849826
11/01/2012,21.63,-0.000924214
10/01/2012,21.65,0.020532686
09/01/2012,21.21,-0.004234304
06/01/2012,21.3,0.029540023
05/01/2012,20.68,-0.001449626
04/01/2012,20.71,0.022955831
03/01/2012,20.24,0.043419238
30/12/2011,19.38,0.023493641
29/12/2011,18.93,0.04760228
28/12/2011,18.05,-0.032700461
27/12/2011,18.65,-0.023318492
23/12/2011,19.09,0.002097536
22/12/2011,19.05,0.031460872
21/12/2011,18.46,0.004343112
20/12/2011,18.38,0.040527334
19/12/2011,17.65,-0.035618679
16/12/2011,18.29,-0.001638897
15/12/2011,18.32,0.006571765
14/12/2011,18.2,-0.015267472
13/12/2011,18.48,-0.039782493
12/12/2011,19.23,-0.049705972
09/12/2011,20.21,0.016966475
08/12/2011,19.87,-0.039472317
07/12/2011,20.67,0.010700491
06/12/2011,20.45,0.008840922
05/12/2011,20.27,0.030555846
02/12/2011,19.66,0.00765896
01/12/2011,19.51,-0.00102459
30/11/2011,19.53,0.076039807
29/11/2011,18.1,-0.003859944
28/11/2011,18.17,0.041579023
25/11/2011,17.43,0.009221967
23/11/2011,17.27,-0.0519011
22/11/2011,18.19,-0.026045965
21/11/2011,18.67,-0.024862428
18/11/2011,19.14,-0.010395104
17/11/2011,19.34,-0.036053664
16/11/2011,20.05,-0.022195732
15/11/2011,20.5,-0.013084752
14/11/2011,20.77,0.012109618
11/11/2011,20.52,0.037234383
10/11/2011,19.77,0.014264124
09/11/2011,19.49,-0.084099668
08/11/2011,21.2,0.021454935
07/11/2011,20.75,-0.0095924
04/11/2011,20.95,0.020251415
03/11/2011,20.53,0.024656081
02/11/2011,20.03,0.030412886
01/11/2011,19.43,-0.032906031
31/10/2011,20.08,-0.056161902
28/10/2011,21.24,0.035949234
27/10/2011,20.49,0.051575885
26/10/2011,19.46,0.016058361
25/10/2011,19.15,-0.039923419
24/10/2011,19.93,0.034195728
21/10/2011,19.26,0.023641763
20/10/2011,18.81,0.029128273
19/10/2011,18.27,-0.008719401
18/10/2011,18.43,0.054067221
17/10/2011,17.46,-0.043704434
14/10/2011,18.24,0.0104713
13/10/2011,18.05,0.081336249
12/10/2011,16.64,0.042977762
11/10/2011,15.94,0
10/10/2011,15.94,0.001255493
07/10/2011,15.92,-0.020516728
06/10/2011,16.25,0.031887666
05/10/2011,15.74,0.070400651
04/10/2011,14.67,0.043894194
03/10/2011,14.04,-0.074107972
30/09/2011,15.12,-0.063421826
29/09/2011,16.11,0.006851475
28/09/2011,16,-0.067658648
27/09/2011,17.12,0.054002322
26/09/2011,16.22,0.019925939
23/09/2011,15.9,0
22/09/2011,15.9,-0.055059777
21/09/2011,16.8,-0.046520016
20/09/2011,17.6,-0.018018506
19/09/2011,17.92,-0.017699577
16/09/2011,18.24,-0.019006817
15/09/2011,18.59,0.021202208
14/09/2011,18.2,0.027292142
13/09/2011,17.71,0.050966444
12/09/2011,16.83,0.011353573
09/09/2011,16.64,-0.041206536
08/09/2011,17.34,-0.041237133
07/09/2011,18.07,0.042968735
06/09/2011,17.31,-0.021149688
02/09/2011,17.68,-0.039372981
01/09/2011,18.39,-0.029469049
31/08/2011,18.94,0.005824745
30/08/2011,18.83,0.022557347
29/08/2011,18.41,0.058149415
26/08/2011,17.37,0.016251083
25/08/2011,17.09,-0.019699362
24/08/2011,17.43,0.034435851
23/08/2011,16.84,0.043696272
22/08/2011,16.12,-0.022693399
19/08/2011,16.49,-0.035739361
18/08/2011,17.09,-0.062928097
17/08/2011,18.2,-0.019048195
16/08/2011,18.55,0.005405419
15/08/2011,18.45,0.020811266
12/08/2011,18.07,0.016178875
11/08/2011,17.78,0.036659317
10/08/2011,17.14,-0.097747009
09/08/2011,18.9,0.048234763
08/08/2011,18.01,-0.121170468
05/08/2011,20.33,-0.013193448
04/08/2011,20.6,-0.06620582
03/08/2011,22.01,0.004097433
02/08/2011,21.92,-0.050700053
01/08/2011,23.06,-0.004758824
29/07/2011,23.17,-0.015842763
28/07/2011,23.54,-0.093996272
27/07/2011,25.86,-0.036823291
26/07/2011,26.83,0.000372787
25/07/2011,26.82,0.000372926
22/07/2011,26.81,0.004111387
21/07/2011,26.7,0.038172574
20/07/2011,25.7,0.020043902
19/07/2011,25.19,0.03597074
18/07/2011,24.3,-0.054067221
15/07/2011,25.65,0.008613992
14/07/2011,25.43,-0.017927214
13/07/2011,25.89,0.007365802
12/07/2011,25.7,-0.002331909
11/07/2011,25.76,-0.025676827
08/07/2011,26.43,-0.012408507
07/07/2011,26.76,0.001121705
06/07/2011,26.73,0.015837435
05/07/2011,26.31,0.004953335
01/07/2011,26.18,0.014233747
30/06/2011,25.81,0.027495841
29/06/2011,25.11,0.000796813
28/06/2011,25.09,-0.00397773
27/06/2011,25.19,-0.014581539
24/06/2011,25.56,0.000391313
23/06/2011,25.55,-0.009737175
22/06/2011,25.8,0.005441133
21/06/2011,25.66,0.021667186
20/06/2011,25.11,-0.018544623
17/06/2011,25.58,0.020138884
16/06/2011,25.07,-0.018573938
15/06/2011,25.54,-0.145499426
14/06/2011,29.54,0.012261734
13/06/2011,29.18,-0.011245646
10/06/2011,29.51,-0.02575824
09/06/2011,30.28,0.016650401
08/06/2011,29.78,-0.017970534
07/06/2011,30.32,0.004959508
06/06/2011,30.17,-0.011534153
03/06/2011,30.52,-0.019468493
02/06/2011,31.12,0.004186128
01/06/2011,30.99,-0.035814317
31/05/2011,32.12,0.015372852
27/05/2011,31.63,0.015612871
26/05/2011,31.14,-0.001604364
25/05/2011,31.19,0.003533005
24/05/2011,31.08,-0.000643294
23/05/2011,31.1,-0.023201422
20/05/2011,31.83,-0.026354029
19/05/2011,32.68,0.010767678
18/05/2011,32.33,0.026643168
17/05/2011,31.48,-0.032502861
16/05/2011,32.52,-0.014652277
13/05/2011,33,-0.000302984
12/05/2011,33.01,0.010047276
11/05/2011,32.68,-0.003055303
10/05/2011,32.78,0.017231196
09/05/2011,32.22,0.013435603
06/05/2011,31.79,0.01745245
05/05/2011,31.24,-0.009557257
04/05/2011,31.54,-0.004428985
03/05/2011,31.68,0.028170877
02/05/2011,30.8,0.037378256
29/04/2011,29.67,-0.004707473
28/04/2011,29.81,-0.029418747
27/04/2011,30.7,0.005552848
26/04/2011,30.53,0.014849308
25/04/2011,30.08,-0.000664673
21/04/2011,30.1,0.005329793
20/04/2011,29.94,0.005694204
19/04/2011,29.77,0.007079079
18/04/2011,29.56,-0.014775286
15/04/2011,30,0.003004509
14/04/2011,29.91,0.015498963
13/04/2011,29.45,-0.005755899
12/04/2011,29.62,0.012570235
11/04/2011,29.25,-0.007493223
08/04/2011,29.47,-0.017824585
07/04/2011,30,-0.008959741
06/04/2011,30.27,0.00297767
05/04/2011,30.18,-0.003307975
04/04/2011,30.28,-0.006583302
01/04/2011,30.48,0.009559987
31/03/2011,30.19,-0.000662252
30/03/2011,30.21,-0.001984128
29/03/2011,30.27,0.010293964
28/03/2011,29.96,-0.013262794
25/03/2011,30.36,-0.003944778
24/03/2011,30.48,-0.000983768
23/03/2011,30.51,0.014859114
22/03/2011,30.06,-0.002657809
21/03/2011,30.14,0.019431097
18/03/2011,29.56,0.013281312
17/03/2011,29.17,0.002746311
16/03/2011,29.09,-0.014673527
15/03/2011,29.52,0.003733247
14/03/2011,29.41,-0.043253582
11/03/2011,30.71,0.010803837
10/03/2011,30.38,-0.01567635
09/03/2011,30.86,0.009441711
08/03/2011,30.57,0.02249516
07/03/2011,29.89,-0.008660947
04/03/2011,30.15,-0.0039722
03/03/2011,30.27,0.024073379
02/03/2011,29.55,-0.003378382
01/03/2011,29.65,-0.027936636
28/02/2011,30.49,0.000656168
25/02/2011,30.47,0.014545711
24/02/2011,30.03,0.0009995
23/02/2011,30,-0.003659961
22/02/2011,30.11,-0.049880806
18/02/2011,31.65,0.009842912
17/02/2011,31.34,0.007044538
16/02/2011,31.12,0.023408091
15/02/2011,30.4,-0.007210782
14/02/2011,30.62,-0.006834852
11/02/2011,30.83,0.019984285
10/02/2011,30.22,-0.001653166
09/02/2011,30.27,-0.002639394
08/02/2011,30.35,0.015607157
07/02/2011,29.88,0.003688185
04/02/2011,29.77,-0.002013423
03/02/2011,29.83,0.010107903
02/02/2011,29.53,-0.009101698
01/02/2011,29.8,0.010457171
31/01/2011,29.49,-0.001694054
28/01/2011,29.54,-0.040794912
27/01/2011,30.77,-0.042004266
26/01/2011,32.09,-0.008378637
25/01/2011,32.36,0.017456802
24/01/2011,31.8,-0.000314416
21/01/2011,31.81,0.00947575
20/01/2011,31.51,0.002223988
19/01/2011,31.44,-0.008866429
18/01/2011,31.72,0.002525254
14/01/2011,31.64,-0.011626211
13/01/2011,32.01,-0.006849342
12/01/2011,32.23,0.015950299
11/01/2011,31.72,0.005690815
10/01/2011,31.54,0.007638484
07/01/2011,31.3,-0.0050988
06/01/2011,31.46,-0.010749392
05/01/2011,31.8,0.003465116
04/01/2011,31.69,0.022336602
03/01/2011,30.99,0.009401917
31/12/2010,30.7,-0.006169852
30/12/2010,30.89,0.002268677
29/12/2010,30.82,0.001948685
28/12/2010,30.76,-0.002921606
27/12/2010,30.85,0.011082252
23/12/2010,30.51,-0.000655308
22/12/2010,30.53,0.001967214
21/12/2010,30.47,0.021227994
20/12/2010,29.83,-0.004682283
17/12/2010,29.97,-0.00896867
16/12/2010,30.24,0.003312358
15/12/2010,30.14,-0.003642991
14/12/2010,30.25,0.000992228
13/12/2010,30.22,0.011314597
10/12/2010,29.88,0.015854608
09/12/2010,29.41,0.027228978
08/12/2010,28.62,-0.01146443
07/12/2010,28.95,0.00207469
06/12/2010,28.89,-0.000692042
03/12/2010,28.91,0.031269015
02/12/2010,28.02,0.007163354
01/12/2010,27.82,0.034372671
30/11/2010,26.88,-0.007412932
29/11/2010,27.08,-0.002949855
26/11/2010,27.16,-0.008797711
24/11/2010,27.4,0.006958461
23/11/2010,27.21,-0.016764241
