Date,Close,HPQ
15/03/2012,24.4,0.002462045
14/03/2012,24.34,-0.009405099
13/03/2012,24.57,0.021807077
12/03/2012,24.04,-0.005806736
09/03/2012,24.18,-0.018845293
08/03/2012,24.64,0.011428696
07/03/2012,24.36,0.007830248
06/03/2012,24.17,-0.03416355
05/03/2012,25.01,-0.012318852
02/03/2012,25.32,0.002768442
01/03/2012,25.25,-0.002373419
29/02/2012,25.31,-0.033796186
28/02/2012,26.18,-0.002670229
27/02/2012,26.25,-0.014747857
24/02/2012,26.64,-0.01527316
23/02/2012,27.05,-0.067537716
22/02/2012,28.94,-0.014067825
21/02/2012,29.35,-0.00814392
17/02/2012,29.59,-0.01008751
16/02/2012,29.89,0.026098753
15/02/2012,29.12,0.001374571
14/02/2012,29.08,0.011412885
13/02/2012,28.75,0.001740644
10/02/2012,28.7,-0.014184635
09/02/2012,29.11,-0.011951653
08/02/2012,29.46,0.017463207
07/02/2012,28.95,0.006584671
06/02/2012,28.76,-0.010721182
03/02/2012,29.07,0.019802627
02/02/2012,28.5,-0.009081446
01/02/2012,28.76,0.027495564
31/01/2012,27.98,0.003580383
30/01/2012,27.88,0
27/01/2012,27.88,-0.003937718
26/01/2012,27.99,-0.011720965
25/01/2012,28.32,-0.007037327
24/01/2012,28.52,-0.00559442
23/01/2012,28.68,0.019363393
20/01/2012,28.13,0.035459576
19/01/2012,27.15,0.00554018
18/01/2012,27,0.020202707
17/01/2012,26.46,-0.001133145
13/01/2012,26.49,-0.017215994
12/01/2012,26.95,0.011569452
11/01/2012,26.64,-0.001875118
10/01/2012,26.69,0.009410948
09/01/2012,26.44,0.001514005
06/01/2012,26.4,-0.003780723
05/01/2012,26.5,-0.003766483
04/01/2012,26.6,-0.000751597
03/01/2012,26.62,0.032839912
30/12/2011,25.76,0.005449605
29/12/2011,25.62,0.016529302
28/12/2011,25.2,-0.017699577
27/12/2011,25.65,-0.008926898
23/12/2011,25.88,0.000773096
22/12/2011,25.86,0.016374635
21/12/2011,25.44,-0.018306256
20/12/2011,25.91,0.030566643
19/12/2011,25.13,-0.027861327
16/12/2011,25.84,-0.012307848
15/12/2011,26.16,-0.008374621
14/12/2011,26.38,-0.01579574
13/12/2011,26.8,-0.019948944
12/12/2011,27.34,-0.020275858
09/12/2011,27.9,0.008639363
08/12/2011,27.66,-0.02675387
07/12/2011,28.41,0.008128689
06/12/2011,28.18,0.00213144
05/12/2011,28.12,0.015770936
02/12/2011,27.68,-0.019320816
01/12/2011,28.22,0.009613747
30/11/2011,27.95,0.038290913
29/11/2011,26.9,0.013850118
28/11/2011,26.53,0.043920772
25/11/2011,25.39,-0.015243602
23/11/2011,25.78,-0.033190153
22/11/2011,26.65,-0.00784904
21/11/2011,26.86,-0.041209112
18/11/2011,27.99,0.025326969
17/11/2011,27.29,-0.023181045
16/11/2011,27.93,-0.011038033
15/11/2011,28.24,0.033120378
14/11/2011,27.32,-0.009471838
11/11/2011,27.58,0.030182637
10/11/2011,26.76,0.016199262
09/11/2011,26.33,-0.055764862
08/11/2011,27.84,-0.00143575
07/11/2011,27.88,0.033184449
04/11/2011,26.97,0.004831825
03/11/2011,26.84,0.035264318
02/11/2011,25.91,0.010475363
01/11/2011,25.64,-0.037133453
31/10/2011,26.61,-0.048772269
28/10/2011,27.94,0.034592927
27/10/2011,26.99,0.0470318
26/10/2011,25.75,0.0275608
25/10/2011,25.05,-0.037991646
24/10/2011,26.02,0.024904011
21/10/2011,25.38,0.025540095
20/10/2011,24.74,-0.009654138
19/10/2011,24.98,-0.024907396
18/10/2011,25.61,0.029722814
17/10/2011,24.86,-0.049058297
14/10/2011,26.11,0.018554842
13/10/2011,25.63,-0.009320456
12/10/2011,25.87,-0.001930875
11/10/2011,25.92,0.006968669
10/10/2011,25.74,0.033981934
07/10/2011,24.88,-0.00680956
06/10/2011,25.05,0.048670411
05/10/2011,23.86,0.035840013
04/10/2011,23.02,0.036271114
03/10/2011,22.2,-0.011198325
30/09/2011,22.45,-0.057554277
29/09/2011,23.78,0.02512374
28/09/2011,23.19,-0.017101742
27/09/2011,23.59,0.038017537
26/09/2011,22.71,0.017322219
23/09/2011,22.32,-0.021277398
22/09/2011,22.8,-0.050459614
21/09/2011,23.98,0.065039063
20/09/2011,22.47,-0.01939241
19/09/2011,22.91,-0.026702706
16/09/2011,23.53,0.011111225
15/09/2011,23.27,0.01471888
14/09/2011,22.93,0.010081172
13/09/2011,22.7,0.005300366
12/09/2011,22.58,-0.003095293
09/09/2011,22.65,-0.052462588
08/09/2011,23.87,-0.011247775
07/09/2011,24.14,0.021353124
06/09/2011,23.63,-0.029603996
02/09/2011,24.34,-0.053201907
01/09/2011,25.67,-0.013926724
31/08/2011,26.03,-0.000768049
30/08/2011,26.05,-0.002683536
29/08/2011,26.12,0.051051525
26/08/2011,24.82,-0.008425326
25/08/2011,25.03,-0.007165636
24/08/2011,25.21,0.026936302
23/08/2011,24.54,0.003674223
22/08/2011,24.45,0.035383504
19/08/2011,23.6,-0.223482477
18/08/2011,29.51,-0.061760182
17/08/2011,31.39,-0.038129619
16/08/2011,32.61,0.005535069
15/08/2011,32.43,0.003397687
12/08/2011,32.32,0.040087425
11/08/2011,31.05,0.039079016
10/08/2011,29.86,-0.054419681
09/08/2011,31.53,0.023100161
08/08/2011,30.81,-0.057392798
05/08/2011,32.63,0.002762009
04/08/2011,32.54,-0.052091992
03/08/2011,34.28,-0.002039925
02/08/2011,34.35,-0.024444064
01/08/2011,35.2,0.000852636
29/07/2011,35.17,-0.029694058
28/07/2011,36.23,-0.01561034
27/07/2011,36.8,-0.018042768
26/07/2011,37.47,0.010193221
25/07/2011,37.09,0.010570636
22/07/2011,36.7,0.01288925
21/07/2011,36.23,0.026571274
20/07/2011,35.28,-0.009310266
19/07/2011,35.61,0.01670717
18/07/2011,35.02,-0.001996863
15/07/2011,35.09,-0.001139277
14/07/2011,35.13,-0.008785659
13/07/2011,35.44,0.004808381
12/07/2011,35.27,-0.000566893
11/07/2011,35.29,-0.031792973
08/07/2011,36.43,-0.000548847
07/07/2011,36.45,0.00688234
06/07/2011,36.2,-0.007430886
05/07/2011,36.47,-0.015778347
01/07/2011,37.05,0.017699577
30/06/2011,36.4,0.023628618
29/06/2011,35.55,0.013023967
28/06/2011,35.09,0.00313972
27/06/2011,34.98,0.00228964
24/06/2011,34.9,-0.009411163
23/06/2011,35.23,0.003127224
22/06/2011,35.12,-0.005112195
21/06/2011,35.3,0.008820658
20/06/2011,34.99,-0.000285755
17/06/2011,35,0.00085751
16/06/2011,34.97,0.020512058
15/06/2011,34.26,-0.013625374
14/06/2011,34.73,0.002306141
13/06/2011,34.65,-0.017167804
10/06/2011,35.25,-0.005939771
09/06/2011,35.46,0.002824063
08/06/2011,35.36,-0.005921348
07/06/2011,35.57,-0.010904624
06/06/2011,35.96,-0.004162626
03/06/2011,36.11,-0.008822776
02/06/2011,36.43,-0.005474966
01/06/2011,36.63,-0.020268225
