Date,Close,PM
14/01/2013,89.07,-0.001794728
11/01/2013,89.23,0.021981397
10/01/2013,87.29,0.016867313
09/01/2013,85.83,-0.003024665
08/01/2013,86.09,-0.001856795
07/01/2013,86.25,-0.003125545
04/01/2013,86.52,0.007657538
03/01/2013,85.86,-0.010197076
02/01/2013,86.74,0.036393264
31/12/2012,83.64,0.01190705
28/12/2012,82.65,-0.013460124
27/12/2012,83.77,0.009836932
26/12/2012,82.95,-0.009478744
24/12/2012,83.74,-0.014346088
21/12/2012,84.95,-0.006453528
20/12/2012,85.5,0.009991267
19/12/2012,84.65,-0.021734906
18/12/2012,86.51,-0.010120845
17/12/2012,87.39,-0.004111003
14/12/2012,87.75,-0.005115101
13/12/2012,88.2,-0.006554436
12/12/2012,88.78,0.003610927
11/12/2012,88.46,-0.006872105
10/12/2012,89.07,-0.004480796
07/12/2012,89.47,0.00898176
06/12/2012,88.67,0.001580136
05/12/2012,88.53,-0.004732936
04/12/2012,88.95,-0.009510561
03/12/2012,89.8,-0.000890472
30/11/2012,89.88,-0.004994184
29/11/2012,90.33,0.004660461
28/11/2012,89.91,0.008713192
27/11/2012,89.13,-0.008268204
26/11/2012,89.87,-0.005990699
23/11/2012,90.41,0.018869538
21/11/2012,88.72,0.00701281
20/11/2012,88.1,0.014174906
19/11/2012,86.86,0.022470239
16/11/2012,84.93,0.011367796
15/11/2012,83.97,0.018995522
14/11/2012,82.39,-0.02434027
13/11/2012,84.42,-0.006611594
12/11/2012,84.98,-0.005164331
09/11/2012,85.42,-0.001520735
08/11/2012,85.55,-0.009307804
07/11/2012,86.35,-0.011972055
06/11/2012,87.39,0.006889452
05/11/2012,86.79,-0.001611789
02/11/2012,86.93,-0.007563639
01/11/2012,87.59,-0.011013452
31/10/2012,88.56,0.003166707
26/10/2012,88.28,0.006249665
25/10/2012,87.73,0
24/10/2012,87.73,-0.002049648
23/10/2012,87.91,-0.014567476
22/10/2012,89.2,0.012181518
19/10/2012,88.12,0.001362707
18/10/2012,88,-0.042819997
17/10/2012,91.85,-0.007268026
16/10/2012,92.52,0.004984299
15/10/2012,92.06,0.003918159
12/10/2012,91.7,0.009422662
11/10/2012,90.84,0.00066072
10/10/2012,90.78,-0.007899975
09/10/2012,91.5,-0.020016898
08/10/2012,93.35,-0.004169123
05/10/2012,93.74,0.004597709
04/10/2012,93.31,0.005803972
03/10/2012,92.77,0.0099665
02/10/2012,91.85,0.012489207
