Date,Close,JCI
08/05/2013,35.78,0.000838809
07/05/2013,35.75,0.012100893
06/05/2013,35.32,0.012249121
03/05/2013,34.89,0.015016164
02/05/2013,34.37,-0.003485336
01/05/2013,34.49,-0.014964308
30/04/2013,35.01,-0.002567396
29/04/2013,35.1,0.000284941
26/04/2013,35.09,-0.000569801
25/04/2013,35.11,0.025091439
24/04/2013,34.24,0.022147664
23/04/2013,33.49,0.01020417
22/04/2013,33.15,0.015504187
19/04/2013,32.64,0.014504189
18/04/2013,32.17,-0.011435761
17/04/2013,32.54,-0.026684421
16/04/2013,33.42,0.011435575
15/04/2013,33.04,-0.030698283
12/04/2013,34.07,0.002645115
11/04/2013,33.98,0.000588755
10/04/2013,33.96,0.013637923
09/04/2013,33.5,0.006288387
08/04/2013,33.29,0.008143613
05/04/2013,33.02,-0.009644439
04/04/2013,33.34,-0.013111034
03/04/2013,33.78,-0.012649088
02/04/2013,34.21,-0.006410278
01/04/2013,34.43,-0.018417787
28/03/2013,35.07,-0.000570125
27/03/2013,35.09,0.001140576
26/03/2013,35.05,0.012632956
25/03/2013,34.61,-0.005187332
22/03/2013,34.79,-0.002010051
21/03/2013,34.86,-0.005435573
20/03/2013,35.05,0.008020667
19/03/2013,34.77,0.001151079
18/03/2013,34.73,-0.006886684
15/03/2013,34.97,0.001144492
14/03/2013,34.93,0.013256678
13/03/2013,34.47,0.005527287
12/03/2013,34.28,0.009084312
11/03/2013,33.97,0.007090133
08/03/2013,33.73,0.009532393
07/03/2013,33.41,0.023623146
06/03/2013,32.63,0.019496208
05/03/2013,32,0.016065868
04/03/2013,31.49,0
01/03/2013,31.49,0.000635324
28/02/2013,31.47,0.001908398
27/02/2013,31.41,0.018638072
26/02/2013,30.83,0.005203264
25/02/2013,30.67,-0.020652557
22/02/2013,31.31,-0.011432325
21/02/2013,31.67,-0.0053535
20/02/2013,31.84,-0.019285201
19/02/2013,32.46,0.009907202
15/02/2013,32.14,0.009692119
14/02/2013,31.83,0.005671093
13/02/2013,31.65,0.007293516
12/02/2013,31.42,0.007988539
11/02/2013,31.17,0.000641849
08/02/2013,31.15,0.017160855
07/02/2013,30.62,-0.023241847
06/02/2013,31.34,-0.000956785
05/02/2013,31.37,0.01736378
04/02/2013,30.83,-0.013211083
01/02/2013,31.24,0.004813101
31/01/2013,31.09,0.001287416
30/01/2013,31.05,-0.001930503
29/01/2013,31.11,0.007096804
28/01/2013,30.89,-0.001617338
25/01/2013,30.94,0.00194112
24/01/2013,30.88,0.004869349
23/01/2013,30.73,-0.003897374
22/01/2013,30.85,-0.005172983
18/01/2013,31.01,-0.030175388
17/01/2013,31.96,0.012277818
16/01/2013,31.57,-0.00788772
15/01/2013,31.82,0.002832417
14/01/2013,31.73,0.001892745
11/01/2013,31.67,0.005699825
10/01/2013,31.49,0.002225402
09/01/2013,31.42,0.007347102
08/01/2013,31.19,-0.010841943
07/01/2013,31.53,0.004450103
04/01/2013,31.39,-0.012976919
03/01/2013,31.8,0.009796255
02/01/2013,31.49,0.026385057
31/12/2012,30.67,0.018427636
28/12/2012,30.11,-0.008927155
27/12/2012,30.38,0.004949688
26/12/2012,30.23,0.002649886
24/12/2012,30.15,0.00099552
21/12/2012,30.12,0.003658743
20/12/2012,30.01,0.008365449
19/12/2012,29.76,0.018311804
18/12/2012,29.22,0.018304776
17/12/2012,28.69,0.017226652
14/12/2012,28.2,-0.006010271
13/12/2012,28.37,-0.009821194
12/12/2012,28.65,-0.003136437
11/12/2012,28.74,0.005232874
10/12/2012,28.59,0.015864955
07/12/2012,28.14,0.020101179
06/12/2012,27.58,0.006182962
05/12/2012,27.41,-0.007270116
04/12/2012,27.61,0.012024193
03/12/2012,27.28,-0.00948566
30/11/2012,27.54,-0.0047093
29/11/2012,27.67,0.003983348
28/11/2012,27.56,0.021640309
27/11/2012,26.97,-0.004070311
26/11/2012,27.08,-0.005156549
23/11/2012,27.22,0.017043762
21/11/2012,26.76,0.021530577
20/11/2012,26.19,0.00612794
19/11/2012,26.03,0.036780359
16/11/2012,25.09,-0.000796813
15/11/2012,25.11,0.006793233
14/11/2012,24.94,-0.009179869
13/11/2012,25.17,-0.014593041
12/11/2012,25.54,0.000783392
09/11/2012,25.52,-0.002739192
08/11/2012,25.59,-0.012813221
07/11/2012,25.92,-0.030397477
06/11/2012,26.72,0.008267616
05/11/2012,26.5,0.009478744
02/11/2012,26.25,0.008032172
01/11/2012,26.04,0.01119919
31/10/2012,25.75,-0.002327387
26/10/2012,25.81,-0.013469513
25/10/2012,26.16,0.011534153
24/10/2012,25.86,-0.011916343
23/10/2012,26.17,-0.009507583
22/10/2012,26.42,0.008743641
19/10/2012,26.19,-0.021156815
18/10/2012,26.75,0.0158255
17/10/2012,26.33,0.00190078
16/10/2012,26.28,0.010711656
15/10/2012,26,0.005012542
12/10/2012,25.87,-0.013819798
11/10/2012,26.23,0.006118566
10/10/2012,26.07,-0.029480593
09/10/2012,26.85,-0.027912205
08/10/2012,27.61,-0.00865494
05/10/2012,27.85,-0.00107662
04/10/2012,27.88,0.01190705
03/10/2012,27.55,0
02/10/2012,27.55,-0.003623192
01/10/2012,27.65,0.009082715
28/09/2012,27.4,-0.007997135
27/09/2012,27.62,0.007267474
26/09/2012,27.42,-0.002549628
25/09/2012,27.49,-0.035730846
24/09/2012,28.49,0.001404988
21/09/2012,28.45,-0.008400469
20/09/2012,28.69,-0.013502023
19/09/2012,29.08,0.022605727
18/09/2012,28.43,-0.009800568
17/09/2012,28.71,-0.016923215
14/09/2012,29.2,0.014488008
13/09/2012,28.78,0.009425799
12/09/2012,28.51,0.013062851
11/09/2012,28.14,0.015398693
10/09/2012,27.71,-0.002162942
07/09/2012,27.77,0.010133999
06/09/2012,27.49,0.029158737
05/09/2012,26.7,-0.005602256
04/09/2012,26.85,-0.013318732
31/08/2012,27.21,0.002207506
30/08/2012,27.15,0
29/08/2012,27.15,0.004429686
28/08/2012,27.03,0.003706453
27/08/2012,26.93,-0.001854944
24/08/2012,26.98,0.002597886
23/08/2012,26.91,-0.007404699
22/08/2012,27.11,0.004436236
21/08/2012,26.99,-0.01032077
20/08/2012,27.27,-0.004025623
17/08/2012,27.38,0.013975954
16/08/2012,27,0.024368591
15/08/2012,26.35,0.004564481
14/08/2012,26.23,0.003819714
13/08/2012,26.13,0.000765697
10/08/2012,26.11,0.007689388
09/08/2012,25.91,0.014774763
08/08/2012,25.53,-0.019011242
07/08/2012,26.02,0.041991651
06/08/2012,24.95,0.014533966
03/08/2012,24.59,0.031394565
02/08/2012,23.83,-0.019942497
01/08/2012,24.31,-0.013889112
31/07/2012,24.65,-0.00243112
30/07/2012,24.71,-0.014064929
27/07/2012,25.06,0.037402734
26/07/2012,24.14,0.019239406
25/07/2012,23.68,0.007204947
24/07/2012,23.51,-0.041655335
23/07/2012,24.51,-0.030932372
20/07/2012,25.28,-0.030771659
19/07/2012,26.07,-0.082783041
18/07/2012,28.32,0.029745967
17/07/2012,27.49,0.002184997
16/07/2012,27.43,-0.004728141
13/07/2012,27.56,0.0339516
12/07/2012,26.64,-0.009340625
11/07/2012,26.89,0.004472613
10/07/2012,26.77,0.000747384
09/07/2012,26.75,-0.010412887
06/07/2012,27.03,-0.025928055
05/07/2012,27.74,-0.002520253
03/07/2012,27.81,0.028078417
02/07/2012,27.04,-0.024476108
29/06/2012,27.71,0.037504395
28/06/2012,26.69,-0.007093552
27/06/2012,26.88,0.007093552
26/06/2012,26.69,0.004506204
25/06/2012,26.57,-0.014200538
22/06/2012,26.95,-0.015464226
21/06/2012,27.37,-0.037293673
20/06/2012,28.41,-0.011896571
19/06/2012,28.75,0.025005705
18/06/2012,28.04,-0.006044463
15/06/2012,28.21,0.008186556
14/06/2012,27.98,0
13/06/2012,27.98,-0.021916749
12/06/2012,28.6,0.009132484
11/06/2012,28.34,-0.038759177
08/06/2012,29.46,0.000339501
07/06/2012,29.45,-0.005080451
06/06/2012,29.6,0.025317808
05/06/2012,28.86,0.009049836
04/06/2012,28.6,-0.01492306
01/06/2012,29.03,-0.037523415
31/05/2012,30.14,-0.012529013
30/05/2012,30.52,-0.023957119
29/05/2012,31.26,0.023302025
25/05/2012,30.54,-0.009450942
24/05/2012,30.83,-0.000324307
23/05/2012,30.84,0.015686596
22/05/2012,30.36,0.001318392
21/05/2012,30.32,0.025723817
18/05/2012,29.55,-0.02934522
17/05/2012,30.43,-0.028189134
16/05/2012,31.3,-0.00255265
15/05/2012,31.38,-0.012036889
14/05/2012,31.76,-0.001887387
11/05/2012,31.82,0.000943248
10/05/2012,31.79,0.005678249
09/05/2012,31.61,-0.005048922
08/05/2012,31.77,0.006631952
07/05/2012,31.56,-0.00158303
04/05/2012,31.61,-0.028996576
03/05/2012,32.54,0.003694585
02/05/2012,32.42,0.001234568
01/05/2012,32.38,0.012742985
30/04/2012,31.97,-0.011197629
27/04/2012,32.33,0.009634884
26/04/2012,32.02,0.011306653
25/04/2012,31.66,0.020421897
24/04/2012,31.02,-0.009305378
23/04/2012,31.31,-0.020547586
20/04/2012,31.96,-0.0121289
19/04/2012,32.35,-0.015033264
18/04/2012,32.84,-0.009697046
17/04/2012,33.16,0.023185907
16/04/2012,32.4,-0.005233196
13/04/2012,32.57,0.022982378
12/04/2012,31.83,0.030948394
11/04/2012,30.86,0.006828185
10/04/2012,30.65,-0.021943443
09/04/2012,31.33,-0.012371292
05/04/2012,31.72,-0.003147626
04/04/2012,31.82,-0.024217265
03/04/2012,32.6,-0.007639457
02/04/2012,32.85,0.01132723
30/03/2012,32.48,0.006486509
29/03/2012,32.27,0.004347833
28/03/2012,32.13,-0.012372567
