Date,Close,FDX
17/09/2012,89.28,-0.009697451
14/09/2012,90.15,-0.002326742
13/09/2012,90.36,0.014266849
12/09/2012,89.08,0.004274953
11/09/2012,88.7,0.008377724
10/09/2012,87.96,0.006615742
07/09/2012,87.38,-0.001829408
06/09/2012,87.54,0.020076825
05/09/2012,85.8,-0.020076825
04/09/2012,87.54,-0.001027573
31/08/2012,87.63,0.00503376
30/08/2012,87.19,-0.00503376
29/08/2012,87.63,0.001941859
28/08/2012,87.46,-0.006155268
27/08/2012,88,-0.012085763
24/08/2012,89.07,0.00236048
23/08/2012,88.86,-0.007623355
22/08/2012,89.54,-0.008562743
21/08/2012,90.31,0.003660773
20/08/2012,89.98,-0.000222247
17/08/2012,90,0.00289307
16/08/2012,89.74,0.002119472
15/08/2012,89.55,0.022244467
14/08/2012,87.58,-0.002167095
13/08/2012,87.77,-0.000341744
10/08/2012,87.8,-0.009747329
09/08/2012,88.66,-0.007304634
08/08/2012,89.31,-0.005694204
07/08/2012,89.82,-0.003334448
06/08/2012,90.12,0.003334448
03/08/2012,89.82,0.021380358
02/08/2012,87.92,-0.010522245
01/08/2012,88.85,-0.016187906
31/07/2012,90.3,-0.00761215
30/07/2012,90.99,0.001099626
27/07/2012,90.89,0.02608262
26/07/2012,88.55,0.015019056
25/07/2012,87.23,-0.005031457
24/07/2012,87.67,-0.017973694
23/07/2012,89.26,-0.009144705
20/07/2012,90.08,-0.029640711
19/07/2012,92.79,0.000754676
18/07/2012,92.72,0.015981207
17/07/2012,91.25,-0.007315641
16/07/2012,91.92,-0.004667073
13/07/2012,92.35,0.031347081
12/07/2012,89.5,-0.012325957
11/07/2012,90.61,0.00143575
10/07/2012,90.48,-0.007158227
09/07/2012,91.13,-0.001644647
06/07/2012,91.28,-0.009051809
05/07/2012,92.11,-0.005305627
03/07/2012,92.6,0.011513106
02/07/2012,91.54,-0.000764401
29/06/2012,91.61,0.031266405
28/06/2012,88.79,0.010074226
27/06/2012,87.9,0.003989746
26/06/2012,87.55,-0.014289198
25/06/2012,88.81,-0.019292486
22/06/2012,90.54,-0.000993542
21/06/2012,90.63,-0.007803524
20/06/2012,91.34,0.003619417
19/06/2012,91.01,0.027853851
18/06/2012,88.51,0.009992135
15/06/2012,87.63,0.00905606
14/06/2012,86.84,0.007513183
13/06/2012,86.19,-0.017253706
12/06/2012,87.69,0.016210046
11/06/2012,86.28,-0.014840652
08/06/2012,87.57,0.016929062
07/06/2012,86.1,-0.008442773
06/06/2012,86.83,0.029095936
05/06/2012,84.34,-0.010145186
04/06/2012,85.2,-0.000586682
01/06/2012,85.25,-0.044620051
31/05/2012,89.14,0.002358624
30/05/2012,88.93,-0.022790159
29/05/2012,90.98,0.018862204
25/05/2012,89.28,-0.008254369
24/05/2012,90.02,0.014321122
23/05/2012,88.74,0.021528253
22/05/2012,86.85,0.001728609
21/05/2012,86.7,0.018979437
18/05/2012,85.07,-0.019786493
17/05/2012,86.77,-0.012825093
16/05/2012,87.89,0.000910643
15/05/2012,87.81,0.000341705
14/05/2012,87.78,-0.000227816
11/05/2012,87.8,0.013184484
10/05/2012,86.65,-0.00552424
09/05/2012,87.13,-0.020785574
08/05/2012,88.96,-0.004598225
07/05/2012,89.37,0.000783568
04/05/2012,89.3,0.00493939
03/05/2012,88.86,-0.005499144
02/05/2012,89.35,0.003475535
01/05/2012,89.04,0.009025332
30/04/2012,88.24,0
27/04/2012,88.24,0.007850316
26/04/2012,87.55,-0.007623636
25/04/2012,88.22,-0.00812829
24/04/2012,88.94,0.009375951
23/04/2012,88.11,-0.017550231
20/04/2012,89.67,0.003127446
19/04/2012,89.39,-0.011124823
18/04/2012,90.39,-0.000774122
17/04/2012,90.46,0.025527584
16/04/2012,88.18,0.001702514
13/04/2012,88.03,-0.020352645
12/04/2012,89.84,0.021716747
11/04/2012,87.91,0.014667388
10/04/2012,86.63,-0.021017336
09/04/2012,88.47,-0.02147013
05/04/2012,90.39,-0.002761975
04/04/2012,90.64,-0.00933406
03/04/2012,91.49,-0.007621988
02/04/2012,92.19,0.002497965
30/03/2012,91.96,0.002395211
29/03/2012,91.74,0.002728812
28/03/2012,91.49,-0.004471353
27/03/2012,91.9,-0.009422282
26/03/2012,92.77,0.004212807
