Date,Close,ROP
19/04/2012,96.95,-0.019306999
18/04/2012,98.84,-0.010667305
17/04/2012,99.9,0.019712541
16/04/2012,97.95,0.002657945
13/04/2012,97.69,-0.009272062
12/04/2012,98.6,0.022980084
11/04/2012,96.36,0.011691156
10/04/2012,95.24,-0.017692209
09/04/2012,96.94,-0.011589279
05/04/2012,98.07,-0.001935517
04/04/2012,98.26,-0.008613318
03/04/2012,99.11,-0.001512326
02/04/2012,99.26,0.001007963
30/03/2012,99.16,0.003839552
29/03/2012,98.78,-0.0037387
28/03/2012,99.15,-0.015611245
27/03/2012,100.71,0.00218688
26/03/2012,100.49,0.007892543
23/03/2012,99.7,0.004020106
22/03/2012,99.3,-0.005323168
21/03/2012,99.83,0.000500977
20/03/2012,99.78,0.003413315
19/03/2012,99.44,0.000402334
16/03/2012,99.4,0.003224509
15/03/2012,99.08,-0.00070625
14/03/2012,99.15,0.012993788
13/03/2012,97.87,0.023990397
12/03/2012,95.55,0.005246602
09/03/2012,95.05,0.008558349
08/03/2012,94.24,0.013245227
07/03/2012,93,0.014622519
06/03/2012,91.65,-0.020519078
05/03/2012,93.55,0.000213812
02/03/2012,93.53,0.001390895
01/03/2012,93.4,0.020333818
29/02/2012,91.52,-0.018082892
28/02/2012,93.19,-0.013959415
27/02/2012,94.5,-0.000846203
24/02/2012,94.58,0.002646765
23/02/2012,94.33,-0.007077619
22/02/2012,95,-0.003047982
21/02/2012,95.29,0.006633349
17/02/2012,94.66,0.001480072
16/02/2012,94.52,0.012455582
15/02/2012,93.35,-0.009170463
14/02/2012,94.21,-0.000848806
13/02/2012,94.29,0.011520127
10/02/2012,93.21,-0.012897903
09/02/2012,94.42,-0.000105904
08/02/2012,94.43,-0.001798657
07/02/2012,94.6,0.003070248
06/02/2012,94.31,0.004782918
03/02/2012,93.86,0.004591818
02/02/2012,93.43,-0.03212324
01/02/2012,96.48,0.03255146
31/01/2012,93.39,-0.010121005
30/01/2012,94.34,-0.000317948
27/01/2012,94.37,0.0012724
26/01/2012,94.25,-0.011078984
25/01/2012,95.3,0.003152919
24/01/2012,95,0.008987636
23/01/2012,94.15,0.000743771
20/01/2012,94.08,-0.007412932
19/01/2012,94.78,0.012314381
18/01/2012,93.62,0.007289912
17/01/2012,92.94,0.00129199
13/01/2012,92.82,0.002157033
12/01/2012,92.62,0.006064563
11/01/2012,92.06,0.004463564
10/01/2012,91.65,0.013732707
09/01/2012,90.4,0.006213957
06/01/2012,89.84,0.004126937
05/01/2012,89.47,0.016339312
04/01/2012,88.02,-0.002156274
03/01/2012,88.21,0.015307587
30/12/2011,86.87,-0.001380421
29/12/2011,86.99,0.005879996
28/12/2011,86.48,-0.022185015
27/12/2011,88.42,0.002491225
23/12/2011,88.2,0.008082462
22/12/2011,87.49,0.01601509
21/12/2011,86.1,-0.009823829
20/12/2011,86.95,0.046854144
19/12/2011,82.97,-0.001324902
16/12/2011,83.08,0.01320671
15/12/2011,81.99,0.006976346
14/12/2011,81.42,-0.015719571
13/12/2011,82.71,-0.002897503
12/12/2011,82.95,-0.019341577
09/12/2011,84.57,0.016813131
08/12/2011,83.16,-0.01266596
07/12/2011,84.22,-0.005328925
06/12/2011,84.67,-0.005887911
05/12/2011,85.17,0.007542758
02/12/2011,84.53,-0.001654847
01/12/2011,84.67,-0.006122708
30/11/2011,85.19,0.028093741
29/11/2011,82.83,0.002780634
28/11/2011,82.6,0.03913355
25/11/2011,79.43,-0.000880891
23/11/2011,79.5,-0.025581924
22/11/2011,81.56,0.001226843
21/11/2011,81.46,-0.022096322
18/11/2011,83.28,0.006626131
17/11/2011,82.73,-0.0258918
16/11/2011,84.9,-0.02097979
15/11/2011,86.7,0.013586692
14/11/2011,85.53,0.001404002
11/11/2011,85.41,0.03405902
10/11/2011,82.55,0.011697465
09/11/2011,81.59,-0.038706755
08/11/2011,84.81,0.007574897
07/11/2011,84.17,0.010390014
04/11/2011,83.3,-0.011221319
03/11/2011,84.24,0.039097264
02/11/2011,81.01,0.026137923
01/11/2011,78.92,-0.02724828
31/10/2011,81.1,-0.021831466
28/10/2011,82.89,0.005564979
27/10/2011,82.43,0.035689409
26/10/2011,79.54,0.013161415
25/10/2011,78.5,-0.004448689
24/10/2011,78.85,0.014820764
21/10/2011,77.69,0.017791522
20/10/2011,76.32,-0.003270328
19/10/2011,76.57,-0.008453136
18/10/2011,77.22,0.027704785
17/10/2011,75.11,-0.037242169
14/10/2011,77.96,0.031665946
13/10/2011,75.53,-0.025618967
12/10/2011,77.49,0.017443816
11/10/2011,76.15,0.004474869
10/10/2011,75.81,0.036128283
07/10/2011,73.12,-0.005183479
06/10/2011,73.5,0.020341548
05/10/2011,72.02,0.028305769
04/10/2011,70.01,0.052941033
03/10/2011,66.4,-0.037104249
30/09/2011,68.91,-0.045530093
29/09/2011,72.12,0.01059391
28/09/2011,71.36,-0.006007702
27/09/2011,71.79,0.018983907
26/09/2011,70.44,0.006980583
23/09/2011,69.95,0.034616604
22/09/2011,67.57,-0.048529378
21/09/2011,70.93,-0.033821658
20/09/2011,73.37,-0.016491317
19/09/2011,74.59,-0.018332076
16/09/2011,75.97,-0.001446893
15/09/2011,76.08,0.042285341
14/09/2011,72.93,0.000548622
13/09/2011,72.89,0.026130743
12/09/2011,71.01,0.001550279
09/09/2011,70.9,-0.034789733
08/09/2011,73.41,-0.019559536
07/09/2011,74.86,0.034242476
06/09/2011,72.34,-0.015363814
02/09/2011,73.46,-0.027788888
01/09/2011,75.53,-0.018625932
31/08/2011,76.95,0.018625932
30/08/2011,75.53,0.008910226
29/08/2011,74.86,0.035348977
26/08/2011,72.26,0.022532617
25/08/2011,70.65,-0.000141533
24/08/2011,70.66,0.02885851
23/08/2011,68.65,0.040730957
22/08/2011,65.91,-0.000909918
19/08/2011,65.97,-0.02337185
18/08/2011,67.53,-0.04488304
17/08/2011,70.63,-0.006069607
16/08/2011,71.06,-0.034440856
15/08/2011,73.55,0.012587387
12/08/2011,72.63,0.014562354
11/08/2011,71.58,0.057059804
10/08/2011,67.61,-0.051736917
09/08/2011,71.2,0.049815971
08/08/2011,67.74,-0.077928326
05/08/2011,73.23,-0.018803395
04/08/2011,74.62,-0.058683502
03/08/2011,79.13,0.017593519
02/08/2011,77.75,-0.032021973
01/08/2011,80.28,-0.016676318
29/07/2011,81.63,-0.00841725
28/07/2011,82.32,-0.010993768
27/07/2011,83.23,-0.035062318
26/07/2011,86.2,-0.010731079
25/07/2011,87.13,0.031123207
22/07/2011,84.46,0.006414085
21/07/2011,83.92,0.014644362
20/07/2011,82.7,0.007281586
19/07/2011,82.1,0.013241979
18/07/2011,81.02,-0.014094234
15/07/2011,82.17,0.013600651
14/07/2011,81.06,-0.012748395
13/07/2011,82.1,0.006721687
12/07/2011,81.55,-0.007087029
11/07/2011,82.13,-0.018577133
08/07/2011,83.67,-0.013415052
07/07/2011,84.8,0.008288976
06/07/2011,84.1,0.00620231
05/07/2011,83.58,-0.002031914
01/07/2011,83.75,0.005387622
30/06/2011,83.3,0.006866256
29/06/2011,82.73,0.005089686
28/06/2011,82.31,0.017526032
27/06/2011,80.88,-0.001976285
24/06/2011,81.04,-0.006028191
23/06/2011,81.53,-0.004772111
22/06/2011,81.92,-0.003412141
21/06/2011,82.2,0.021892401
20/06/2011,80.42,0.004986298
17/06/2011,80.02,0.014348893
16/06/2011,78.88,0.005083895
15/06/2011,78.48,-0.017431286
14/06/2011,79.86,0.019727499
13/06/2011,78.3,-0.003824096
10/06/2011,78.6,-0.010882051
09/06/2011,79.46,-0.001634706
08/06/2011,79.59,-0.003762232
07/06/2011,79.89,0.012469461
06/06/2011,78.9,-0.009837385
03/06/2011,79.68,-0.019266024
02/06/2011,81.23,0.013135257
01/06/2011,80.17,-0.040337906
31/05/2011,83.47,0.005767167
27/05/2011,82.99,0.007498826
26/05/2011,82.37,0.003405087
25/05/2011,82.09,0.014108067
24/05/2011,80.94,-0.013864402
23/05/2011,82.07,-0.015835931
