Date,Close,MJN
06/06/2013,79.78,-0.001753288
05/06/2013,79.92,-0.022639675
04/06/2013,81.75,-0.010585972
03/06/2013,82.62,0.018938803
31/05/2013,81.07,-0.024972368
30/05/2013,83.12,-0.022601176
29/05/2013,85.02,-0.013667639
28/05/2013,86.19,0.020512939
24/05/2013,84.44,0.000829335
23/05/2013,84.37,-0.017971941
22/05/2013,85.9,0.060588243
21/05/2013,80.85,0.016838564
20/05/2013,79.5,-0.012127422
17/05/2013,80.47,-0.000621157
16/05/2013,80.52,-0.009394383
15/05/2013,81.28,0.007657194
14/05/2013,80.66,0.016374342
13/05/2013,79.35,0.004800413
10/05/2013,78.97,0.000633352
09/05/2013,78.92,-0.011464693
08/05/2013,79.83,-0.004374734
07/05/2013,80.18,-0.000374088
06/05/2013,80.21,-0.006338181
03/05/2013,80.72,0.011462872
02/05/2013,79.8,-0.012205906
01/05/2013,80.78,-0.003830239
30/04/2013,81.09,0.019173894
29/04/2013,79.55,-0.00526581
26/04/2013,79.97,0.002754823
25/04/2013,79.75,-0.015428949
24/04/2013,80.99,0.001606426
23/04/2013,80.86,-0.010579506
22/04/2013,81.72,0.007245964
19/04/2013,81.13,0.005810017
18/04/2013,80.66,0.005719275
17/04/2013,80.2,-0.006958279
16/04/2013,80.76,0.037726041
15/04/2013,77.77,0.003348792
12/04/2013,77.51,-0.000773794
11/04/2013,77.57,0.006466655
10/04/2013,77.07,0.017539717
09/04/2013,75.73,-0.011944751
08/04/2013,76.64,0.011548685
05/04/2013,75.76,0.003437793
04/04/2013,75.5,-0.003965636
03/04/2013,75.8,-0.013106348
02/04/2013,76.8,-0.001821257
01/04/2013,76.94,-0.00660667
28/03/2013,77.45,0.004140257
27/03/2013,77.13,0.002986433
26/03/2013,76.9,-0.001299545
25/03/2013,77,0.015575212
22/03/2013,75.81,0.001187884
21/03/2013,75.72,0.015974781
20/03/2013,74.52,0.013918203
19/03/2013,73.49,-0.010961609
18/03/2013,74.3,0.012868447
15/03/2013,73.35,0.00890112
14/03/2013,72.7,0.030728675
13/03/2013,70.5,-0.016878038
12/03/2013,71.7,-0.014125702
11/03/2013,72.72,-0.029937895
08/03/2013,74.93,0.002672726
07/03/2013,74.73,-0.011442381
06/03/2013,75.59,0.001853814
05/03/2013,75.45,0.003185984
04/03/2013,75.21,-0.000797448
01/03/2013,75.27,0.004794256
28/02/2013,74.91,0.003476869
27/02/2013,74.65,0.003085801
26/02/2013,74.42,-0.012020981
25/02/2013,75.32,-0.047195691
22/02/2013,78.96,0.011335535
21/02/2013,78.07,-0.012474704
20/02/2013,79.05,-0.016933613
19/02/2013,80.4,0.018199435
15/02/2013,78.95,0.006990813
14/02/2013,78.4,0.007168489
13/02/2013,77.84,0.002443888
12/02/2013,77.65,0.004129571
11/02/2013,77.33,-0.002324982
08/02/2013,77.51,0.00855149
07/02/2013,76.85,-0.004543987
06/02/2013,77.2,0.013563067
05/02/2013,76.16,0.014548597
04/02/2013,75.06,0.000133236
01/02/2013,75.05,-0.012578782
31/01/2013,76,0.109022182
30/01/2013,68.15,-0.008183591
29/01/2013,68.71,0.002623143
28/01/2013,68.53,-0.021652116
25/01/2013,70.03,0.007021595
24/01/2013,69.54,0.015068381
23/01/2013,68.5,0.010566579
22/01/2013,67.78,0.014564086
18/01/2013,66.8,0.004200426
17/01/2013,66.52,-0.006592772
16/01/2013,66.96,-0.033483304
15/01/2013,69.24,-0.003604127
14/01/2013,69.49,0.004760197
11/01/2013,69.16,0.014124734
10/01/2013,68.19,-0.000732977
09/01/2013,68.24,-0.012668535
08/01/2013,69.11,-0.009074603
07/01/2013,69.74,-0.003578333
04/01/2013,69.99,0.000571674
03/01/2013,69.95,0.016431618
02/01/2013,68.81,0.043362398
31/12/2012,65.89,0.011908538
28/12/2012,65.11,-0.007040127
27/12/2012,65.57,-0.001371638
26/12/2012,65.66,-0.00713259
24/12/2012,66.13,0.006067059
21/12/2012,65.73,-0.008181864
20/12/2012,66.27,0.006661645
19/12/2012,65.83,-0.005604801
18/12/2012,66.2,0.003025721
17/12/2012,66,0.002123465
14/12/2012,65.86,0.003498368
13/12/2012,65.63,-0.006227711
12/12/2012,66.04,-0.007542652
11/12/2012,66.54,0.001052553
10/12/2012,66.47,-0.005251719
07/12/2012,66.82,-0.000149645
06/12/2012,66.83,-0.011012016
05/12/2012,67.57,-0.000591804
04/12/2012,67.61,-0.006486828
03/12/2012,68.05,-0.002055197
30/11/2012,68.19,-0.002636205
29/11/2012,68.37,0.000438885
28/11/2012,68.34,0.016673201
27/11/2012,67.21,-0.001783857
26/11/2012,67.33,-0.001039115
23/11/2012,67.4,0.019173745
21/11/2012,66.12,0
20/11/2012,66.12,-0.010531164
19/11/2012,66.82,0.012802344
16/11/2012,65.97,-0.010554983
15/11/2012,66.67,0.000450079
14/11/2012,66.64,-0.015781182
13/11/2012,67.7,0.027706752
12/11/2012,65.85,0.002280503
09/11/2012,65.7,0.002896123
08/11/2012,65.51,-0.011081707
07/11/2012,66.24,-0.000452796
06/11/2012,66.27,0.009856779
05/11/2012,65.62,0.009954903
02/11/2012,64.97,0.01942714
01/11/2012,63.72,0.032863063
31/10/2012,61.66,-0.005498963
26/10/2012,62,-0.02437785
25/10/2012,63.53,-0.089958392
24/10/2012,69.51,-0.006881748
23/10/2012,69.99,0.003148257
22/10/2012,69.77,-0.006429053
19/10/2012,70.22,-0.017224766
18/10/2012,71.44,-0.004608625
17/10/2012,71.77,0.005588948
16/10/2012,71.37,0.008442431
15/10/2012,70.77,0.002263405
12/10/2012,70.61,-0.005648935
11/10/2012,71.01,-0.000844595
10/10/2012,71.07,-0.008825441
09/10/2012,71.7,-0.006395128
08/10/2012,72.16,-0.006079046
05/10/2012,72.6,-0.000688468
04/10/2012,72.65,0.000550737
03/10/2012,72.61,0.002205985
02/10/2012,72.45,-0.007014677
01/10/2012,72.96,-0.004376375
28/09/2012,73.28,-0.014630442
27/09/2012,74.36,0.01340303
26/09/2012,73.37,-0.003673224
25/09/2012,73.64,-0.015228379
24/09/2012,74.77,-0.036764019
21/09/2012,77.57,0.013497934
20/09/2012,76.53,-0.006771741
19/09/2012,77.05,0.017412235
18/09/2012,75.72,0.022706999
17/09/2012,74.02,-0.015283848
14/09/2012,75.16,-0.005043143
13/09/2012,75.54,0.013058147
12/09/2012,74.56,-0.002009782
11/09/2012,74.71,-0.014220454
10/09/2012,75.78,-0.002635742
07/09/2012,75.98,0.003691987
06/09/2012,75.7,-0.003297069
05/09/2012,75.95,0.031566082
04/09/2012,73.59,0.003539345
31/08/2012,73.33,0.01400737
30/08/2012,72.31,-0.001796201
29/08/2012,72.44,-0.012211169
28/08/2012,73.33,0.005469725
27/08/2012,72.93,0.001646769
24/08/2012,72.81,0.008967433
23/08/2012,72.16,0.006255668
22/08/2012,71.71,0.010936733
21/08/2012,70.93,-0.019821978
20/08/2012,72.35,-0.007984624
17/08/2012,72.93,-0.002054655
16/08/2012,73.08,0.002191782
15/08/2012,72.92,-0.001096491
14/08/2012,73,0.000548095
13/08/2012,72.96,-0.000548095
10/08/2012,73,-0.002872583
09/08/2012,73.21,-0.000136584
08/08/2012,73.22,0.002735231
07/08/2012,73.02,0.004529553
06/08/2012,72.69,-0.015696767
03/08/2012,73.84,0.024123977
02/08/2012,72.08,-0.003185819
01/08/2012,72.31,-0.008948914
31/07/2012,72.96,0.004946424
30/07/2012,72.6,0.008021064
27/07/2012,72.02,0.018639738
26/07/2012,70.69,-0.031881311
25/07/2012,72.98,-0.001779725
24/07/2012,73.11,0.002327971
23/07/2012,72.94,-0.015508405
20/07/2012,74.08,-0.011408754
19/07/2012,74.93,0.025957926
18/07/2012,73.01,-0.007912729
17/07/2012,73.59,0.008049706
16/07/2012,73,-0.053605687
13/07/2012,77.02,-0.006728804
12/07/2012,77.54,-0.00949821
11/07/2012,78.28,0.038944819
10/07/2012,75.29,-0.044295832
09/07/2012,78.7,-0.016633448
06/07/2012,80.02,-0.004737573
05/07/2012,80.4,-0.016406955
03/07/2012,81.73,0.011072948
02/07/2012,80.83,0.003966783
29/06/2012,80.51,-0.061887824
28/06/2012,85.65,-0.011146058
27/06/2012,86.61,0.002427607
26/06/2012,86.4,-0.006920443
25/06/2012,87,-0.018675104
22/06/2012,88.64,0.031748698
21/06/2012,85.87,0.002448552
20/06/2012,85.66,-0.007907018
19/06/2012,86.34,-0.00496795
18/06/2012,86.77,0.016852046
15/06/2012,85.32,-0.004677277
14/06/2012,85.72,0.042295899
13/06/2012,82.17,0.007206138
12/06/2012,81.58,0.005531327
11/06/2012,81.13,-0.003936529
08/06/2012,81.45,0.004059795
07/06/2012,81.12,-0.003937013
06/06/2012,81.44,0.025368185
05/06/2012,79.4,0.004797383
04/06/2012,79.02,0.011070928
