Date,Close,PNR
16/04/2013,52.52,0.017866194
15/04/2013,51.59,-0.033546122
12/04/2013,53.35,-0.01099834
11/04/2013,53.94,-0.002037226
10/04/2013,54.05,0.014348518
09/04/2013,53.28,0.007157687
08/04/2013,52.9,0.017351946
05/04/2013,51.99,-0.015080939
04/04/2013,52.78,0.01854915
03/04/2013,51.81,-0.001542913
02/04/2013,51.89,0.005410641
01/04/2013,51.61,-0.02184832
28/03/2013,52.75,0.022817594
27/03/2013,51.56,-0.001744017
26/03/2013,51.65,-0.006176433
25/03/2013,51.97,-0.026956833
22/03/2013,53.39,0.003753054
21/03/2013,53.19,-0.005624312
20/03/2013,53.49,0.003558389
19/03/2013,53.3,0.009804
18/03/2013,52.78,0.001706647
15/03/2013,52.69,0.005900845
14/03/2013,52.38,0.015390839
13/03/2013,51.58,0.012878227
12/03/2013,50.92,-0.013072082
11/03/2013,51.59,-0.001936484
08/03/2013,51.69,0.001936484
07/03/2013,51.59,-0.006376217
06/03/2013,51.92,-0.013962166
05/03/2013,52.65,0.012614846
04/03/2013,51.99,-0.00460565
01/03/2013,52.23,-0.019716278
28/02/2013,53.27,0.012277045
27/02/2013,52.62,0.036381721
26/02/2013,50.74,-0.000591075
25/02/2013,50.77,-0.015440549
22/02/2013,51.56,0.013669418
21/02/2013,50.86,-0.012310854
20/02/2013,51.49,-0.021708662
19/02/2013,52.62,-0.005496081
15/02/2013,52.91,0.001513146
14/02/2013,52.83,-0.002835273
13/02/2013,52.98,0.018094009
12/02/2013,52.03,0.015690395
11/02/2013,51.22,0.003324536
08/02/2013,51.05,0.010238325
07/02/2013,50.53,-0.00886618
06/02/2013,50.98,-0.008788261
05/02/2013,51.43,0.008396027
04/02/2013,51,-0.000196059
01/02/2013,51.01,0.006490336
31/01/2013,50.68,0.015510353
30/01/2013,49.9,-0.028643934
29/01/2013,51.35,-0.028414275
28/01/2013,52.83,-0.007918593
25/01/2013,53.25,0.007540092
24/01/2013,52.85,-0.001512574
23/01/2013,52.93,-0.00075543
22/01/2013,52.97,0.007389896
18/01/2013,52.58,0.013980885
17/01/2013,51.85,0.019868203
16/01/2013,50.83,0.010282867
15/01/2013,50.31,-0.000596125
14/01/2013,50.34,-0.000992753
11/01/2013,50.39,-0.004158834
10/01/2013,50.6,0.000593061
09/01/2013,50.57,0.018360125
08/01/2013,49.65,-0.005823894
07/01/2013,49.94,0
04/01/2013,49.94,-0.004395611
03/01/2013,50.16,-0.008931289
02/01/2013,50.61,0.029272339
31/12/2012,49.15,0.033936631
28/12/2012,47.51,-0.014003782
27/12/2012,48.18,-0.001866252
26/12/2012,48.27,-0.002276256
24/12/2012,48.38,0.003105271
21/12/2012,48.23,-0.011339159
20/12/2012,48.78,-0.00040992
19/12/2012,48.8,-0.009179055
18/12/2012,49.25,0.005497316
17/12/2012,48.98,0.021044721
14/12/2012,47.96,0.002505221
13/12/2012,47.84,-0.001879504
12/12/2012,47.93,0.000417362
11/12/2012,47.91,-0.00541217
10/12/2012,48.17,0.002702423
07/12/2012,48.04,0.007312265
06/12/2012,47.69,-0.010844736
05/12/2012,48.21,-0.002692907
04/12/2012,48.34,0.008726421
03/12/2012,47.92,-0.011824637
30/11/2012,48.49,-0.00882872
29/11/2012,48.92,0.028194239
28/11/2012,47.56,-0.000840689
27/11/2012,47.6,-0.004192878
26/11/2012,47.8,0.002933168
23/11/2012,47.66,0.030247247
21/11/2012,46.24,0.003683245
20/11/2012,46.07,0.011570918
19/11/2012,45.54,0.015490462
16/11/2012,44.84,0.029420542
15/11/2012,43.54,-0.004582959
14/11/2012,43.74,-0.009103386
13/11/2012,44.14,-0.001132118
12/11/2012,44.19,-0.00496615
09/11/2012,44.41,-0.001125239
08/11/2012,44.46,-0.012294779
07/11/2012,45.01,-0.021974077
06/11/2012,46.01,0.010267704
05/11/2012,45.54,-0.004600731
02/11/2012,45.75,0.005040002
01/11/2012,45.52,0.07478415
31/10/2012,42.24,0.027602857
26/10/2012,41.09,-0.00388633
25/10/2012,41.25,0.009254815
24/10/2012,40.87,-0.001955513
23/10/2012,40.95,-0.029120094
22/10/2012,42.16,-0.009912755
19/10/2012,42.58,-0.013065981
18/10/2012,43.14,-0.011752641
17/10/2012,43.65,-0.00434336
16/10/2012,43.84,-0.001595442
15/10/2012,43.91,0.006397097
12/10/2012,43.63,-0.001831922
11/10/2012,43.71,0.002978579
10/10/2012,43.58,-0.018415889
09/10/2012,44.39,-0.020954846
08/10/2012,45.33,-0.002863753
05/10/2012,45.46,0.020669699
04/10/2012,44.53,0.007212111
03/10/2012,44.21,0.026821092
02/10/2012,43.04,0.013096539
01/10/2012,42.48,-0.046680506
28/09/2012,44.51,0.025715378
27/09/2012,43.38,0.03495137
