Date,Close,NRG
02/10/2012,21.86,0.010577243
01/10/2012,21.63,0.011157717
28/09/2012,21.39,-0.008843437
27/09/2012,21.58,0.008376038
26/09/2012,21.4,-0.014842573
25/09/2012,21.72,-0.013717636
24/09/2012,22.02,0.00592122
21/09/2012,21.89,0.018907642
20/09/2012,21.48,0.001397624
19/09/2012,21.45,0
18/09/2012,21.45,-0.01480823
17/09/2012,21.77,-0.015044733
14/09/2012,22.1,0.013667639
13/09/2012,21.8,-0.024468824
12/09/2012,22.34,0.001343785
11/09/2012,22.31,0.015812392
10/09/2012,21.96,0.008230499
07/09/2012,21.78,-0.024938948
06/09/2012,22.33,0.044411052
05/09/2012,21.36,-0.007927297
04/09/2012,21.53,0.008864066
31/08/2012,21.34,0.006110477
30/08/2012,21.21,0.000471587
29/08/2012,21.2,0.001888575
28/08/2012,21.16,-0.001888575
27/08/2012,21.2,0.000943842
24/08/2012,21.18,-0.001415428
23/08/2012,21.21,-0.012649501
22/08/2012,21.48,-0.017078652
21/08/2012,21.85,-0.018590424
20/08/2012,22.26,0.032879674
17/08/2012,21.54,0.025865538
16/08/2012,20.99,0.005733413
15/08/2012,20.87,-0.001914792
14/08/2012,20.91,0.01154414
13/08/2012,20.67,-0.009150076
10/08/2012,20.86,-0.000958313
09/08/2012,20.88,0.031130919
08/08/2012,20.24,0.035197198
07/08/2012,19.54,-0.002555585
06/08/2012,19.59,0.009230835
03/08/2012,19.41,0.016623759
02/08/2012,19.09,-0.033988854
01/08/2012,19.75,-0.003538038
31/07/2012,19.82,-0.003525564
30/07/2012,19.89,0.005545767
27/07/2012,19.78,0.00914176
26/07/2012,19.6,0.030038509
25/07/2012,19.02,0.014297305
24/07/2012,18.75,-0.040245829
23/07/2012,19.52,0.078293896
20/07/2012,18.05,-0.002766253
19/07/2012,18.1,0.009436651
18/07/2012,17.93,0.024845999
17/07/2012,17.49,0.001716739
16/07/2012,17.46,-0.007986352
13/07/2012,17.6,0.021246852
12/07/2012,17.23,0.007573587
11/07/2012,17.1,0.015915455
10/07/2012,16.83,-0.007104826
09/07/2012,16.95,-0.011147079
06/07/2012,17.14,-0.009869456
05/07/2012,17.31,-0.020583917
03/07/2012,17.67,0.023476601
02/07/2012,17.26,-0.005777024
29/06/2012,17.36,0.031005701
28/06/2012,16.83,0.016776906
27/06/2012,16.55,0.058474367
26/06/2012,15.61,0.007071711
25/06/2012,15.5,-0.007071711
22/06/2012,15.61,0.022676709
21/06/2012,15.26,-0.035407625
20/06/2012,15.81,-0.001895735
19/06/2012,15.84,0.04058528
18/06/2012,15.21,0.01257046
15/06/2012,15.02,-0.004649626
14/06/2012,15.09,0.003984069
13/06/2012,15.03,-0.017804625
12/06/2012,15.3,0.003929278
11/06/2012,15.24,-0.044280574
08/06/2012,15.93,0.006929162
07/06/2012,15.82,-0.015679217
06/06/2012,16.07,0.036759525
05/06/2012,15.49,0.022854406
04/06/2012,15.14,0.02001401
01/06/2012,14.84,-0.031832927
31/05/2012,15.32,0
30/05/2012,15.32,-0.025774623
29/05/2012,15.72,0.005102052
25/05/2012,15.64,-0.003191832
24/05/2012,15.69,0.00127551
23/05/2012,15.67,-0.01079033
22/05/2012,15.84,0.005063302
21/05/2012,15.76,0.02051354
18/05/2012,15.44,-0.0115906
17/05/2012,15.62,-0.009557257
16/05/2012,15.77,0.003175614
15/05/2012,15.72,-0.022020393
14/05/2012,16.07,-0.013597243
11/05/2012,16.29,0.00987053
10/05/2012,16.13,0.045015524
09/05/2012,15.42,0.017004988
08/05/2012,15.16,-0.021534274
07/05/2012,15.49,0.00129199
04/05/2012,15.47,-0.046725671
03/05/2012,16.21,-0.024376588
02/05/2012,16.61,-0.021442156
01/05/2012,16.97,-0.001766265
