Date,Close,TWX
30/07/2013,62.07,-0.006903776
29/07/2013,62.5,-0.00828558
26/07/2013,63.02,0.004931212
25/07/2013,62.71,0.006559499
24/07/2013,62.3,-0.008630388
23/07/2013,62.84,0.009915322
22/07/2013,62.22,0.007258682
19/07/2013,61.77,-0.007740726
18/07/2013,62.25,0.01000977
17/07/2013,61.63,0.005532067
16/07/2013,61.29,-0.002118818
15/07/2013,61.42,-0.004548416
12/07/2013,61.7,0.000486342
11/07/2013,61.67,0.010759804
10/07/2013,61.01,-0.00441574
09/07/2013,61.28,0.005727861
08/07/2013,60.93,-0.007847024
05/07/2013,61.41,0.022062139
03/07/2013,60.07,0.009198158
02/07/2013,59.52,0.020710297
01/07/2013,58.3,0.008267357
28/06/2013,57.82,0
27/06/2013,57.82,0.007464664
26/06/2013,57.39,0.012625102
25/06/2013,56.67,0.006905738
24/06/2013,56.28,-0.009373134
21/06/2013,56.81,0.008662655
20/06/2013,56.32,-0.026976588
19/06/2013,57.86,-0.017644997
18/06/2013,58.89,0.016263305
17/06/2013,57.94,0.00814492
14/06/2013,57.47,-0.007627009
13/06/2013,57.91,0.030685322
12/06/2013,56.16,-0.012914819
11/06/2013,56.89,-0.014137595
10/06/2013,57.7,-0.018374347
07/06/2013,58.77,0.022194459
06/06/2013,57.48,0.01014172
05/06/2013,56.9,-0.024992623
04/06/2013,58.34,-0.004446732
03/06/2013,58.6,0.003932637
31/05/2013,58.37,-0.020517888
30/05/2013,59.58,0.006398405
29/05/2013,59.2,-0.018244711
28/05/2013,60.29,0.016894272
24/05/2013,59.28,-0.014735699
23/05/2013,60.16,0.003330006
22/05/2013,59.96,-0.008469701
21/05/2013,60.47,0.006636825
20/05/2013,60.07,-0.01059788
17/05/2013,60.71,-0.000164704
16/05/2013,60.72,-0.006729611
15/05/2013,61.13,-0.002287583
14/05/2013,61.27,0.005892962
13/05/2013,60.91,-0.000492409
10/05/2013,60.94,-0.002622093
09/05/2013,61.1,-0.000490878
08/05/2013,61.13,-0.006359581
07/05/2013,61.52,0.014407584
06/05/2013,60.64,0.003469071
03/05/2013,60.43,0.01131648
02/05/2013,59.75,0.004529069
01/05/2013,59.48,-0.005031035
30/04/2013,59.78,-0.005837728
29/04/2013,60.13,0.007679504
26/04/2013,59.67,0.00470352
25/04/2013,59.39,-0.003361913
24/04/2013,59.59,-0.01350133
23/04/2013,60.4,0.003482879
22/04/2013,60.19,0.007337035
19/04/2013,59.75,0.021655389
18/04/2013,58.47,-0.017798588
17/04/2013,59.52,-0.003522016
16/04/2013,59.73,0.021320605
15/04/2013,58.47,-0.016790015
12/04/2013,59.46,-0.003357962
11/04/2013,59.66,0.001677571
10/04/2013,59.56,0.012842353
09/04/2013,58.8,0.007682496
08/04/2013,58.35,0.008087457
05/04/2013,57.88,-0.006715479
04/04/2013,58.27,0.002921717
03/04/2013,58.1,0.008990379
02/04/2013,57.58,-0.000694444
01/04/2013,57.62,0
28/03/2013,57.62,0.01733085
27/03/2013,56.63,-0.004932192
26/03/2013,56.91,0.00652272
25/03/2013,56.54,-0.004411902
22/03/2013,56.79,0.012046204
21/03/2013,56.11,-0.004445637
20/03/2013,56.36,0.015737092
19/03/2013,55.48,-0.01324997
18/03/2013,56.22,-0.007619422
15/03/2013,56.65,-0.011757615
14/03/2013,57.32,0.012110723
13/03/2013,56.63,0.003715175
12/03/2013,56.42,-0.014778594
11/03/2013,57.26,-0.003486754
08/03/2013,57.46,0.011904903
07/03/2013,56.78,0.023522111
06/03/2013,55.46,0.007420177
05/03/2013,55.05,0.016299235
04/03/2013,54.16,0.010020496
01/03/2013,53.62,0.008427805
28/02/2013,53.17,-0.002629603
27/02/2013,53.31,0.019510042
26/02/2013,52.28,0.012317323
25/02/2013,51.64,-0.025806651
22/02/2013,52.99,0.007197001
21/02/2013,52.61,-0.011715931
20/02/2013,53.23,-0.010465429
19/02/2013,53.79,0.00503216
15/02/2013,53.52,-0.002053197
14/02/2013,53.63,0.014650901
13/02/2013,52.85,0.006644543
12/02/2013,52.5,0.007072571
11/02/2013,52.13,-0.008405016
08/02/2013,52.57,0.004002674
07/02/2013,52.36,0.006706933
06/02/2013,52.01,0.040213323
05/02/2013,49.96,-0.009561826
04/02/2013,50.44,-0.008685408
01/02/2013,50.88,0.007100622
31/01/2013,50.52,0.007550205
30/01/2013,50.14,0.001596807
29/01/2013,50.06,-0.000599101
28/01/2013,50.09,-0.006169788
25/01/2013,50.4,-0.00790518
24/01/2013,50.8,-0.000393623
23/01/2013,50.82,0.009688657
22/01/2013,50.33,0.007979296
18/01/2013,49.93,0.0106716
17/01/2013,49.4,0.004666743
16/01/2013,49.17,0.000813835
15/01/2013,49.13,-0.003454235
14/01/2013,49.3,-0.006268345
11/01/2013,49.61,-0.004023341
10/01/2013,49.81,0.003620277
09/01/2013,49.63,-0.010423025
08/01/2013,50.15,0.020752231
07/01/2013,49.12,-0.005076668
04/01/2013,49.37,-0.008270345
03/01/2013,49.78,0.000401849
02/01/2013,49.76,0.039558391
31/12/2012,47.83,0.018995928
28/12/2012,46.93,-0.010386951
27/12/2012,47.42,-0.001264489
26/12/2012,47.48,0.000632045
24/12/2012,47.45,-0.002525785
21/12/2012,47.57,-0.01440075
20/12/2012,48.26,0.012930316
19/12/2012,47.64,-0.010648394
18/12/2012,48.15,0.004370909
17/12/2012,47.94,0.024708257
14/12/2012,46.77,0.001711963
13/12/2012,46.69,-0.012134263
12/12/2012,47.26,0.002754531
11/12/2012,47.13,0.01066563
10/12/2012,46.63,-0.003852744
07/12/2012,46.81,0.005140298
06/12/2012,46.57,0.011228794
05/12/2012,46.05,-0.014016402
04/12/2012,46.7,-0.002139038
03/12/2012,46.8,-0.010627093
30/11/2012,47.3,0.005511992
29/11/2012,47.04,0.00106349
28/11/2012,46.99,0.008334272
27/11/2012,46.6,0.001718213
26/11/2012,46.52,0.007985367
23/11/2012,46.15,0.02590136
21/11/2012,44.97,-0.014569794
20/11/2012,45.63,0.007699961
19/11/2012,45.28,0.012891932
16/11/2012,44.7,0.01487519
15/11/2012,44.04,-0.001361471
14/11/2012,44.1,-0.011498267
13/11/2012,44.61,-0.000896258
12/11/2012,44.65,-0.000447828
09/11/2012,44.67,0.012162312
08/11/2012,44.13,-0.017520664
07/11/2012,44.91,0.040905498
06/11/2012,43.11,0.001625073
05/11/2012,43.04,-0.007407441
02/11/2012,43.36,-0.01009646
01/11/2012,43.8,0.007562772
31/10/2012,43.47,-0.003903116
26/10/2012,43.64,0.001146395
25/10/2012,43.59,-0.009589115
24/10/2012,44.01,-0.000227195
23/10/2012,44.02,-0.021796167
22/10/2012,44.99,0.00133452
19/10/2012,44.93,-0.020923569
18/10/2012,45.88,0.004806651
17/10/2012,45.66,0.008136384
16/10/2012,45.29,0.007090657
15/10/2012,44.97,-0.001999334
12/10/2012,45.06,0.001110248
11/10/2012,45.01,-0.007304958
10/10/2012,45.34,-0.004840493
09/10/2012,45.56,-0.020422174
08/10/2012,46.5,0.006905509
05/10/2012,46.18,0.007607905
04/10/2012,45.83,0.000654807
03/10/2012,45.8,0.010977059
02/10/2012,45.3,-0.004405293
01/10/2012,45.5,0.003522681
28/09/2012,45.34,-0.000881834
27/09/2012,45.38,0.016441161
26/09/2012,44.64,-0.007809925
25/09/2012,44.99,-0.018280434
24/09/2012,45.82,-0.00174444
21/09/2012,45.9,0.00239939
20/09/2012,45.79,0.006133645
19/09/2012,45.51,0.014162662
18/09/2012,44.87,0
17/09/2012,44.87,0.00357223
14/09/2012,44.71,0.008535541
13/09/2012,44.33,0.02883495
12/09/2012,43.07,0.000696783
11/09/2012,43.04,-0.000696783
10/09/2012,43.07,-0.013147462
07/09/2012,43.64,0.00967081
06/09/2012,43.22,0.022698997
05/09/2012,42.25,0.021531932
04/09/2012,41.35,-0.0048251
31/08/2012,41.55,0.001686138
30/08/2012,41.48,-0.008880414
29/08/2012,41.85,0.007675739
28/08/2012,41.53,-0.007914659
27/08/2012,41.86,-0.005479466
24/08/2012,42.09,0.006913843
23/08/2012,41.8,-0.009286887
22/08/2012,42.19,0.000474158
21/08/2012,42.17,-0.013426182
20/08/2012,42.74,0.003046282
17/08/2012,42.61,0.002114414
16/08/2012,42.52,-0.003990147
15/08/2012,42.69,0.006580517
14/08/2012,42.41,-0.006111914
13/08/2012,42.67,-0.005375729
10/08/2012,42.9,0.008191971
09/08/2012,42.55,0.00565639
08/08/2012,42.31,0.008783439
07/08/2012,41.94,0.007899502
06/08/2012,41.61,0.005542851
03/08/2012,41.38,0.017306952
02/08/2012,40.67,0.026661602
01/08/2012,39.6,0.012195273
31/07/2012,39.12,0.013899838
30/07/2012,38.58,-0.010314687
27/07/2012,38.98,0.016294166
26/07/2012,38.35,-0.005201572
25/07/2012,38.55,0.017532832
24/07/2012,37.88,0.010349038
23/07/2012,37.49,-0.035891213
