Date,Close,LLTC
16/12/2013,43.95,0.013745921
13/12/2013,43.35,0.000230707
12/12/2013,43.34,-0.003684942
11/12/2013,43.5,-0.009608859
10/12/2013,43.92,-0.001365188
09/12/2013,43.98,0.001137527
06/12/2013,43.93,0.011216782
05/12/2013,43.44,-0.001839927
04/12/2013,43.52,0.007380107
03/12/2013,43.2,0.017278039
02/12/2013,42.46,-0.002117399
29/11/2013,42.55,-0.00023499
27/11/2013,42.56,0.000705136
26/11/2013,42.53,0.00258976
25/11/2013,42.42,0.003542335
22/11/2013,42.27,0.000473261
21/11/2013,42.25,0.013822908
20/11/2013,41.67,-0.000719683
19/11/2013,41.7,-0.008596041
18/11/2013,42.06,-0.00355999
15/11/2013,42.21,0.023976214
14/11/2013,41.21,0.003890109
13/11/2013,41.05,0.005863686
12/11/2013,40.81,-0.00122444
11/11/2013,40.86,-0.002688502
08/11/2013,40.97,0.008087288
07/11/2013,40.64,-0.012471124
06/11/2013,41.15,0.005116347
05/11/2013,40.94,0.007847024
04/11/2013,40.62,-0.004666593
01/11/2013,40.81,-0.008539762
31/10/2013,41.16,0.01493113
30/10/2013,40.55,-0.008349754
29/10/2013,40.89,0.027772675
28/10/2013,39.77,0.01775795
25/10/2013,39.07,0.003076137
24/10/2013,38.95,0.005406114
23/10/2013,38.74,-0.017400644
22/10/2013,39.42,0.002540006
21/10/2013,39.32,0.001272427
18/10/2013,39.27,0.00025468
17/10/2013,39.26,0.003828
16/10/2013,39.11,-0.011187505
15/10/2013,39.55,-0.011563729
14/10/2013,40.01,0.008534188
11/10/2013,39.67,0.00809926
10/10/2013,39.35,0.016656375
09/10/2013,38.7,-0.002580647
08/10/2013,38.8,-0.018133558
07/10/2013,39.51,-0.001517451
04/10/2013,39.57,0.000505561
03/10/2013,39.55,-0.001263424
02/10/2013,39.6,-0.005289019
01/10/2013,39.81,0.003775014
30/09/2013,39.66,0.001514005
27/09/2013,39.6,-0.004786506
26/09/2013,39.79,-0.001255808
25/09/2013,39.84,-0.004008021
24/09/2013,40,-0.002247473
23/09/2013,40.09,-0.000249408
20/09/2013,40.1,-0.00844306
19/09/2013,40.44,-0.002223046
18/09/2013,40.53,0.002223046
17/09/2013,40.44,0.002723785
16/09/2013,40.33,0.00099231
13/09/2013,40.29,0.002485091
12/09/2013,40.19,-0.000497512
11/09/2013,40.21,0.009746422
10/09/2013,39.82,0.020807653
09/09/2013,39,-0.003072199
06/09/2013,39.12,-0.007131971
05/09/2013,39.4,-0.000761132
04/09/2013,39.43,0.014046968
03/09/2013,38.88,0.0142471
30/08/2013,38.33,-0.004165588
29/08/2013,38.49,-0.001298196
28/08/2013,38.54,0.007291699
27/08/2013,38.26,-0.016846323
