Date,Close,FAST
07/05/2012,43.83,-0.010440404
04/05/2012,44.29,-0.033306809
03/05/2012,45.79,-0.036242843
02/05/2012,47.48,0.009948225
01/05/2012,47.01,0.004049883
30/04/2012,46.82,-0.01841127
27/04/2012,47.69,0.010115998
26/04/2012,47.21,0.000847637
25/04/2012,47.17,0.018832142
24/04/2012,46.29,-0.001726743
23/04/2012,46.37,-0.03891377
20/04/2012,48.21,0.014836757
19/04/2012,47.5,-0.02062788
18/04/2012,48.49,-0.010666768
17/04/2012,49.01,0.015628531
16/04/2012,48.25,-0.011129546
13/04/2012,48.79,-0.001638337
12/04/2012,48.87,-0.015431778
11/04/2012,49.63,0.014818093
10/04/2012,48.9,-0.053356604
09/04/2012,51.58,-0.026591715
05/04/2012,52.97,0.000566519
04/04/2012,52.94,-0.008089594
03/04/2012,53.37,-0.023700424
02/04/2012,54.65,0.010115029
30/03/2012,54.1,-0.002953121
29/03/2012,54.26,0.001290918
28/03/2012,54.19,-0.007354326
27/03/2012,54.59,0.000366435
26/03/2012,54.57,0.017189223
23/03/2012,53.64,-0.001304146
22/03/2012,53.71,-0.004087705
21/03/2012,53.93,0.02004
20/03/2012,52.86,0.016210901
19/03/2012,52.01,-0.004029555
16/03/2012,52.22,-0.006299534
15/03/2012,52.55,-0.005314114
14/03/2012,52.83,-0.008669485
13/03/2012,53.29,0.008669485
12/03/2012,52.83,-0.000945984
09/03/2012,52.88,0.001892864
08/03/2012,52.78,0.000568559
07/03/2012,52.75,0.011056155
06/03/2012,52.17,-0.022366361
05/03/2012,53.35,0.004697049
02/03/2012,53.1,0.003206642
01/03/2012,52.93,0.004734409
29/02/2012,52.68,0.00647498
28/02/2012,52.34,-0.001718049
27/02/2012,52.43,0.008812318
24/02/2012,51.97,0.000769971
23/02/2012,51.93,0.012400856
22/02/2012,51.29,0.008615679
21/02/2012,50.85,0.002362671
17/02/2012,50.73,-0.001772526
16/02/2012,50.82,0.003745692
15/02/2012,50.63,-0.011976191
14/02/2012,51.24,0.012964236
13/02/2012,50.58,0.04364329
10/02/2012,48.42,0.004346483
09/02/2012,48.21,-0.01277841
08/02/2012,48.83,0.015478588
07/02/2012,48.08,0.00041606
06/02/2012,48.06,-0.00498133
03/02/2012,48.3,0.027922461
02/02/2012,46.97,-0.002126755
01/02/2012,47.07,0.008320048
31/01/2012,46.68,0.001071697
30/01/2012,46.63,-0.001285898
27/01/2012,46.69,-0.001925752
26/01/2012,46.78,0.000855432
25/01/2012,46.74,-0.002564104
24/01/2012,46.86,0.017002454
23/01/2012,46.07,0.004568702
20/01/2012,45.86,0.002620089
19/01/2012,45.74,0.004601739
18/01/2012,45.53,-0.027298056
17/01/2012,46.79,0.004283579
13/01/2012,46.59,0.015792648
12/01/2012,45.86,0.014053811
11/01/2012,45.22,0.00465478
10/01/2012,45.01,-0.003548462
09/01/2012,45.17,-0.000885152
06/01/2012,45.21,0.001771087
05/01/2012,45.13,0.017209051
04/01/2012,44.36,0.013618004
03/01/2012,43.76,0.003433676
30/12/2011,43.61,-0.016149561
29/12/2011,44.32,0.01294443
28/12/2011,43.75,-0.002967023
27/12/2011,43.88,0.004339392
23/12/2011,43.69,0.019180253
22/12/2011,42.86,-0.006047937
21/12/2011,43.12,-0.002547772
20/12/2011,43.23,0.040841271
19/12/2011,41.5,0.001929571
16/12/2011,41.42,0.016062648
15/12/2011,40.76,0.011597909
14/12/2011,40.29,-0.001983636
13/12/2011,40.37,-0.016216572
12/12/2011,41.03,-0.02455588
09/12/2011,42.05,0.022851265
08/12/2011,41.1,-0.012092046
07/12/2011,41.6,-0.022109542
06/12/2011,42.53,-0.000470146
05/12/2011,42.55,0.022579688
02/12/2011,41.6,-0.004078211
01/12/2011,41.77,0.00287701
30/11/2011,41.65,0.036678928
