Date,Close,EBAY
31/05/2012,39.19,-0.010154949
30/05/2012,39.59,-0.046875873
29/05/2012,41.49,0.02786104
25/05/2012,40.35,0.017248272
24/05/2012,39.66,-0.000504159
23/05/2012,39.68,0.011660462
22/05/2012,39.22,-0.007366984
21/05/2012,39.51,0.029538554
18/05/2012,38.36,-0.017315331
17/05/2012,39.03,-0.021042734
16/05/2012,39.86,-0.004755359
15/05/2012,40.05,-0.00498133
14/05/2012,40.25,-0.012100407
11/05/2012,40.74,-0.011470535
10/05/2012,41.21,0.015898586
09/05/2012,40.56,0.009164151
08/05/2012,40.19,0.002990284
07/05/2012,40.07,0.015847395
04/05/2012,39.44,-0.023554083
03/05/2012,40.38,-0.019132298
02/05/2012,41.16,0.010011071
01/05/2012,40.75,-0.006603913
30/04/2012,41.02,-0.005106394
27/04/2012,41.23,0.004375311
26/04/2012,41.05,0.029417521
25/04/2012,39.86,0.014148796
24/04/2012,39.3,-0.008866429
23/04/2012,39.65,-0.016012351
20/04/2012,40.29,-0.008157257
19/04/2012,40.62,0.124359265
18/04/2012,35.87,-0.005837404
17/04/2012,36.08,0.016205999
16/04/2012,35.5,-0.017314032
13/04/2012,36.12,-0.009369041
12/04/2012,36.46,0.019385819
11/04/2012,35.76,0.008142682
10/04/2012,35.47,-0.023130472
09/04/2012,36.3,0.018910463
05/04/2012,35.62,-0.003083394
04/04/2012,35.73,-0.024876905
03/04/2012,36.63,0.001092598
02/04/2012,36.59,-0.008436572
30/03/2012,36.9,-0.002436055
29/03/2012,36.99,-0.006735847
28/03/2012,37.24,-0.01677579
27/03/2012,37.87,-0.005529968
26/03/2012,38.08,0.026341818
23/03/2012,37.09,-0.014188432
22/03/2012,37.62,0.005330503
21/03/2012,37.42,0.000802032
20/03/2012,37.39,-0.010641228
19/03/2012,37.79,0.00264971
16/03/2012,37.69,0.023082077
15/03/2012,36.83,-0.021223093
14/03/2012,37.62,0.007738531
13/03/2012,37.33,0.031290813
12/03/2012,36.18,-0.001932901
09/03/2012,36.25,0.013050303
08/03/2012,35.78,0.005324379
07/03/2012,35.59,0.013578709
06/03/2012,35.11,-0.017224766
05/03/2012,35.72,-0.014728625
02/03/2012,36.25,-0.003304878
01/03/2012,36.37,0.017473749
29/02/2012,35.74,-0.02432403
28/02/2012,36.62,0.001639793
27/02/2012,36.56,0.005485477
24/02/2012,36.36,0.00939493
23/02/2012,36.02,0.03819958
22/02/2012,34.67,-0.013465323
21/02/2012,35.14,0.002279203
17/02/2012,35.06,0.015811742
16/02/2012,34.51,0.035391485
15/02/2012,33.31,0.010562947
14/02/2012,32.96,-0.006049625
13/02/2012,33.16,0.003928091
10/02/2012,33.03,-0.006939234
09/02/2012,33.26,0.006333907
08/02/2012,33.05,0.005461179
07/02/2012,32.87,0.007021858
06/02/2012,32.64,-0.009452731
03/02/2012,32.95,0.007616183
02/02/2012,32.7,0.015408625
01/02/2012,32.2,0.018809332
31/01/2012,31.6,0.000633112
30/01/2012,31.58,-0.008513373
27/01/2012,31.85,0.004405293
26/01/2012,31.71,-0.007227054
25/01/2012,31.94,-0.000313038
24/01/2012,31.95,-0.001251173
23/01/2012,31.99,0.001877347
20/01/2012,31.93,0.013241051
19/01/2012,31.51,0.037837982
18/01/2012,30.34,-0.006242833
17/01/2012,30.53,-0.002943583
13/01/2012,30.62,-0.030870619
12/01/2012,31.58,0.001901744
11/01/2012,31.52,0.01020417
10/01/2012,31.2,0.022363596
09/01/2012,30.51,-0.003925422
06/01/2012,30.63,-0.002608414
05/01/2012,30.71,0.018071791
04/01/2012,30.16,-0.038378694
03/01/2012,31.34,0.032757915
30/12/2011,30.33,-0.000988631
29/12/2011,30.36,-0.001645549
28/12/2011,30.41,-0.016631722
27/12/2011,30.92,0.002590675
23/12/2011,30.84,0.007485796
22/12/2011,30.61,0.008859779
21/12/2011,30.34,-0.009512947
20/12/2011,30.63,0.028478746
19/12/2011,29.77,-0.020941433
16/12/2011,30.4,0.026668247
15/12/2011,29.6,-0.022382762
14/12/2011,30.27,-0.018655426
13/12/2011,30.84,-0.009359436
12/12/2011,31.13,-0.016250158
09/12/2011,31.64,0.019467664
08/12/2011,31.03,0.002904633
07/12/2011,30.94,0.001293661
06/12/2011,30.9,0.006493529
05/12/2011,30.7,0.036488293
02/12/2011,29.6,-0.002699057
01/12/2011,29.68,0.003036952
30/11/2011,29.59,0.028798699
29/11/2011,28.75,-0.031161569
28/11/2011,29.66,0.049414094
25/11/2011,28.23,-0.011271694
23/11/2011,28.55,-0.017017254
22/11/2011,29.04,0.010036423
21/11/2011,28.75,-0.03620614
18/11/2011,29.81,0.005381782
17/11/2011,29.65,-0.029575174
16/11/2011,30.54,-0.029361683
15/11/2011,31.45,0.00127267
14/11/2011,31.41,-0.011081323
11/11/2011,31.76,0.032317642
10/11/2011,30.75,-0.013886869
09/11/2011,31.18,-0.054303512
08/11/2011,32.92,0.01376379
07/11/2011,32.47,-0.007364255
04/11/2011,32.71,-0.010340725
03/11/2011,33.05,0.039184405
02/11/2011,31.78,0.028404654
01/11/2011,30.89,-0.029976734
31/10/2011,31.83,-0.043645526
28/10/2011,33.25,0.029297182
27/10/2011,32.29,0.038193059
26/10/2011,31.08,-0.018805335
25/10/2011,31.67,-0.021862207
24/10/2011,32.37,0.007753179
21/10/2011,32.12,-0.000933562
20/10/2011,32.15,-0.031534834
19/10/2011,33.18,-0.020582382
18/10/2011,33.87,0.019377563
17/10/2011,33.22,-0.014048953
14/10/2011,33.69,0.028603485
13/10/2011,32.74,-0.00030539
12/10/2011,32.75,-0.002439769
11/10/2011,32.83,0.016275501
10/10/2011,32.3,0.038824507
07/10/2011,31.07,-0.011838244
06/10/2011,31.44,0.029371161
05/10/2011,30.53,0.03941726
04/10/2011,29.35,0.043167161
03/10/2011,28.11,-0.047925838
30/09/2011,29.49,-0.039233755
29/09/2011,30.67,-0.031137165
28/09/2011,31.64,-0.027433142
27/09/2011,32.52,-0.000922084
26/09/2011,32.55,0.014544586
23/09/2011,32.08,0.012862922
22/09/2011,31.67,-0.017838057
21/09/2011,32.24,-0.015084171
20/09/2011,32.73,-0.011241194
19/09/2011,33.1,-0.017667775
16/09/2011,33.69,0.050215935
15/09/2011,32.04,0.061131929
14/09/2011,30.14,0.024858519
13/09/2011,29.4,-0.000680041
12/09/2011,29.42,0.033175123
09/09/2011,28.46,-0.069554906
08/09/2011,30.51,0.025225367
07/09/2011,29.75,0.016266031
06/09/2011,29.27,-0.004771652
02/09/2011,29.41,-0.032778854
01/09/2011,30.39,-0.015671232
31/08/2011,30.87,-0.002588161
30/08/2011,30.95,0.014974238
29/08/2011,30.49,0.03436535
