Date,Close,ADP
28/03/2012,55.46,-0.005035982
27/03/2012,55.74,0.00017942
26/03/2012,55.73,0.013367251
23/03/2012,54.99,-0.001090513
22/03/2012,55.05,-0.000544811
21/03/2012,55.08,0
20/03/2012,55.08,-0.004347833
19/03/2012,55.32,0.003984791
16/03/2012,55.1,-0.005068802
15/03/2012,55.38,0.00343674
14/03/2012,55.19,0.002176674
13/03/2012,55.07,0.00345612
12/03/2012,54.88,-0.001274697
09/03/2012,54.95,0.006389798
08/03/2012,54.6,0.006062295
07/03/2012,54.27,0.007212237
06/03/2012,53.88,-0.011257847
05/03/2012,54.49,0.000918021
02/03/2012,54.44,-0.007867573
01/03/2012,54.87,0.010074268
29/02/2012,54.32,-0.004041894
28/02/2012,54.54,0.007915366
27/02/2012,54.11,0.005373866
24/02/2012,53.82,0.000371678
23/02/2012,53.8,-0.000185856
22/02/2012,53.81,-0.000928764
21/02/2012,53.86,-0.007214905
17/02/2012,54.25,0.007586307
16/02/2012,53.84,0.000929109
15/02/2012,53.79,-0.008515416
14/02/2012,54.25,0.000368732
13/02/2012,54.23,0.004065046
10/02/2012,54.01,-0.010315067
09/02/2012,54.57,-0.000366435
08/02/2012,54.59,-0.005116035
07/02/2012,54.87,-0.004727282
06/02/2012,55.13,-0.006869152
03/02/2012,55.51,0.012508094
02/02/2012,54.82,-0.00236859
01/02/2012,54.95,0.003098517
31/01/2012,54.78,-0.002188185
30/01/2012,54.9,-0.007982626
27/01/2012,55.34,-0.008636254
26/01/2012,55.82,-0.019514545
25/01/2012,56.92,0.003343602
24/01/2012,56.73,0.000881757
23/01/2012,56.68,-0.001938839
20/01/2012,56.79,-0.001935087
19/01/2012,56.9,0.007054703
18/01/2012,56.5,0.014978882
17/01/2012,55.66,0.012838075
13/01/2012,54.95,-0.000181967
12/01/2012,54.96,0.006388632
11/01/2012,54.61,-0.000915164
10/01/2012,54.66,-0.000182932
09/01/2012,54.67,-0.003833871
06/01/2012,54.88,0.001458789
05/01/2012,54.8,0.00732604
04/01/2012,54.4,-0.001102333
03/01/2012,54.46,0.008297273
30/12/2011,54.01,-0.006275399
29/12/2011,54.35,0.010171146
28/12/2011,53.8,-0.011825711
27/12/2011,54.44,0.002022617
23/12/2011,54.33,0.009245628
22/12/2011,53.83,0.003349463
21/12/2011,53.65,0.000372856
20/12/2011,53.63,0.041498151
19/12/2011,51.45,-0.005427422
16/12/2011,51.73,0.010884461
15/12/2011,51.17,0.00117325
14/12/2011,51.11,-0.006435907
13/12/2011,51.44,-0.006394751
12/12/2011,51.77,-0.013621314
09/12/2011,52.48,0.016716692
08/12/2011,51.61,-0.010792165
07/12/2011,52.17,0.000575209
06/12/2011,52.14,0.000959417
05/12/2011,52.09,0.01528224
02/12/2011,51.3,-0.003891055
01/12/2011,51.5,0.007993024
30/11/2011,51.09,0.046678479
29/11/2011,48.76,-0.002662572
28/11/2011,48.89,0.019831263
25/11/2011,47.93,0.001461531
