Date,Close,RDC
28/03/2013,35.36,0.002832061
27/03/2013,35.26,0.015721347
26/03/2013,34.71,0.016265244
25/03/2013,34.15,-0.007293978
22/03/2013,34.4,0.004078071
21/03/2013,34.26,-0.016500591
20/03/2013,34.83,0.013294994
19/03/2013,34.37,-0.018163971
18/03/2013,35,-0.022041017
15/03/2013,35.78,-0.000838106
14/03/2013,35.81,0.020596017
13/03/2013,35.08,0.001711841
12/03/2013,35.02,0.00917964
11/03/2013,34.7,0.003753433
08/03/2013,34.57,0.004348463
07/03/2013,34.42,0.0014537
06/03/2013,34.37,-0.004354775
05/03/2013,34.52,0
04/03/2013,34.52,-0.013237603
01/03/2013,34.98,0.011211847
28/02/2013,34.59,0.010170072
27/02/2013,34.24,0.007328188
26/02/2013,33.99,0.012135712
25/02/2013,33.58,-0.046262795
22/02/2013,35.17,0.00513114
21/02/2013,34.99,-0.019808231
20/02/2013,35.69,-0.026542891
19/02/2013,36.65,0.02234884
15/02/2013,35.84,-0.012753153
14/02/2013,36.3,0.020034059
13/02/2013,35.58,0.012159064
12/02/2013,35.15,0.005992314
11/02/2013,34.94,-0.005707778
08/02/2013,35.14,0.004563613
07/02/2013,34.98,0.00228964
06/02/2013,34.9,0.00344432
05/02/2013,34.78,0.004033425
04/02/2013,34.64,-0.013476906
01/02/2013,35.11,0.018106544
31/01/2013,34.48,-0.012393875
30/01/2013,34.91,-0.003146006
29/01/2013,35.02,0.000285592
28/01/2013,35.01,0.00200143
25/01/2013,34.94,0.01790403
24/01/2013,34.32,-0.005520862
23/01/2013,34.51,0.001449906
22/01/2013,34.46,0.007281232
18/01/2013,34.21,0.011465656
17/01/2013,33.82,0.005633818
16/01/2013,33.63,-0.004154309
15/01/2013,33.77,0.002371777
14/01/2013,33.69,-0.01969204
11/01/2013,34.36,-0.007538453
10/01/2013,34.62,0.025451132
09/01/2013,33.75,-0.000592417
08/01/2013,33.77,-0.000592066
07/01/2013,33.79,-0.013521664
04/01/2013,34.25,0.023933776
03/01/2013,33.44,0.037475825
02/01/2013,32.21,0.029617792
31/12/2012,31.27,0.025588441
28/12/2012,30.48,-0.014655856
27/12/2012,30.93,-0.011571971
26/12/2012,31.29,-0.014594168
24/12/2012,31.75,-0.011274783
21/12/2012,32.11,-0.017901713
20/12/2012,32.69,0.009219488
19/12/2012,32.39,0.00433169
18/12/2012,32.25,0.025437076
17/12/2012,31.44,-0.000953744
14/12/2012,31.47,-0.007912686
13/12/2012,31.72,-0.011908633
12/12/2012,32.1,-0.002178311
11/12/2012,32.17,-0.004032889
10/12/2012,32.3,-0.012307848
07/12/2012,32.7,0.008599562
06/12/2012,32.42,-0.001233046
05/12/2012,32.46,0.018029708
04/12/2012,31.88,0.007556711
03/12/2012,31.64,-0.002840463
30/11/2012,31.73,0.016203691
29/11/2012,31.22,0.00771708
28/11/2012,30.98,0.000322841
27/11/2012,30.97,-0.037082366
26/11/2012,32.14,-0.023675203
23/11/2012,32.91,0.020568645
21/11/2012,32.24,-0.002787674
20/11/2012,32.33,-0.013212667
19/11/2012,32.76,0.034154205
16/11/2012,31.66,0.011116519
15/11/2012,31.31,0.011241487
14/11/2012,30.96,-0.018243425
13/11/2012,31.53,-0.003798675
12/11/2012,31.65,0.005385725
09/11/2012,31.48,-0.000952532
08/11/2012,31.51,-0.022902962
07/11/2012,32.24,-0.013861303
06/11/2012,32.69,0.003370618
05/11/2012,32.58,0.005231586
